Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25204.62009715  .00011162  00000+0  35996-3 0  9993,2 55009  97.3677 264.2964 0006449 203.5733 156.5215 15.32308597141744
MENUT,1 55010U 23001B   25204.60487584  .00007936  00000+0  27191-3 0  9999,2 55010  97.3756 264.6836 0006784 206.9522 153.1367 15.30449505141723
BRO-8,1 55011U 23001C   25204.62373752  .00008100  00000+0  27547-3 0  9992,2 55011  97.3744 263.8623 0007750 215.1160 144.9570 15.30677878141663
CONNECTA T1.2,1 55012U 23001D   25204.73273561  .00012646  00000+0  36564-3 0  9991,2 55012  97.3764 267.9703 0007937 191.5000 168.6063 15.35734967141935
BIRKELAND,1 55015U 23001G   25204.65818687  .00008328  00000+0  26571-3 0  9998,2 55015  97.3803 267.6489 0007553 191.3147 168.7927 15.32730732141904
OBJECT H,1 55016U 23001H   25204.64720406  .00011407  00000+0  37122-3 0  9995,2 55016  97.3664 264.3982 0007510 198.2853 161.8120 15.32004382141763
KSF3-B,1 55019U 23001L   25204.64730063  .00042012  00000+0  66036-3 0  9990,2 55019  97.3715 276.5818 0007042 109.0582 251.1434 15.53492171142521
FLOCK 4Y-24,1 55020U 23001M   25205.19022603  .00156531  00000+0  16243-2 0  9993,2 55020  97.3688 279.7264 0004631 176.2416 183.8879 15.64133592142801
FLOCK 4Y-22,1 55022U 23001P   25205.18297761  .00042788  00000+0  55005-3 0  9991,2 55022  97.3622 279.0683 0006156 146.9262 213.2381 15.58955281142778
FLOCK 4Y-18,1 55023U 23001Q   25205.20255626  .00155091  00000+0  16259-2 0  9998,2 55023  97.3683 280.0246 0004928 184.1617 175.9602 15.63875701142792
FLOCK 4Y-14,1 55024U 23001R   25205.16252438  .00162645  00000+0  16385-2 0  9995,2 55024  97.3615 279.7342 0004304 183.3048 176.8184 15.64868726142804
FLOCK 4Y-30,1 55025U 23001S   25205.18641606  .02448311  90765-2  22163-2 0  9997,2 55025  97.3620 282.9335 0012360 260.9143  99.0744 16.14792480142984
FLOCK 4Y-25,1 55027U 23001U   25204.77540395  .00306858  00000+0  18470-2 0  9999,2 55027  97.3565 279.5329 0005347 183.3588 176.7643 15.76837858142782
FLOCK 4Y-5,1 55028U 23001V   25204.72013256  .00222066  00000+0  17692-2 0  9999,2 55028  97.3647 279.6515 0007288 201.0471 159.0493 15.70477284142758
FLOCK 4Y-10,1 55029U 23001W   25205.18121657  .00154082  00000+0  15279-2 0  9997,2 55029  97.3602 279.9425 0005881 170.9318 189.2049 15.65287090142811
FLOCK 4Y-7,1 55032U 23001Z   25204.77528110  .00045790  00000+0  64378-3 0  9990,2 55032  97.3670 277.4632 0006336 151.4830 208.6772 15.56536465142623
LYNK TOWER 4,1 55034U 23001AB  25204.68025494  .00006871  00000+0  26072-3 0  9995,2 55034  97.3710 262.1701 0009052 198.1157 161.9761 15.27132732141586
UMBRA-05,1 55036U 23001AD  25204.74087767  .00067359  00000+0  15332-2 0  9999,2 55036  97.3677 262.5414 0004583  98.4478 261.7289 15.42716493141614
SKYKRAFT-1,1 55041U 23001AJ  25204.60762349  .00020637  00000+0  49976-3 0  9996,2 55041  97.3693 269.4902 0007983 174.0847 186.0495 15.41094855142073
FLOCK 4Y-33,1 55042U 23001AK  25204.72600942  .00147338  00000+0  16194-2 0  9993,2 55042  97.3700 279.0729 0004526 162.9717 197.1694 15.62688336142721
FLOCK 4Y-11,1 55043U 23001AL  25205.19146246  .00042449  00000+0  59559-3 0  9998,2 55043  97.3713 277.7047 0007012 161.5619 198.5891 15.56602630142644
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25204.61969181  .00012080  00000+0  46807-3 0  9997,2 55045  97.3737 267.3217 0008814 161.2735 198.8829 15.26263758142109
LYNK TOWER 3,1 55046U 23001AP  25205.14342279  .00009964  00000+0  37077-3 0  9996,2 55046  97.3713 263.1157 0009205 198.6312 161.4591 15.27657210141686
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25204.60685880  .00013474  00000+0  48647-3 0  9991,2 55047  97.3464 266.4301 0010369 127.2950 232.9237 15.28561240142169
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25204.59065484  .00011776  00000+0  44122-3 0  9999,2 55048  97.2385 261.3434 0006472 181.5513 178.5708 15.27397144142123
ICEYE-X21,1 55049U 23001AS  25204.65494817  .00025933  00000+0  56813-3 0  9993,2 55049  97.3735 271.5403 0016384 169.6825 190.4763 15.43942487142194
ION SCV-008,1 55051U 23001AU  25205.22897228  .00006581  00000+0  28096-3 0  9993,2 55051  97.5848 292.2418 0018306  86.3545 273.9785 15.23087255141326
EOSSAT-1,1 55053U 23001AW  25205.10502156  .00007492  00000+0  27718-3 0  9997,2 55053  97.3729 263.8445 0010004 196.4234 163.6683 15.27930286141724
SKYKRAFT-1A,1 55054U 23001AX  25204.92935790  .00004822  00000+0  19590-3 0  9994,2 55054  97.3723 262.3700 0010035 203.6401 156.4378 15.24998145141623
VIGORIDE-5,1 55056U 23001AZ  25204.73383653  .00021896  00000+0  60026-3 0  9990,2 55056  97.3703 265.8879 0009741 174.9296 185.2049 15.37260680141841
SKYKRAFT-1B,1 55058U 23001BB  25204.71308695  .00058222  00000+0  77330-3 0  9992,2 55058  97.3641 275.1707 0006815 159.3343 200.8190 15.58011267142465
ION SCV-007,1 55060U 23001BD  25204.77269123  .00000454  00000+0  71592-4 0  9992,2 55060  97.9478 268.5258 0011488 321.5196  38.5194 14.77078015137761
SKYKRAFT-1C,1 55061U 23001BE  25204.77026479  .00003501  00000+0  15555-3 0  9990,2 55061  97.3705 260.3101 0010181 215.9137 144.1416 15.22146673141477
ICEYE-X27,1 55062U 23001BF  25204.75988408  .00069530  00000+0  91548-3 0  9998,2 55062  97.3663 273.0413 0004292 191.9959 168.1196 15.58215570142305
FLOCK 4Y-20,1 55063U 23001BG  25205.18336359  .00265763  00000+0  28890-2 0  9994,2 55063  97.3704 279.9097 0005579 172.8398 187.2941 15.62585994142786
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25204.60056174  .00042242  00000+0  70568-3 0  9990,2 55064  97.2302 266.4222 0007086 132.0878 228.0979 15.51789951142891
FLOCK 4Y-12,1 55065U 23001BJ  25205.15048393  .00141801  00000+0  15563-2 0  9990,2 55065  97.3657 280.0002 0005331 170.7373 189.3985 15.62739501142786
FLOCK 4Y-15,1 55068U 23001BM  25204.72939827  .00164504  00000+0  16714-2 0  9990,2 55068  97.3588 279.0632 0006093 167.1363 193.0053 15.64636660142753
FLOCK 4Y-26,1 55070U 23001BP  25204.77218664  .02291885  60052-2  23433-2 0  9994,2 55070  97.3519 282.2354 0012153 260.3843  99.6069 16.12191649142913
FLOCK 4Y-2,1 55074U 23001BT  25205.16813014  .00146731  00000+0  15985-2 0  9996,2 55074  97.3640 279.8856 0006253 165.6120 194.5318 15.62908753142806
YAM-5,1 55076U 23001BV  25205.14633426  .00009674  00000+0  33261-3 0  9995,2 55076  97.3703 264.7677 0010283 195.3209 164.7722 15.30249056141804
FLOCK 4Y-21,1 55077U 23001BW  25204.72937892  .00154719  00000+0  16366-2 0  9990,2 55077  97.3662 279.6857 0005783 164.8980 195.2453 15.63642607142749
FLOCK 4Y-13,1 55079U 23001BY  25204.74025693  .00500064  00000+0  20806-2 0  9993,2 55079  97.3549 280.8185 0007035 198.5411 161.5603 15.84457819142833
OBJECT CA,1 55081U 23001CA  25204.58583946  .00055198  00000+0  73789-3 0  9990,2 55081  97.3660 275.5123 0008140 161.0675 199.0884 15.57838869142451
FLOCK 4Y-34,1 55082U 23001CB  25205.17486990  .00781341  26223-3  21204-2 0  9997,2 55082  97.3531 281.6202 0007680 223.7241 136.3427 15.94193466142936
GAMA-ALPHA,1 55084U 23001CD  25204.72018618  .00048163  00000+0  74061-3 0  9996,2 55084  97.3702 274.5202 0008110 156.4948 203.6678 15.54061023142423
KSF3-D,1 55085U 23001CE  25204.65954422  .00109178  00000+0  11517-2 0  9991,2 55085  97.3655 277.4453 0005649 164.9161 195.2267 15.63862508142614
