Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25268.26158109  .00020688  00000+0  63316-3 0  9995,2 55009  97.3577 327.6582 0006365   3.1786 356.9496 15.33838560151491
MENUT,1 55010U 23001B   25268.29661579  .00042565  00000+0  13053-2 0  9990,2 55010  97.3653 328.0448 0005276   7.7497 352.3827 15.33628850151478
BRO-8,1 55011U 23001C   25268.25337561  .00032664  00000+0  10232-2 0  9993,2 55011  97.3643 327.1456 0007573  10.8819 349.2585 15.32997291151408
CONNECTA T1.2,1 55012U 23001D   25268.16564289  .00020840  00000+0  57050-3 0  9996,2 55012  97.3665 331.5321 0006740 349.8643  10.2464 15.37340186151678
BIRKELAND,1 55015U 23001G   25268.28728258  .00012660  00000+0  38708-3 0  9990,2 55015  97.3709 331.1351 0006784 349.9640  10.1466 15.33978022151656
OBJECT H,1 55016U 23001H   25268.30284825  .00018632  00000+0  57759-3 0  9993,2 55016  97.3564 327.7301 0007078 355.6742   4.4438 15.33447266151517
KSF3-B,1 55019U 23001L   25268.30374921  .00089104  00000+0  11148-2 0  9996,2 55019  97.3618 342.2476 0004044 216.7735 143.3245 15.59502485152427
FLOCK 4Y-22,1 55022U 23001P   25268.18222137  .00809788  26346-3  28805-2 0  9998,2 55022  97.3444 345.2284 0008752 258.8888 101.1400 15.88895639152652
FLOCK 4Y-7,1 55032U 23001Z   25268.18925593  .00440650  00000+0  26362-2 0  9995,2 55032  97.3526 343.5653 0006617 252.4096 107.6447 15.76610622152537
LYNK TOWER 4,1 55034U 23001AB  25268.15380858  .00013444  00000+0  49159-3 0  9990,2 55034  97.3615 324.8777 0008608 354.9467   5.1684 15.28159584151276
UMBRA-05,1 55036U 23001AD  25268.17839901  .00177295  00000+0  26965-2 0  9996,2 55036  97.3562 327.0826 0005182 204.8130 155.2875 15.53900561151426
SKYKRAFT-1,1 55041U 23001AJ  25268.18741240  .00036642  00000+0  80550-3 0  9992,2 55041  97.3594 333.7052 0005699 321.4537  38.6303 15.43898506151875
FLOCK 4Y-33,1 55042U 23001AK  25266.88585424  .07483063  24357-5  22382-2 0  9993,2 55042  97.3363 345.2191 0014044 273.1223  86.8463 16.26800451152520
FLOCK 4Y-11,1 55043U 23001AL  25268.13678482  .00403567  00000+0  26734-2 0  9993,2 55043  97.3590 343.2554 0007374 258.9756 101.0679 15.74348161152474
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25268.26823389  .00019820  00000+0  75896-3 0  9996,2 55045  97.3665 330.1282 0006265 311.7425  48.3277 15.26565035151813
LYNK TOWER 3,1 55046U 23001AP  25268.13121603  .00017006  00000+0  60560-3 0  9999,2 55046  97.3616 325.4088 0008710 355.3699   4.7459 15.28975083151307
