Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25190.44815155  .00006562  00000+0  21431-3 0  9997,2 55009  97.3686 250.1944 0005387 263.7902  96.2726 15.32078208139570
MENUT,1 55010U 23001B   25190.48140760  .00004399  00000+0  15281-3 0  9998,2 55010  97.3763 250.6543 0005779 266.9564  93.1015 15.30265273139566
BRO-8,1 55011U 23001C   25190.43675132  .00010461  00000+0  35790-3 0  9994,2 55011  97.3754 249.7676 0006830 274.7325  85.3136 15.30415381139490
CONNECTA T1.2,1 55012U 23001D   25189.74512803  .00007190  00000+0  21081-3 0  9995,2 55012  97.3776 252.9612 0006459 252.6616 107.3921 15.35479028139632
BIRKELAND,1 55015U 23001G   25190.49043144  .00005297  00000+0  17091-3 0  9991,2 55015  97.3810 253.5180 0006291 248.3381 111.7191 15.32560314139731
OBJECT H,1 55016U 23001H   25190.47250575  .00005723  00000+0  18892-3 0  9992,2 55016  97.3673 250.3025 0006360 256.0889 103.9645 15.31786176139594
KSF3-B,1 55019U 23001L   25190.47204762  .00033003  00000+0  54080-3 0  9993,2 55019  97.3729 262.0193 0007135 148.6521 211.5158 15.52381223140320
FLOCK 4Y-24,1 55020U 23001M   25189.94586506  .00085078  00000+0  10160-2 0  9993,2 55020  97.3707 263.8523 0005204 198.2903 161.8168 15.60738021140424
FLOCK 4Y-22,1 55022U 23001P   25190.15841447  .00026521  00000+0  35395-3 0  9994,2 55022  97.3634 263.5264 0005471 189.4130 170.7025 15.58053883140439
FLOCK 4Y-18,1 55023U 23001Q   25190.46903514  .00086198  00000+0  10336-2 0  9996,2 55023  97.3699 264.6889 0005036 206.1631 153.9372 15.60627534140493
FLOCK 4Y-14,1 55024U 23001R   25189.92526105  .00090376  00000+0  10493-2 0  9990,2 55024  97.3635 263.8665 0004401 199.1425 160.9668 15.61459474140420
FLOCK 4Y-30,1 55025U 23001S   25190.14653096  .00422619  66858-4  16047-2 0  9995,2 55025  97.3657 266.4706 0010206 211.5663 148.4998 15.87511400140583
FLOCK 4Y-25,1 55027U 23001U   25190.46820933  .00151834  00000+0  11866-2 0  9992,2 55027  97.3590 264.4042 0007309 193.5452 166.5616 15.71146212140538
FLOCK 4Y-5,1 55028U 23001V   25189.72330426  .00121212  00000+0  11718-2 0  9996,2 55028  97.3662 263.9107 0006808 227.4895 132.5790 15.66024296140409
FLOCK 4Y-10,1 55029U 23001W   25190.46116669  .00084590  00000+0  95955-3 0  9994,2 55029  97.3629 264.6043 0005441 194.5992 165.5109 15.62078660140516
FLOCK 4Y-7,1 55032U 23001Z   25189.92001020  .00026902  00000+0  39313-3 0  9990,2 55032  97.3684 262.1425 0005726 196.4768 163.6301 15.55595630140310
LYNK TOWER 4,1 55034U 23001AB  25189.67435306  .00003997  00000+0  15364-3 0  9991,2 55034  97.3721 247.3476 0007814 257.8928 102.1436 15.26976978139293
UMBRA-05,1 55036U 23001AD  25189.87981679  .00040598  00000+0  97298-3 0  9998,2 55036  97.3694 247.5329 0005868 136.0898 224.0816 15.41285784139329
SKYKRAFT-1,1 55041U 23001AJ  25190.51553507  .00011164  00000+0  27541-3 0  9993,2 55041  97.3701 255.2794 0006643 225.4000 134.6705 15.40683962139902
FLOCK 4Y-33,1 55042U 23001AK  25190.17524366  .00037256  00000+0  46126-3 0  9997,2 55042  97.3721 263.9453 0005298 192.8105 167.3018 15.59984326140451
FLOCK 4Y-11,1 55043U 23001AL  25190.46563160  .00024410  00000+0  35558-3 0  9990,2 55043  97.3723 262.5065 0006127 206.9557 153.1380 15.55698707140353
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25190.45719356  .00006790  00000+0  26647-3 0  9991,2 55045  97.3747 253.3472 0007434 209.8445 150.2370 15.26028155139943
LYNK TOWER 3,1 55046U 23001AP  25190.40437695  .00005442  00000+0  20522-3 0  9999,2 55046  97.3723 248.5450 0008033 256.6006 103.4338 15.27444368139436
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25190.46549503  .00007362  00000+0  26941-3 0  9992,2 55047  97.3473 252.4796 0009401 171.6258 188.5140 15.28298846140000
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25190.43866603  .00006653  00000+0  25238-3 0  9993,2 55048  97.2395 247.6096 0005062 236.0385 124.0373 15.27166908139966
ICEYE-X21,1 55049U 23001AS  25190.45909802  .00014789  00000+0  33032-3 0  9995,2 55049  97.3743 257.1553 0015147 220.5395 139.4726 15.43507141140008
ION SCV-008,1 55051U 23001AU  25190.51184143  .00003868  00000+0  16723-3 0  9992,2 55051  97.5850 277.3800 0018131 133.7040 226.5702 15.22940408139081
EOSSAT-1,1 55053U 23001AW  25190.43439675  .00004394  00000+0  16459-3 0  9999,2 55053  97.3741 249.3311 0008804 254.2608 105.7661 15.27773625139487
SKYKRAFT-1A,1 55054U 23001AX  25190.16520627  .00002877  00000+0  11847-3 0  9998,2 55054  97.3734 247.8301 0009049 262.4583  97.5627 15.24894497139373
VIGORIDE-5,1 55056U 23001AZ  25189.89044349  .00011731  00000+0  32744-3 0  9998,2 55056  97.3714 251.0031 0008420 229.3697 130.6816 15.36853305139566
SKYKRAFT-1B,1 55058U 23001BB  25190.19176079  .00035706  00000+0  49812-3 0  9993,2 55058  97.3654 260.1704 0006008 203.7759 156.3220 15.56800220140199
ION SCV-007,1 55060U 23001BD  25190.14030350  .00000323  00000+0  52918-4 0  9991,2 55060  97.9488 254.1093 0012585  10.2666 349.8799 14.77065184135606
SKYKRAFT-1C,1 55061U 23001BE  25189.91287014  .00002214  00000+0  99723-4 0  9992,2 55061  97.3717 245.7450 0009483 275.5806  84.4348 15.22066887139219
ICEYE-X27,1 55062U 23001BF  25190.17483267  .00044388  00000+0  62020-3 0  9998,2 55062  97.3676 257.9687 0002645 228.6802 131.4226 15.56730446140035
FLOCK 4Y-20,1 55063U 23001BG  25190.17641664  .00027549  00000+0  34943-3 0  9999,2 55063  97.3722 264.3261 0006343 206.5994 153.4937 15.59395702140447
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25190.47444898  .00022800  00000+0  39411-3 0  9993,2 55064  97.2316 252.2212 0006518 174.0976 186.0354 15.50954018140707
FLOCK 4Y-12,1 55065U 23001BJ  25190.15097511  .00031620  00000+0  39107-3 0  9997,2 55065  97.3672 264.4162 0006020 203.0491 157.0496 15.60038793140446
FLOCK 4Y-15,1 55068U 23001BM  25190.19436796  .00035340  00000+0  42317-3 0  9996,2 55068  97.3607 263.9375 0007141 191.0199 169.0903 15.60857953140480
FLOCK 4Y-26,1 55070U 23001BP  25190.16487439  .00426663  00000+0  15649-2 0  9995,2 55070  97.3655 266.2614 0009723 218.6834 141.3742 15.87233010140584
FLOCK 4Y-2,1 55074U 23001BT  25190.17008206  .00027208  00000+0  33546-3 0  9990,2 55074  97.3661 264.3026 0006787 201.0232 159.0747 15.60143617140468
YAM-5,1 55076U 23001BV  25190.17066675  .00005877  00000+0  20455-3 0  9999,2 55076  97.3712 249.9069 0009071 253.5874 106.4370 15.30040182139518
FLOCK 4Y-21,1 55077U 23001BW  25190.18653304  .00072087  00000+0  86933-3 0  9992,2 55077  97.3690 264.5532 0006816 196.1812 163.9229 15.60517301140473
FLOCK 4Y-13,1 55079U 23001BY  25190.17109477  .00214974  00000+0  13498-2 0  9998,2 55079  97.3592 265.2756 0009293 205.4054 154.6756 15.76083008140534
OBJECT CA,1 55081U 23001CA  25190.44877268  .00031879  00000+0  44689-3 0  9999,2 55081  97.3672 260.9081 0007330 205.9776 154.1112 15.56681207140258
FLOCK 4Y-34,1 55082U 23001CB  25190.16295948  .00281648  00000+0  14075-2 0  9994,2 55082  97.3591 265.4475 0009445 208.2119 151.8639 15.81022607140554
