Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25319.83154126  .00018302  00000+0  52625-3 0  9991,2 55009  97.3507  19.0720 0007259 152.2010 207.9623 15.35829221159401
MENUT,1 55010U 23001B   25319.83363840  .00044610  00000+0  11858-2 0  9991,2 55010  97.3567  19.5485 0006681 151.3185 208.8428 15.38092910159383
BRO-8,1 55011U 23001C   25319.83193580  .00033477  00000+0  94727-3 0  9990,2 55011  97.3569  18.5921 0007988 164.1587 195.9909 15.36202370159313
CONNECTA T1.2,1 55012U 23001D   25318.44811948  .00017199  00000+0  44244-3 0  9994,2 55012  97.3600  21.9901 0008599 146.7954 213.3833 15.39284354159405
BIRKELAND,1 55015U 23001G   25319.86185403  .00012508  00000+0  36495-3 0  9992,2 55015  97.3645  22.6363 0008524 143.3806 216.8022 15.35446739159562
OBJECT H,1 55016U 23001H   25319.82294375  .00016280  00000+0  47615-3 0  9995,2 55016  97.3495  19.0491 0008181 149.5704 210.6016 15.35312522159413
KSF3-B,1 55019U 23001L   25319.86381538  .00355986  00000+0  17114-2 0  9999,2 55019  97.3480  36.3032 0004133 345.0284  15.0861 15.81725025160506
LYNK TOWER 4,1 55034U 23001AB  25319.59955095  .00011563  00000+0  40687-3 0  9993,2 55034  97.3541  15.7237 0009823 151.5504 208.6275 15.29446569159136
UMBRA-05,1 55036U 23001AD  25318.16412864  .01872335  20609-2  48627-2 0  9993,2 55036  97.3403  19.3852 0006459 290.4510  69.6072 15.95514813159254
SKYKRAFT-1,1 55041U 23001AJ  25319.84294318  .00041693  00000+0  79674-3 0  9998,2 55041  97.3523  26.0814 0007420 122.7702 237.4264 15.47962028159851
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25319.81063924  .00016888  00000+0  66543-3 0  9995,2 55045  97.3647  20.9037 0009250 118.2639 241.9534 15.25624321159671
LYNK TOWER 3,1 55046U 23001AP  25319.41156750  .00013824  00000+0  46743-3 0  9999,2 55046  97.3544  16.1730 0009645 154.2746 205.8977 15.30702301159145
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25319.85543685  .00017461  00000+0  66322-3 0  9991,2 55047  97.3361  19.8283 0009453  89.2752 270.9570 15.26835193159757
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25319.84477416  .00020592  00000+0  68999-3 0  9990,2 55048  97.2210  13.3166 0006931 136.4188 223.7602 15.30927778159731
ICEYE-X21,1 55049U 23001AS  25319.84147910  .00079499  00000+0  11784-2 0  9993,2 55049  97.3584  28.8778 0012202 115.1368 245.1154 15.54894658160018
ION SCV-008,1 55051U 23001AU  25319.67548985  .00009568  00000+0  38341-3 0  9993,2 55051  97.5794  47.9236 0017021  48.1851 312.0837 15.25114659158757
EOSSAT-1,1 55053U 23001AW  25319.44471896  .00010510  00000+0  36235-3 0  9995,2 55053  97.3565  16.9904 0010760 151.5929 208.5900 15.30128443159190
SKYKRAFT-1A,1 55054U 23001AX  25319.64273917  .00007580  00000+0  29275-3 0  9991,2 55054  97.3559  15.3152 0010802 159.0157 201.1527 15.26488536159118
VIGORIDE-5,1 55056U 23001AZ  25319.59577625  .00042619  00000+0  92397-3 0  9997,2 55056  97.3532  21.4756 0005771 142.7323 217.4327 15.44277909159525
SKYKRAFT-1B,1 55058U 23001BB  25319.69367859  .00369462  00000+0  12722-2 0  9997,2 55058  97.3405  35.7039 0000585 142.0111 218.1203 15.88703531160485
ION SCV-007,1 55060U 23001BD  25319.65728675  .00001242  00000+0  18223-3 0  9995,2 55060  97.9320  21.5997 0011312 309.8711  50.1504 14.77269715154721
SKYKRAFT-1C,1 55061U 23001BE  25319.57961514  .00005553  00000+0  23699-3 0  9990,2 55061  97.3537  12.8010 0011085 171.1230 189.0205 15.23249748158942
ICEYE-X27,1 55062U 23001BF  25318.80844860  .04739858  24319-5  13498-2 0  9996,2 55062  97.3280  33.5018 0006496 267.2274  92.8276 16.27609318160233
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25319.81244897  .00135480  00000+0  11704-2 0  9994,2 55064  97.2076  23.2312 0003551  74.0740 286.0913 15.68790332160833
YAM-5,1 55076U 23001BV  25319.81173406  .00014672  00000+0  45858-3 0  9991,2 55076  97.3533  18.6399 0010714 148.7504 211.4378 15.33205384159356
OBJECT CA,1 55081U 23001CA  25319.83071519  .00208285  00000+0  10590-2 0  9990,2 55081  97.3457  36.0228 0002300 104.3511 255.8013 15.80883421160491
