Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25187.18245096  .00008637  00000+0  28167-3 0  9993,2 55009  97.3688 246.9452 0005356 279.1971  80.8664 15.32028462139074
MENUT,1 55010U 23001B   25187.14646475  .00005307  00000+0  18408-3 0  9995,2 55010  97.3765 247.3417 0005728 282.5117  77.5483 15.30221405139051
BRO-8,1 55011U 23001C   25187.16747825  .00013230  00000+0  45284-3 0  9995,2 55011  97.3756 246.5200 0006786 289.3987  70.6520 15.30339170138995
CONNECTA T1.2,1 55012U 23001D   25187.13835380  .00008220  00000+0  24098-3 0  9990,2 55012  97.3777 250.3511 0006344 263.9897  96.0624 15.35434916139239
BIRKELAND,1 55015U 23001G   25187.16047356  .00005889  00000+0  18997-3 0  9993,2 55015  97.3811 250.1968 0006124 263.2517  96.8028 15.32521816139221
OBJECT H,1 55016U 23001H   25187.14085830  .00007118  00000+0  23471-3 0  9991,2 55016  97.3675 246.9898 0006252 271.2598  88.7927 15.31737081139089
KSF3-B,1 55019U 23001L   25187.18436111  .00041843  00000+0  69050-3 0  9996,2 55019  97.3726 258.6453 0007104 157.3506 202.8062 15.52136357139818
FLOCK 4Y-24,1 55020U 23001M   25186.73950998  .00032806  00000+0  40343-3 0  9995,2 55020  97.3709 260.5227 0004988 204.1915 155.9109 15.60189379139927
FLOCK 4Y-32,1 55021U 23001N   25187.17806441  .04246241  24206-5  17823-2 0  9998,2 55021  97.3469 263.7526 0016022 262.7050  97.2420 16.22687127140198
FLOCK 4Y-22,1 55022U 23001P   25186.75426286  .00032051  00000+0  43053-3 0  9990,2 55022  97.3633 260.0079 0005200 199.5409 160.5648 15.57845425139903
FLOCK 4Y-18,1 55023U 23001Q   25186.74928758  .00060402  00000+0  74856-3 0  9997,2 55023  97.3703 260.8263 0004716 211.1428 148.9550 15.59858506139928
FLOCK 4Y-14,1 55024U 23001R   25186.72036098  .00102050  00000+0  12128-2 0  9992,2 55024  97.3631 260.5384 0004182 203.4829 156.6238 15.60810270139923
FLOCK 4Y-30,1 55025U 23001S   25187.18157617  .00413875  00000+0  16893-2 0  9998,2 55025  97.3656 263.2743 0010197 212.5266 147.5377 15.85033636140115
FLOCK 4Y-25,1 55027U 23001U   25187.15518293  .00172057  00000+0  14044-2 0  9998,2 55027  97.3590 260.9145 0007440 198.5574 161.5418 15.70036391140012
FLOCK 4Y-5,1 55028U 23001V   25187.16683444  .00257928  00000+0  25217-2 0  9996,2 55028  97.3659 261.2358 0006482 231.8820 128.1856 15.65316758140005
FLOCK 4Y-10,1 55029U 23001W   25186.74487718  .00111016  00000+0  12907-2 0  9995,2 55029  97.3632 260.7413 0005074 200.8625 159.2427 15.61348822139930
FLOCK 4Y-17,1 55031U 23001Y   25186.86367548  .10231210  24839-5  12518-2 0  9999,2 55031  97.3374 263.1657 0016603 259.4300 100.5127 16.35861773140095
FLOCK 4Y-7,1 55032U 23001Z   25187.21816202  .00031828  00000+0  46737-3 0  9997,2 55032  97.3681 259.3577 0005520 205.0938 155.0049 15.55432428139891
LYNK TOWER 4,1 55034U 23001AB  25187.11862398  .00005454  00000+0  20874-3 0  9995,2 55034  97.3722 244.8230 0007729 269.1130  90.9224 15.26951499138907
UMBRA-05,1 55036U 23001AD  25186.95802846  .00047767  00000+0  11537-2 0  9998,2 55036  97.3693 244.5854 0005859 142.7819 217.3835 15.41013547138876
SKYKRAFT-1,1 55041U 23001AJ  25187.20306843  .00015896  00000+0  39223-3 0  9990,2 55041  97.3703 251.9399 0006350 239.1333 120.9289 15.40594013139390
FLOCK 4Y-33,1 55042U 23001AK  25186.71107342  .00040711  00000+0  50916-3 0  9995,2 55042  97.3719 260.3502 0005199 203.6805 156.4213 15.59700936139910
FLOCK 4Y-11,1 55043U 23001AL  25186.73468897  .00030769  00000+0  45118-3 0  9993,2 55043  97.3722 258.6589 0005829 219.1858 140.8975 15.55475921139775
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25187.17855339  .00009042  00000+0  35435-3 0  9996,2 55045  97.3747 250.1124 0007111 222.4997 137.5691 15.25977564139442
LYNK TOWER 3,1 55046U 23001AP  25186.73570518  .00006895  00000+0  25964-3 0  9990,2 55046  97.3727 244.9187 0007949 272.5562  87.4767 15.27394032138872
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25187.19171349  .00010155  00000+0  37115-3 0  9996,2 55047  97.3474 249.2503 0009072 182.5396 177.5799 15.28242347139505
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25187.16246387  .00008794  00000+0  33318-3 0  9996,2 55048  97.2397 244.4306 0004838 250.8948 109.1768 15.27116925139467
ICEYE-X21,1 55049U 23001AS  25187.15267152  .00009906  00000+0  22274-3 0  9994,2 55049  97.3746 253.8056 0014882 233.2439 126.7443 15.43418107139496
ION SCV-008,1 55051U 23001AU  25186.76664788  .00004851  00000+0  20913-3 0  9991,2 55051  97.5843 273.5984 0017874 145.9545 214.2841 15.22905565138512
EOSSAT-1,1 55053U 23001AW  25186.76652854  .00005366  00000+0  20058-3 0  9996,2 55053  97.3744 245.7026 0008729 269.9783  90.0456 15.27735515138928
SKYKRAFT-1A,1 55054U 23001AX  25187.14664758  .00003116  00000+0  12814-3 0  9998,2 55054  97.3736 244.8573 0009026 275.0095  85.0113 15.24873753138919
VIGORIDE-5,1 55056U 23001AZ  25186.69994959  .00015438  00000+0  43129-3 0  9991,2 55056  97.3712 247.8047 0008119 242.8252 117.2165 15.36761962139077
SKYKRAFT-1B,1 55058U 23001BB  25186.91337632  .00041077  00000+0  57813-3 0  9990,2 55058  97.3654 256.7866 0005705 215.2443 144.8435 15.56535467139691
ION SCV-007,1 55060U 23001BD  25186.75316026  .00000358  00000+0  57912-4 0  9997,2 55060  97.9489 250.7719 0012834  20.9455 339.2278 14.77062370135109
SKYKRAFT-1C,1 55061U 23001BE  25186.75722798  .00002674  00000+0  11986-3 0  9998,2 55061  97.3718 242.6514 0009554 288.6813  71.3386 15.22050391138735
ICEYE-X27,1 55062U 23001BF  25186.96053964  .00047152  00000+0  66630-3 0  9990,2 55062  97.3674 254.6510 0002151 239.5100 120.5943 15.56412932139531
FLOCK 4Y-20,1 55063U 23001BG  25187.22443999  .00033124  00000+0  42241-3 0  9998,2 55063  97.3721 261.2643 0006148 216.9725 143.1108 15.59219051139981
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25187.18379339  .00030365  00000+0  52733-3 0  9991,2 55064  97.2320 248.9152 0006228 184.2131 175.9070 15.50769440140199
FLOCK 4Y-12,1 55065U 23001BJ  25187.20018274  .00101490  00000+0  12545-2 0  9997,2 55065  97.3676 261.3547 0005525 211.9970 148.0952 15.59770641139989
FLOCK 4Y-15,1 55068U 23001BM  25186.73217532  .00040751  00000+0  49188-3 0  9991,2 55068  97.3602 260.3453 0006701 199.7522 160.3476 15.60624577139941
FLOCK 4Y-26,1 55070U 23001BP  25187.19944471  .00438973  00000+0  18116-2 0  9997,2 55070  97.3669 263.0637 0009751 218.8420 141.2150 15.84748186140116
FLOCK 4Y-2,1 55074U 23001BT  25186.77048882  .00032642  00000+0  40540-3 0  9995,2 55074  97.3661 260.7761 0006479 213.1236 146.9616 15.59919036139934
YAM-5,1 55076U 23001BV  25186.70441871  .00007243  00000+0  25180-3 0  9997,2 55076  97.3713 246.4677 0008963 268.1697  91.8517 15.29993180138983
