Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25338.26630946  .00031124  00000+0  87368-3 0  9997,2 55009  97.3477  37.4742 0008054  96.4691 263.7471 15.36466726162237
MENUT,1 55010U 23001B   25338.30105245  .00069656  00000+0  17535-2 0  9992,2 55010  97.3533  38.0735 0007383  97.7894 262.4190 15.39640300162222
BRO-8,1 55011U 23001C   25338.32485311  .00049520  00000+0  13502-2 0  9998,2 55011  97.3538  37.0838 0008684 105.1413 255.0793 15.37265145162154
CONNECTA T1.2,1 55012U 23001D   25338.14119294  .00026127  00000+0  65565-3 0  9998,2 55012  97.3579  41.7791 0008941  87.5441 272.6829 15.39955243162433
BIRKELAND,1 55015U 23001G   25338.36743219  .00020402  00000+0  58447-3 0  9996,2 55015  97.3621  41.1316 0008993  88.2383 271.9891 15.35908179162401
OBJECT H,1 55016U 23001H   25338.32927791  .00028819  00000+0  82365-3 0  9998,2 55016  97.3464  37.5048 0008914  92.5984 267.6280 15.35912782162258
KSF3-B,1 55019U 23001L   25337.47244207  .00373129  66208-4  52708-3 0  9992,2 55019  97.3360  55.3707 0007541 297.8892  62.1625 16.05667124163302
LYNK TOWER 4,1 55034U 23001AB  25338.11259683  .00016810  00000+0  58279-3 0  9998,2 55034  97.3508  34.0307 0010638  94.4755 265.7701 15.29834635161967
SKYKRAFT-1,1 55041U 23001AJ  25338.32256800  .00062876  00000+0  11390-2 0  9992,2 55041  97.3499  44.8856 0007020  66.0927 294.1059 15.49404198162714
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25338.30337275  .00028076  00000+0  10840-2 0  9993,2 55045  97.3620  39.1137 0009153  62.6543 297.5626 15.26198665162494
LYNK TOWER 3,1 55046U 23001AP  25338.10458867  .00023396  00000+0  77492-3 0  9990,2 55046  97.3513  34.6962 0010342  95.7582 264.4838 15.31250194162001
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25338.26809263  .00028578  00000+0  10644-2 0  9990,2 55047  97.3331  37.9222 0008532  32.3151 327.8609 15.27391728162567
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25338.33976001  .00032337  00000+0  10678-2 0  9999,2 55048  97.2177  31.3168 0007045  73.6070 286.5946 15.31307294162563
ICEYE-X21,1 55049U 23001AS  25338.29549184  .00119690  00000+0  15978-2 0  9999,2 55049  97.3567  47.8865 0011285  43.8908 316.3242 15.57602143162889
ION SCV-008,1 55051U 23001AU  25338.24124418  .00014944  00000+0  59109-3 0  9997,2 55051  97.5792  66.7226 0015457 344.0595  16.0154 15.25457720161584
EOSSAT-1,1 55053U 23001AW  25338.14573441  .00015757  00000+0  53510-3 0  9995,2 55053  97.3539  35.5097 0011606  93.8306 266.4262 15.30510134162053
SKYKRAFT-1A,1 55054U 23001AX  25338.12689620  .00010619  00000+0  40561-3 0  9995,2 55054  97.3530  33.5142 0011824 100.4578 259.7994 15.26744234161930
VIGORIDE-5,1 55056U 23001AZ  25338.11949989  .00046402  00000+0  96074-3 0  9992,2 55056  97.3498  40.2204 0006196  89.4381 270.7579 15.45613323162380
SKYKRAFT-1B,1 55058U 23001BB  25337.80658258  .01104399  71542-3  13901-2 0  9996,2 55058  97.3315  55.4506 0003686 301.0668  59.0252 16.07739634163374
ION SCV-007,1 55060U 23001BD  25338.14834034  .00001171  00000+0  17202-3 0  9994,2 55060  97.9294  39.7801 0011202 243.4226 116.5837 14.77303307157453
SKYKRAFT-1C,1 55061U 23001BE  25338.10346022  .00007853  00000+0  33186-3 0  9998,2 55061  97.3508  30.9427 0012422 111.3842 248.8722 15.23435766161763
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25338.28143345  .00252163  00000+0  17251-2 0  9993,2 55064  97.2028  42.2853 0002877 353.8650   6.2579 15.74039381163738
YAM-5,1 55076U 23001BV  25338.14818737  .00021874  00000+0  67072-3 0  9995,2 55076  97.3506  36.8766 0011392  90.2925 269.9623 15.33722502162167
OBJECT CA,1 55081U 23001CA  25338.26601677  .00438531  74169-4  14786-2 0  9994,2 55081  97.3392  55.7988 0001352  31.3716 328.7638 15.89994160163412
GAMA-ALPHA,1 55084U 23001CD  25337.73608496  .00232110  00000+0  12654-2 0  9999,2 55084  97.3494  53.0297 0002340  19.1994 340.9361 15.79279814163209
KSF3-A,1 55086U 23001CF  25338.37113429  .01178205  77621-3  18473-2 0  9996,2 55086  97.3372  56.5894 0006900 312.1225  47.9469 16.04124448163468
HUYGENS,1 55093U 23001CN  25338.30235418  .00020100  00000+0  57541-3 0  9992,2 55093  97.3538  40.5335 0011856  69.3180 290.9334 15.35903527162411
