Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25326.15098412  .00014685  00000+0  41997-3 0  9999,2 55009  97.3489  25.3792 0007689 132.5890 227.6004 15.36043387160375
MENUT,1 55010U 23001B   25326.20818383  .00037764  00000+0  98814-3 0  9997,2 55010  97.3546  25.9393 0007070 132.3531 227.8314 15.38613057160362
BRO-8,1 55011U 23001C   25326.14953382  .00023773  00000+0  66645-3 0  9992,2 55011  97.3548  24.9072 0008333 143.4008 216.7807 15.36560128160286
CONNECTA T1.2,1 55012U 23001D   25325.72836378  .00015063  00000+0  38478-3 0  9997,2 55012  97.3587  29.3047 0008946 124.6117 235.5974 15.39527420160525
BIRKELAND,1 55015U 23001G   25326.18302160  .00010433  00000+0  30344-3 0  9998,2 55015  97.3630  28.9534 0008855 124.3244 235.8839 15.35591938160535
OBJECT H,1 55016U 23001H   25326.14453355  .00013724  00000+0  39922-3 0  9995,2 55016  97.3476  25.3526 0008605 129.3378 230.8629 15.35515700160380
KSF3-B,1 55019U 23001L   25326.17903919  .00415093  00000+0  15217-2 0  9992,2 55019  97.3445  43.0775 0005254 320.1116  39.9769 15.87311885161503
LYNK TOWER 4,1 55034U 23001AB  25326.01093060  .00008774  00000+0  30815-3 0  9995,2 55034  97.3520  22.0636 0010272 131.0993 229.1136 15.29582876160118
SKYKRAFT-1,1 55041U 23001AJ  25326.17695385  .00035491  00000+0  66764-3 0  9996,2 55041  97.3507  32.5234 0007374 102.7068 257.5007 15.48449727160837
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25326.17234983  .00013633  00000+0  53475-3 0  9992,2 55045  97.3631  27.1674 0009412  99.0582 261.1722 15.25820140160642
LYNK TOWER 3,1 55046U 23001AP  25326.07903816  .00011939  00000+0  40168-3 0  9992,2 55046  97.3523  22.7794 0010041 132.9606 227.2479 15.30896479160164
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25326.14658954  .00012745  00000+0  48242-3 0  9998,2 55047  97.3342  26.0098 0009351  70.4100 289.8148 15.27022942160715
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25326.18440608  .00016161  00000+0  53846-3 0  9990,2 55048  97.2189  19.4868 0007260 117.7388 242.4590 15.31157881160706
ICEYE-X21,1 55049U 23001AS  25326.14624799  .00056184  00000+0  80684-3 0  9991,2 55049  97.3574  35.3643 0011634  91.4837 268.7750 15.55858740160999
ION SCV-008,1 55051U 23001AU  25326.23627076  .00007541  00000+0  30190-3 0  9995,2 55051  97.5794  54.5664 0016501  26.0938 334.1128 15.25236317159754
EOSSAT-1,1 55053U 23001AW  25325.72247536  .00009221  00000+0  31695-3 0  9997,2 55053  97.3550  23.2072 0011264 131.8218 228.3986 15.30257425160158
SKYKRAFT-1A,1 55054U 23001AX  25325.93554655  .00005648  00000+0  21829-3 0  9991,2 55054  97.3539  21.5110 0011329 138.4020 221.8082 15.26574352160078
VIGORIDE-5,1 55056U 23001AZ  25325.68571811  .00032390  00000+0  69213-3 0  9991,2 55056  97.3509  27.6350 0006078 125.5401 234.6415 15.44761155160469
SKYKRAFT-1B,1 55058U 23001BB  25325.73167237  .00388409  60467-4  11097-2 0  9991,2 55058  97.3373  42.2378 0000454 288.9247  71.1978 15.93229662161440
ION SCV-007,1 55060U 23001BD  25326.09194029  .00000596  00000+0  91222-4 0  9993,2 55060  97.9309  27.9269 0011058 286.7666  73.2331 14.77280904155671
SKYKRAFT-1C,1 55061U 23001BE  25326.08290954  .00004122  00000+0  17634-3 0  9990,2 55061  97.3516  19.1704 0011671 149.4136 210.7784 15.23314065159932
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25326.18762230  .00112365  00000+0  91008-3 0  9991,2 55064  97.2054  29.7941 0003116  49.2782 310.8751 15.70432430161837
YAM-5,1 55076U 23001BV  25326.07680316  .00011354  00000+0  35359-3 0  9999,2 55076  97.3512  24.8699 0011185 128.6484 231.5761 15.33380117160317
OBJECT CA,1 55081U 23001CA  25326.02891530  .00213119  00000+0  96203-3 0  9990,2 55081  97.3438  42.6469 0001852  80.5937 279.5542 15.83447630161478
GAMA-ALPHA,1 55084U 23001CD  25325.74351256  .00147942  00000+0  98361-3 0  9994,2 55084  97.3512  40.3011 0002995  88.4926 271.6682 15.74998023161314
KSF3-A,1 55086U 23001CF  25325.00395080  .00424902  00000+0  15242-2 0  9998,2 55086  97.3476  42.0441 0004095 296.9102  63.1751 15.87740550161333
HUYGENS,1 55093U 23001CN  25326.18308916  .00012173  00000+0  35314-3 0  9994,2 55093  97.3547  28.4341 0012198 107.0267 253.2315 15.35594471160557
KUWAITSAT-1,1 55103U 23001CY  25325.68271470  .00020290  00000+0  50832-3 0  9995,2 55103  97.3547  29.3524 0011483 107.7827 252.4673 15.40030034160551
SHARJAHSAT-1,1 55104U 23001CZ  25326.17406741  .00019067  00000+0  47315-3 0  9994,2 55104  97.3496  27.9944 0008045 127.9899 232.2075 15.40368178160531
AAC-AIS-SAT1,1 55107U 23001DC  25326.20210940  .00006856  00000+0  72397-3 0  9995,2 55107  97.9421  37.0450 0008964 237.5859 122.4491 14.89554716147440
