Timestamp,Latitud (°),Longitud (°),Altitud (km),Elevación (°),Azimut (°),Distancia (km),VISIBLE (1/0)
2025-11-11T17:19:40.979836+00:00,-62.12900530353542,-104.16417603272548,512.8520813699812,-58.84181364230525,210.35174599038888,11465.250544219232,0
2025-11-11T17:19:55.979836+00:00,-63.03763254798826,-104.81230708423598,513.136458796568,-59.27204370222551,209.76829715826472,11512.190811684017,0
2025-11-11T17:20:10.979836+00:00,-63.94352314869424,-105.49795926624402,513.4143592383841,-59.70017720921352,209.17297048498673,11558.340525627871,0
2025-11-11T17:20:25.979836+00:00,-64.84640327878266,-106.22507377360805,513.6855184270729,-60.12613094495271,208.56524905681852,11603.695792021152,0
2025-11-11T17:20:40.979836+00:00,-65.74595893858948,-106.99813828494358,513.9496792135627,-60.549817210860994,207.94459635410718,11648.252801964325,0
2025-11-11T17:20:55.979836+00:00,-66.64182858099822,-107.8222806009274,514.2065918276079,-60.971143570228584,207.31045551619005,11692.007831075887,0
2025-11-11T17:21:10.979836+00:00,-67.53359412095273,-108.70338095270186,514.4560141291407,-61.39001257574594,206.6622486236075,11734.95723891111,0
2025-11-11T17:21:25.979836+00:00,-68.42076991985174,-109.64820704842026,514.6977118513287,-61.806321481902444,205.99937600677757,11777.097468408649,0
2025-11-11T17:21:40.979836+00:00,-69.30278922019654,-110.66457679532462,514.9314588350483,-62.21996194183737,205.32121559203856,11818.425045365751,0
2025-11-11T17:21:55.979836+00:00,-70.17898735605337,-111.76155462562325,515.1570372545514,-62.63081968826697,204.627122297883,11858.936577939223,0
2025-11-11T17:22:10.979836+00:00,-71.04858087079236,-112.94968842016938,515.3742378342457,-63.03877419824932,203.9164274964603,11898.628756172513,0
2025-11-11T17:22:25.979836+00:00,-71.91064142327511,-114.24129504272007,515.582860056279,-63.443698341662,203.18843855794373,11937.498351546637,0
2025-11-11T17:22:40.979836+00:00,-72.76406304426725,-115.65080320870192,515.7827123588534,-63.845458013456636,202.4424384981675,11975.542216554792,0
2025-11-11T17:22:55.979836+00:00,-73.60752090430566,-117.19516229785542,515.9736123250341,-64.24391174996964,201.67768575320258,12012.757284300054,0
2025-11-11T17:23:10.979836+00:00,-74.43941926762672,-118.89432380057299,516.1553868620197,-64.63891032981226,200.89341410801427,12049.14056811416,0
2025-11-11T17:23:25.979836+00:00,-75.25782574799389,-120.77179657781178,516.3278723704905,-65.03029636021726,200.08883281034815,12084.689161198055,0
2025-11-11T17:23:40.979836+00:00,-76.06038841006311,-122.85526485475356,516.4909149042255,-65.4179038500725,199.26312690529872,12119.400236282252,0
2025-11-11T17:23:55.979836+00:00,-76.84423182710766,-125.17723346371243,516.644370319568,-65.80155777136306,198.41545783074116,12153.271045307267,0
2025-11-11T17:24:10.979836+00:00,-77.60582825108048,-127.77561949978504,516.788104414795,-66.18107361126944,197.54496431888867,12186.298919122752,0
2025-11-11T17:24:25.979836+00:00,-78.34084125751892,-130.69412990276714,516.9219930592268,-66.55625691783118,196.65076365465825,12218.4812672054,0
2025-11-11T17:24:40.979836+00:00,-79.04394287032261,-133.9821328239481,517.0459223119855,-66.9269028428196,195.73195334719034,12249.815577394245,0
2025-11-11T17:24:55.979836+00:00,-79.70861342156627,-137.69353016472667,517.1597885302667,-67.29279568635751,194.78761327667488,12280.299415643925,0
