Satellite Name,Num Linea 1,NORAD_ID_1,Clasificacion,Designacion Internacional,Epoca,1ra Derivada,2da Derivada,BSTAR,Tipo Elemento,Checksum 1,Num Linea 2,NORAD_ID_2,Inclinacion (°),RAAN (°),Excentricidad,Arg Perigeo (°),Anomalia Media (°),Movimiento Medio (rev/día),Revolucion Epoca,Checksum 2,Fecha UTC
ASTROCAST-0401,1,55110,U,23001DF,25241.76742924,0.00010284,00000+0,44922-3,0,1,2,55110,97.5712,326.7926,0.000999,144.9314,215.2582,15.22265226,14678,7,2025-08-29 18:25:05.886336
ASTROCAST-0401,1,55110,U,23001DF,25201.20176992,5.301e-05,00000+0,23737-3,0,7,2,55110,97.5745,285.9531,0.0007665,295.8651,64.1794,15.21684164,14061,5,2025-07-20 04:50:32.921088
ASTROCAST-0401,1,55110,U,23001DF,25283.49571255,8.429e-05,00000+0,35872-3,0,6,2,55110,97.5689,8.8304,0.0008954,13.983,346.1652,15.23221577,15313,6,2025-10-10 11:53:49.564320
ASTROCAST-0401,1,55110,U,23001DF,25298.14356463,0.00010392,00000+0,43741-3,0,2,2,55110,97.5682,23.5983,0.0007742,319.7114,40.3548,15.23541018,15536,1,2025-10-25 03:26:43.984032
ASTROCAST-0401,1,55110,U,23001DF,25237.75757049,6.812e-05,00000+0,29948-3,0,2,2,55110,97.5726,322.755,0.0009751,157.7818,202.3842,15.22183037,14617,5,2025-08-25 18:10:54.090336
ASTROCAST-0401,1,55110,U,23001DF,25207.18564754,6.716e-05,00000+0,29909-3,0,5,2,55110,97.5747,291.9762,0.0007666,270.8173,89.2184,15.21763509,14152,6,2025-07-26 04:27:19.947456
ASTROCAST-0401,1,55110,U,23001DF,25267.79324102,0.00013636,00000+0,58529-3,0,8,2,55110,97.5702,353.0064,0.0009962,65.0357,295.1913,15.22787717,15074,1,2025-09-24 19:02:16.024128
ASTROCAST-0401,1,55110,U,23001DF,25180.22332274,3.629e-05,00000+0,16448-3,0,4,2,55110,97.575,264.8405,0.0009344,16.1461,344.0071,15.21473084,13742,6,2025-06-29 05:21:35.084736
ASTROCAST-0401,1,55110,U,23001DF,25312.19749308,0.00012211,00000+0,50898-3,0,1,2,55110,97.5678,37.7731,0.0007423,262.313,97.7264,15.23829115,15750,7,2025-11-08 04:44:23.402112
ASTROCAST-0401,1,55110,U,23001DF,25244.98828447,0.00015592,00000+0,67724-3,0,5,2,55110,97.5712,330.0352,0.0010045,134.9448,225.2605,15.22350432,14727,4,2025-09-01 23:43:07.778208
ASTROCAST-0401,1,55110,U,23001DF,25278.17446175,0.00011449,00000+0,48742-3,0,3,2,55110,97.5698,3.4663,0.0009418,31.9291,328.2515,15.23114689,15232,6,2025-10-05 04:11:13.495200
ASTROCAST-0401,1,55110,U,23001DF,25186.73417981,4.96e-05,00000+0,22320-3,0,0,2,55110,97.5754,271.3924,0.0008665,353.4182,6.6938,15.21537372,13841,5,2025-07-05 17:37:13.135584
ASTROCAST-0401,1,55110,U,23001DF,25293.21751093,0.0001289,00000+0,54329-3,0,2,2,55110,97.5693,18.6309,0.0008114,339.1864,20.9041,15.23435296,15461,1,2025-10-20 05:13:12.944352
ASTROCAST-0401,1,55110,U,23001DF,25310.22747849,0.00011584,00000+0,48377-3,0,2,2,55110,97.5686,35.7859,0.0007335,270.4441,89.5955,15.23780031,15720,8,2025-11-06 05:27:34.141536
ASTROCAST-0401,1,55110,U,23001DF,25205.6732698,6.858e-05,00000+0,30557-3,0,2,2,55110,97.575,290.4537,0.0007634,277.1547,82.8821,15.21742226,14129,8,2025-07-24 16:09:30.510720
ASTROCAST-0401,1,55110,U,23001DF,25245.97422178,0.00017559,00000+0,76132-3,0,4,2,55110,97.5716,331.0281,0.0010129,131.6467,228.5638,15.2238412,14742,8,2025-09-02 23:22:52.761792
ASTROCAST-0401,1,55110,U,23001DF,25187.78641239,5.226e-05,00000+0,23493-3,0,9,2,55110,97.5754,272.4512,0.000857,349.3914,10.7139,15.2154932,13857,4,2025-07-06 18:52:26.030496
ASTROCAST-0401,1,55110,U,23001DF,25243.21354832,0.00011683,00000+0,50924-3,0,3,2,55110,97.5711,328.2485,0.0010021,140.3848,219.8122,15.22302464,14700,4,2025-08-31 05:07:30.574848
ASTROCAST-0401,1,55110,U,23001DF,25184.49815904,4.862e-05,00000+0,21898-3,0,8,2,55110,97.5747,269.1422,0.0008878,1.3477,358.7781,15.21514369,13807,7,2025-07-03 11:57:20.941056
ASTROCAST-0401,1,55110,U,23001DF,25249.98353027,0.00013682,00000+0,59257-3,0,7,2,55110,97.5722,335.0664,0.0010177,119.5082,240.7171,15.22478269,14803,9,2025-09-06 23:36:17.015328
ASTROCAST-0401,1,55110,U,23001DF,25284.67816339,0.0001011,00000+0,42926-3,0,0,2,55110,97.5683,10.0221,0.000885,9.866,350.2749,15.23245083,15331,4,2025-10-11 16:16:33.316896
ASTROCAST-0401,1,55110,U,23001DF,25191.79797983,4.99e-05,00000+0,22419-3,0,7,2,55110,97.5729,276.488,0.0008545,333.243,26.8327,15.21589891,13918,7,2025-07-10 19:09:05.457312
ASTROCAST-0401,1,55110,U,23001DF,25279.48838602,8.919e-05,00000+0,38027-3,0,1,2,55110,97.57,4.791,0.0009298,27.541,332.6317,15.23139544,15252,7,2025-10-06 11:43:16.552128
ASTROCAST-0401,1,55110,U,23001DF,25287.24006962,9.717e-05,00000+0,41205-3,0,9,2,55110,97.5683,12.604,0.0008622,1.0086,359.1166,15.23303222,15370,8,2025-10-14 05:45:42.015168
ASTROCAST-0401,1,55110,U,23001DF,25272.19569846,0.00014878,00000+0,63597-3,0,4,2,55110,97.5688,357.4415,0.0009801,50.0961,310.1135,15.22908452,15141,9,2025-09-29 04:41:48.346944
ASTROCAST-0401,1,55110,U,23001DF,25232.76144087,7.122e-05,00000+0,31358-3,0,3,2,55110,97.5732,317.7239,0.000942,174.0873,186.0476,15.2211799,14541,8,2025-08-20 18:16:28.491168
