Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25296.95546827  .00016511  00000+0  48874-3 0  9992,2 55009  97.3532 356.2549 0005504 237.7168 122.3542 15.34948209155894
MENUT,1 55010U 23001B   25296.91675778  .00039372  00000+0  11191-2 0  9999,2 55010  97.3597 356.6148 0004688 232.4060 127.6759 15.36047443155868
BRO-8,1 55011U 23001C   25296.95675432  .00027135  00000+0  80544-3 0  9994,2 55011  97.3593 355.7547 0006557 250.7123 109.3411 15.34753247155808
CONNECTA T1.2,1 55012U 23001D   25296.66409924  .00016176  00000+0  42803-3 0  9993,2 55012  97.3626   0.1203 0006639 222.5823 137.4908 15.38446404156050
BIRKELAND,1 55015U 23001G   25296.91661596  .00013734  00000+0  40930-3 0  9995,2 55015  97.3669 359.7174 0006568 224.5580 135.5136 15.34768828156047
OBJECT H,1 55016U 23001H   25296.93960231  .00015875  00000+0  47695-3 0  9999,2 55016  97.3519 356.2462 0006370 232.5035 127.5629 15.34481333155904
KSF3-B,1 55019U 23001L   25296.90849799  .00158625  00000+0  14052-2 0  9995,2 55019  97.3559  12.0512 0004010 142.1857 217.9687 15.68098873156898
LYNK TOWER 4,1 55034U 23001AB  25296.95784483  .00011042  00000+0  39557-3 0  9994,2 55034  97.3564 353.3427 0007741 233.6842 126.3683 15.28890858155674
UMBRA-05,1 55036U 23001AD  25296.65393126  .00302380  00000+0  26838-2 0  9998,2 55036  97.3483 356.5729 0001534 194.7215 165.4002 15.67617608155864
SKYKRAFT-1,1 55041U 23001AJ  25296.87912274  .00034295  00000+0  70081-3 0  9996,2 55041  97.3549   2.7677 0006457 200.2675 159.8319 15.46061393156306
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25296.91330979  .00015917  00000+0  64316-3 0  9995,2 55045  97.3673 358.3739 0007837 192.9850 167.1188 15.24804033156186
LYNK TOWER 3,1 55046U 23001AP  25296.65600846  .00013958  00000+0  48344-3 0  9996,2 55046  97.3568 353.6393 0007828 237.8592 122.1889 15.29934820155660
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25296.91079214  .00015487  00000+0  60336-3 0  9999,2 55047  97.3385 357.2979 0008715 160.1540 200.0040 15.26024133156250
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25296.89529049  .00017317  00000+0  59735-3 0  9998,2 55048  97.2237 350.9956 0005103 215.1416 144.9489 15.30031512156226
ICEYE-X21,1 55049U 23001AS  25296.90365764  .00061211  00000+0  10264-2 0  9998,2 55049  97.3598   5.3586 0014211 198.4180 161.6560 15.51513082156450
ION SCV-008,1 55051U 23001AU  25296.97016516  .00009628  00000+0  39148-3 0  9993,2 55051  97.5801  24.9484 0017484 122.0663 238.2275 15.24614315155296
EOSSAT-1,1 55053U 23001AW  25296.42077564  .00010326  00000+0  36227-3 0  9997,2 55053  97.3590 354.1992 0008609 235.3007 124.7423 15.29584094155673
SKYKRAFT-1A,1 55054U 23001AX  25296.10638055  .00007068  00000+0  27647-3 0  9996,2 55054  97.3586 352.1447 0008882 246.6510 113.3794 15.26110630155526
VIGORIDE-5,1 55056U 23001AZ  25296.83684855  .00028145  00000+0  64723-3 0  9992,2 55056  97.3560 358.4950 0003585 212.1486 147.9543 15.42617447156019
SKYKRAFT-1B,1 55058U 23001BB  25296.66334868  .00180911  00000+0  11318-2 0  9992,2 55058  97.3468  11.1177 0004597 193.4481 166.6663 15.76301275156840
