Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25207.16687720  .00009660  00000+0  31138-3 0  9997,2 55009  97.3668 266.8312 0006703 194.3649 165.7404 15.32362828142138
MENUT,1 55010U 23001B   25207.15476040  .00006559  00000+0  22493-3 0  9997,2 55010  97.3748 267.2171 0007068 197.6529 162.4468 15.30488062142114
BRO-8,1 55011U 23001C   25207.17322654  .00013425  00000+0  45367-3 0  9996,2 55011  97.3736 266.3959 0008000 205.6853 154.3991 15.30742168142057
CONNECTA T1.2,1 55012U 23001D   25206.75258899  .00009942  00000+0  28759-3 0  9994,2 55012  97.3758 269.9936 0008180 184.7228 175.3940 15.35783678142242
BIRKELAND,1 55015U 23001G   25207.13898706  .00007506  00000+0  23939-3 0  9996,2 55015  97.3795 270.1238 0007815 182.9869 177.1328 15.32777964142282
OBJECT H,1 55016U 23001H   25207.12917711  .00009072  00000+0  29533-3 0  9990,2 55016  97.3656 266.8671 0007755 189.4737 170.6360 15.32054950142143
KSF3-B,1 55019U 23001L   25207.15919586  .00058933  00000+0  91407-3 0  9997,2 55019  97.3706 279.1642 0006734 102.0075 258.1933 15.53787094142917
FLOCK 4Y-24,1 55020U 23001M   25207.17309521  .00142663  00000+0  14494-2 0  9997,2 55020  97.3677 281.7977 0004392 173.8317 186.2997 15.64717818143112
FLOCK 4Y-22,1 55022U 23001P   25206.72328996  .00084462  00000+0  10643-2 0  9990,2 55022  97.3617 280.6637 0005898 141.8588 218.3086 15.59319977143019
FLOCK 4Y-18,1 55023U 23001Q   25207.18576087  .00146968  00000+0  15075-2 0  9992,2 55023  97.3674 282.0951 0004715 182.5742 177.5494 15.64459080143104
FLOCK 4Y-14,1 55024U 23001R   25207.20838387  .00139879  00000+0  13797-2 0  9992,2 55024  97.3606 281.8715 0004133 181.2994 178.8256 15.65476305143126
FLOCK 4Y-30,1 55025U 23001S   25206.73003035  .06658504  24591-5  16590-2 0  9992,2 55025  97.3555 284.6816 0014659 270.1869  89.7744 16.28814463143231
FLOCK 4Y-25,1 55027U 23001U   25207.18583394  .00304343  00000+0  17221-2 0  9993,2 55027  97.3557 282.0948 0004975 185.2585 174.8630 15.78246882143164
FLOCK 4Y-5,1 55028U 23001V   25207.20428158  .00208509  00000+0  15940-2 0  9996,2 55028  97.3634 282.2712 0006964 200.3547 159.7440 15.71512288143147
FLOCK 4Y-10,1 55029U 23001W   25207.16261932  .00137232  00000+0  13323-2 0  9994,2 55029  97.3587 282.0137 0005865 168.2146 191.9252 15.65874099143121
FLOCK 4Y-7,1 55032U 23001Z   25206.76808960  .00035537  00000+0  49760-3 0  9991,2 55032  97.3661 279.5202 0006207 146.6122 213.5526 15.56699673142933
LYNK TOWER 4,1 55034U 23001AB  25206.12178229  .00007007  00000+0  26563-3 0  9998,2 55034  97.3707 263.5943 0009195 192.7075 167.3934 15.27153705141802
UMBRA-05,1 55036U 23001AD  25207.14056016  .00056302  00000+0  12706-2 0  9997,2 55036  97.3669 264.9681 0004298  91.8265 268.3475 15.43023794141987
SKYKRAFT-1,1 55041U 23001AJ  25207.13985640  .00017449  00000+0  42163-3 0  9996,2 55041  97.3685 272.0449 0008173 166.1472 194.0001 15.41194686142466
FLOCK 4Y-33,1 55042U 23001AK  25206.71071889  .00123859  00000+0  13364-2 0  9994,2 55042  97.3698 281.1427 0004202 162.6745 197.4658 15.63243305143037
FLOCK 4Y-11,1 55043U 23001AL  25206.73424347  .00034604  00000+0  48421-3 0  9990,2 55043  97.3707 279.2983 0006971 157.5374 202.6187 15.56716752142881
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25207.17654741  .00010168  00000+0  39383-3 0  9990,2 55045  97.3730 269.8453 0009014 153.3451 206.8253 15.26321707142493
LYNK TOWER 3,1 55046U 23001AP  25206.71545465  .00008504  00000+0  31661-3 0  9994,2 55046  97.3708 264.6703 0009363 193.0107 167.0893 15.27685381141923
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25207.15986872  .00010557  00000+0  38112-3 0  9994,2 55047  97.3456 268.9495 0010445 119.6660 240.5621 15.28625002142551
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25207.14561930  .00009101  00000+0  34111-3 0  9996,2 55048  97.2378 263.8234 0006737 173.0562 187.0772 15.27453730142517
ICEYE-X21,1 55049U 23001AS  25207.18249245  .00025853  00000+0  56376-3 0  9992,2 55049  97.3726 274.1029 0016410 161.2156 198.9702 15.44080488142586
ION SCV-008,1 55051U 23001AU  25206.74001663  .00005560  00000+0  23777-3 0  9998,2 55051  97.5846 293.7679 0018260  81.4745 278.8560 15.23105773141552
EOSSAT-1,1 55053U 23001AW  25206.74226502  .00005797  00000+0  21496-3 0  9999,2 55053  97.3726 265.4646 0010184 190.5176 169.5852 15.27952383141973
SKYKRAFT-1A,1 55054U 23001AX  25207.16028910  .00004130  00000+0  16810-3 0  9994,2 55054  97.3716 264.5672 0010264 195.5451 164.5473 15.25018048141964
VIGORIDE-5,1 55056U 23001AZ  25206.75166088  .00017637  00000+0  48280-3 0  9991,2 55056  97.3698 267.9124 0009910 168.2216 191.9263 15.37348443142157
SKYKRAFT-1B,1 55058U 23001BB  25206.76818975  .00045256  00000+0  59729-3 0  9991,2 55058  97.3634 277.2963 0006771 153.7882 206.3718 15.58237314142786
ION SCV-007,1 55060U 23001BD  25206.73721508  .00000450  00000+0  70968-4 0  9992,2 55060  97.9476 270.4612 0011385 314.6046  45.4234 14.77080023138055
SKYKRAFT-1C,1 55061U 23001BE  25207.13685173  .00002935  00000+0  13080-3 0  9996,2 55061  97.3699 262.6302 0010392 207.0198 153.0498 15.22162613141831
ICEYE-X27,1 55062U 23001BF  25206.75047582  .00056866  00000+0  74261-3 0  9990,2 55062  97.3657 275.1013 0004490 187.7926 172.3261 15.58484867142615
FLOCK 4Y-20,1 55063U 23001BG  25206.71994274  .00226080  00000+0  24026-2 0  9996,2 55063  97.3698 281.5126 0005197 174.4552 185.6765 15.63298322143027
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25207.17975791  .00035549  00000+0  59037-3 0  9990,2 55064  97.2290 269.0172 0007083 124.7541 235.4379 15.51991085143296
FLOCK 4Y-12,1 55065U 23001BJ  25207.19916169  .00130637  00000+0  14051-2 0  9997,2 55065  97.3652 282.1346 0005064 168.8174 191.3198 15.63297553143108
FLOCK 4Y-15,1 55068U 23001BM  25206.71161012  .00137431  00000+0  13680-2 0  9992,2 55068  97.3583 281.1332 0005858 163.0887 197.0569 15.65243723143069
FLOCK 4Y-26,1 55070U 23001BP  25206.87286429  .07006776  24650-5  14558-2 0  9994,2 55070  97.3455 284.6067 0016879 270.7280  89.2080 16.30639702143251
FLOCK 4Y-2,1 55074U 23001BT  25207.15257767  .00124347  00000+0  13303-2 0  9995,2 55074  97.3633 281.9534 0005864 162.8211 197.3247 15.63450794143117
YAM-5,1 55076U 23001BV  25206.71570573  .00008302  00000+0  28559-3 0  9993,2 55076  97.3699 266.3252 0010439 189.6406 170.4636 15.30277220142042
FLOCK 4Y-21,1 55077U 23001BW  25207.16064063  .00132088  00000+0  13627-2 0  9994,2 55077  97.3656 282.2222 0005337 160.3444 199.8022 15.64357099143123
FLOCK 4Y-13,1 55079U 23001BY  25207.20151029  .00495669  00000+0  18469-2 0  9996,2 55079  97.3553 283.4657 0006430 206.0295 154.0654 15.86782222143222
OBJECT CA,1 55081U 23001CA  25207.15496532  .00047871  00000+0  63419-3 0  9998,2 55081  97.3650 278.1691 0008161 153.9585 206.2083 15.58111902142851
FLOCK 4Y-34,1 55082U 23001CB  25207.18147096  .00903371  37842-3  20527-2 0  9996,2 55082  97.3514 283.8108 0008060 231.9956 128.0594 15.97515650143258
GAMA-ALPHA,1 55084U 23001CD  25206.71615264  .00038077  00000+0  58274-3 0  9998,2 55084  97.3699 276.5741 0008200 150.5995 209.5721 15.54240814142730
KSF3-D,1 55085U 23001CE  25207.15458290  .00093947  00000+0  97263-3 0  9990,2 55085  97.3648 280.0490 0005477 161.0042 199.1422 15.64392706143001
KSF3-A,1 55086U 23001CF  25207.15086030  .00053332  00000+0  86477-3 0  9999,2 55086  97.3723 279.2942 0006892 135.1674 225.0136 15.52575509142925
