Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25241.96426125  .00015280  00000+0  47957-3 0  9994,2 55009  97.3623 301.4693 0008477  87.8392 272.3821 15.33086298147462
MENUT,1 55010U 23001B   25241.98788826  .00033712  00000+0  10901-2 0  9995,2 55010  97.3699 301.8441 0007916  93.3818 266.8330 15.31969051147440
BRO-8,1 55011U 23001C   25241.93810712  .00023830  00000+0  77522-3 0  9994,2 55011  97.3689 300.9571 0009715  96.3481 263.8867 15.31832014147374
CONNECTA T1.2,1 55012U 23001D   25241.92797645  .00015962  00000+0  44855-3 0  9993,2 55012  97.3709 305.2325 0009471  78.5802 281.6506 15.36557805147646
BIRKELAND,1 55015U 23001G   25241.99384472  .00011130  00000+0  34728-3 0  9994,2 55015  97.3750 304.8956 0009169  77.0871 283.1396 15.33345744147620
OBJECT H,1 55016U 23001H   25241.93395104  .00014596  00000+0  46311-3 0  9993,2 55016  97.3609 301.4892 0009319  81.9642 278.2658 15.32741704147477
KSF3-B,1 55019U 23001L   25241.96879897  .00045506  00000+0  64090-3 0  9994,2 55019  97.3658 315.0246 0003362 340.2894  19.8231 15.56507799148321
FLOCK 4Y-24,1 55020U 23001M   25241.76007733  .00404717  00000+0  21671-2 0  9996,2 55020  97.3589 318.2551 0004424 259.5015 100.5754 15.79223345148546
FLOCK 4Y-22,1 55022U 23001P   25241.72616686  .00232809  00000+0  19609-2 0  9996,2 55022  97.3531 317.1361 0003039 294.6397  65.4548 15.69115596148486
FLOCK 4Y-18,1 55023U 23001Q   25241.78358690  .00377200  00000+0  20941-2 0  9997,2 55023  97.3580 318.5347 0003967 253.4012 106.6819 15.78486461148545
FLOCK 4Y-14,1 55024U 23001R   25241.77640475  .00399318  00000+0  20212-2 0  9997,2 55024  97.3517 318.3205 0004369 250.3109 109.7688 15.80485092148558
FLOCK 4Y-10,1 55029U 23001W   25241.77517490  .00479489  00000+0  22668-2 0  9997,2 55029  97.3494 318.5486 0005702 264.8631  95.1987 15.81772255148564
FLOCK 4Y-7,1 55032U 23001Z   25241.92491251  .00186017  00000+0  19170-2 0  9990,2 55032  97.3593 315.9620 0002458 325.3033  34.8065 15.64222919148412
LYNK TOWER 4,1 55034U 23001AB  25241.69535037  .00009599  00000+0  35713-3 0  9998,2 55034  97.3659 298.7371 0011040  81.2220 279.0270 15.27651884147237
UMBRA-05,1 55036U 23001AD  25241.91461008  .00107241  00000+0  20461-2 0  9997,2 55036  97.3613 300.2438 0002938 263.3546  96.7370 15.47753317147356
SKYKRAFT-1,1 55041U 23001AJ  25241.99113447  .00025725  00000+0  59338-3 0  9994,2 55041  97.3635 307.2251 0008029  60.1152 300.0892 15.42516917147830
FLOCK 4Y-33,1 55042U 23001AK  25241.72484013  .00349853  00000+0  21366-2 0  9996,2 55042  97.3600 317.9479 0003838 258.9270 101.1564 15.76396068148527
FLOCK 4Y-11,1 55043U 23001AL  25241.71675352  .00167322  00000+0  18260-2 0  9992,2 55043  97.3640 315.5381 0003137  10.5367 349.5957 15.62811972148333
