Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25237.98262928  .00010876  00000+0  34344-3 0  9992,2 55009  97.3630 297.5056 0008570  99.3662 260.8549 15.32974163146857
MENUT,1 55010U 23001B   25237.93784597  .00027133  00000+0  88548-3 0  9999,2 55010  97.3706 297.8156 0008173 105.1394 255.0753 15.31717672146823
BRO-8,1 55011U 23001C   25237.95313821  .00016048  00000+0  52616-3 0  9990,2 55011  97.3696 296.9942 0009882 108.3181 251.9136 15.31661068146762
CONNECTA T1.2,1 55012U 23001D   25237.10866538  .00010280  00000+0  29113-3 0  9994,2 55012  97.3722 300.4042 0009738  92.3292 267.9068 15.36423155146905
BIRKELAND,1 55015U 23001G   25237.94767189  .00008288  00000+0  25993-3 0  9998,2 55015  97.3758 300.8592 0009323  88.9598 271.2713 15.33267110147002
OBJECT H,1 55016U 23001H   25237.95143491  .00010326  00000+0  32959-3 0  9990,2 55016  97.3617 297.5274 0009478  93.9093 266.3233 15.32636556146861
KSF3-B,1 55019U 23001L   25237.98245270  .00082196  00000+0  11679-2 0  9993,2 55019  97.3667 310.9125 0003631   0.3386 359.7871 15.56115488147707
FLOCK 4Y-24,1 55020U 23001M   25237.76442012  .00275699  00000+0  16934-2 0  9995,2 55020  97.3612 314.0038 0003588 248.4431 111.6452 15.76467618147914
FLOCK 4Y-22,1 55022U 23001P   25237.77006394  .00155221  00000+0  14124-2 0  9994,2 55022  97.3556 312.9887 0001940 308.0004  52.1081 15.67451624147862
FLOCK 4Y-18,1 55023U 23001Q   25237.72271322  .00254750  00000+0  16160-2 0  9994,2 55023  97.3601 314.2189 0002649 231.1584 128.9445 15.75786705147901
FLOCK 4Y-14,1 55024U 23001R   25237.72021172  .00277457  00000+0  16323-2 0  9991,2 55024  97.3538 314.0020 0003606 234.8966 125.1963 15.77444617147911
FLOCK 4Y-10,1 55029U 23001W   25237.72216506  .00268168  00000+0  14912-2 0  9994,2 55029  97.3517 314.2260 0003964 268.0138  92.0675 15.78738372147926
FLOCK 4Y-7,1 55032U 23001Z   25237.70078059  .00118549  00000+0  13010-2 0  9990,2 55032  97.3612 311.5614 0001965   6.6504 353.4780 15.62831798147752
LYNK TOWER 4,1 55034U 23001AB  25237.76512713  .00006820  00000+0  25517-3 0  9992,2 55034  97.3665 294.8547 0011158  93.0104 267.2412 15.27579472146630
UMBRA-05,1 55036U 23001AD  25237.90511323  .00080344  00000+0  15806-2 0  9998,2 55036  97.3623 296.1653 0002360 279.2739  80.8244 15.46973306146734
SKYKRAFT-1,1 55041U 23001AJ  25237.96883532  .00020390  00000+0  47417-3 0  9993,2 55041  97.3645 303.1629 0008366  73.1528 287.0636 15.42315203147217
FLOCK 4Y-33,1 55042U 23001AK  25237.72246291  .00245672  00000+0  16860-2 0  9992,2 55042  97.3627 313.7057 0002907 249.9231 110.1721 15.73982753147898
FLOCK 4Y-11,1 55043U 23001AL  25237.74530124  .00116772  00000+0  13445-2 0  9990,2 55043  97.3661 311.4053 0003261  40.8767 319.2735 15.61589949147719
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25237.98283903  .00011558  00000+0  43883-3 0  9994,2 55045  97.3691 300.2544 0009023  62.0889 298.1263 15.26950669147193
LYNK TOWER 3,1 55046U 23001AP  25237.69171002  .00008504  00000+0  31132-3 0  9990,2 55046  97.3670 295.3007 0011132  94.8688 265.3823 15.28222634146657
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25237.93716935  .00011428  00000+0  42204-3 0  9999,2 55047  97.3435 299.2890 0008712  27.0792 333.0901 15.27870048147258
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25237.92934674  .00011017  00000+0  40459-3 0  9995,2 55048  97.2339 293.7080 0007868  84.3336 275.8801 15.28066648147214
ICEYE-X21,1 55049U 23001AS  25237.95328258  .00023982  00000+0  50294-3 0  9996,2 55049  97.3687 305.3165 0015744  58.3818 301.8965 15.45258974147332
ION SCV-008,1 55051U 23001AU  25237.74540129  .00005071  00000+0  21524-3 0  9992,2 55051  97.5827 325.0856 0015807 335.8511  24.1983 15.23449115146274
EOSSAT-1,1 55053U 23001AW  25237.71458560  .00006326  00000+0  23136-3 0  9993,2 55053  97.3690 296.1081 0012162  91.7753 268.4880 15.28347743146703
SKYKRAFT-1A,1 55054U 23001AX  25237.73418385  .00004123  00000+0  16636-3 0  9997,2 55054  97.3682 294.6752 0012334  96.6787 263.5855 15.25289010146623
VIGORIDE-5,1 55056U 23001AZ  25237.91676087  .00013830  00000+0  36631-3 0  9996,2 55056  97.3658 299.1971 0008405  74.3653 285.8519 15.38437238146940
SKYKRAFT-1B,1 55058U 23001BB  25237.75123824  .00057426  00000+0  66439-3 0  9994,2 55058  97.3584 309.4107 0004432  59.3759 300.7936 15.61673921147614
ION SCV-007,1 55060U 23001BD  25237.89829900  .00000468  00000+0  73450-4 0  9996,2 55060  97.9439 301.1531 0011866 203.6738 156.3928 14.77111932142652
SKYKRAFT-1C,1 55061U 23001BE  25237.90026921  .00003476  00000+0  15333-3 0  9998,2 55061  97.3664 292.7842 0012820 105.3641 254.9014 15.22361958146515
ICEYE-X27,1 55062U 23001BF  25237.72056760  .00075605  00000+0  83578-3 0  9992,2 55062  97.3607 307.2445 0004242 128.6737 231.4902 15.62784908147444
FLOCK 4Y-20,1 55063U 23001BG  25237.71544838  .00367976  00000+0  17923-2 0  9995,2 55063  97.3611 314.2513 0007136 240.7640 119.2915 15.81392358147899
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25237.97616824  .00043987  00000+0  67160-3 0  9991,2 55064  97.2241 300.0421 0004548  30.0717 330.0798 15.54301962148072
FLOCK 4Y-12,1 55065U 23001BJ  25237.70203202  .00225988  00000+0  15778-2 0  9995,2 55065  97.3594 314.1420 0002096 241.0374 119.0680 15.73636486147896
FLOCK 4Y-15,1 55068U 23001BM  25237.73646484  .00270726  00000+0  15980-2 0  9999,2 55068  97.3514 313.7878 0001953 271.1400  88.9642 15.77390476147935
FLOCK 4Y-2,1 55074U 23001BT  25237.77849627  .00223038  00000+0  15364-2 0  9994,2 55074  97.3567 314.0940 0001490 268.7837  91.3256 15.73961741147918
YAM-5,1 55076U 23001BV  25237.90113241  .00009537  00000+0  32209-3 0  9991,2 55076  97.3654 297.2783 0012105  89.9930 270.2699 15.30810326146818
FLOCK 4Y-21,1 55077U 23001BW  25237.76129171  .00261877  00000+0  16578-2 0  9992,2 55077  97.3586 314.4064 0002675 264.9922  95.1038 15.75813594147927
OBJECT CA,1 55081U 23001CA  25237.94954834  .00061747  00000+0  72097-3 0  9992,2 55081  97.3602 310.0860 0005631  55.6172 304.5618 15.61410371147656
GAMA-ALPHA,1 55084U 23001CD  25237.91479881  .00048828  00000+0  67730-3 0  9999,2 55084  97.3651 308.7273 0006391  56.3684 303.8180 15.56887074147585
