Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25293.30461938  .00021380  00000+0  63439-3 0  9991,2 55009  97.3545 352.6147 0005322 253.5229 106.5430 15.34819308155330
MENUT,1 55010U 23001B   25293.26832801  .00047816  00000+0  13699-2 0  9993,2 55010  97.3612 352.9682 0004426 248.4310 111.6463 15.35754204155306
BRO-8,1 55011U 23001C   25293.30534922  .00033985  00000+0  10141-2 0  9993,2 55011  97.3611 352.1122 0006432 265.9998  94.0509 15.34541126155246
CONNECTA T1.2,1 55012U 23001D   25293.28174041  .00021701  00000+0  57528-3 0  9997,2 55012  97.3636 356.7253 0006408 235.9890 124.0747 15.38328923155532
BIRKELAND,1 55015U 23001G   25293.20017072  .00015330  00000+0  45799-3 0  9990,2 55015  97.3682 356.0058 0006278 240.0011 120.0609 15.34668570155476
OBJECT H,1 55016U 23001H   25293.22243524  .00020682  00000+0  62275-3 0  9990,2 55016  97.3532 352.5432 0006174 248.0007 112.0580 15.34357195155338
KSF3-B,1 55019U 23001L   25293.26975627  .00166621  00000+0  15450-2 0  9999,2 55019  97.3579   8.2394 0004018 153.1573 206.9896 15.66941589156327
LYNK TOWER 4,1 55034U 23001AB  25293.16168680  .00014237  00000+0  51046-3 0  9995,2 55034  97.3585 349.5906 0007521 249.6065 110.4367 15.28800238155098
UMBRA-05,1 55036U 23001AD  25293.14069438  .00346561  00000+0  33322-2 0  9990,2 55036  97.3498 352.9017 0002276 185.1706 174.9530 15.65477263155313
SKYKRAFT-1,1 55041U 23001AJ  25293.25434111  .00043333  00000+0  89198-3 0  9996,2 55041  97.3563 359.0915 0006245 214.1217 145.9632 15.45799864155747
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25293.30383089  .00019645  00000+0  79557-3 0  9990,2 55045  97.3686 354.8235 0007569 205.7025 154.3837 15.24687271155632
LYNK TOWER 3,1 55046U 23001AP  25292.46995022  .00020512  00000+0  71159-3 0  9998,2 55046  97.3587 349.4950 0007634 255.2531 104.7864 15.29799180155022
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25293.30419758  .00019689  00000+0  76858-3 0  9994,2 55047  97.3398 353.7576 0008482 171.8888 188.2489 15.25909527155704
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25293.29811715  .00021755  00000+0  75232-3 0  9994,2 55048  97.2251 347.4980 0004854 230.0505 130.0310 15.29904637155679
ICEYE-X21,1 55049U 23001AS  25293.29135756  .00078336  00000+0  13325-2 0  9990,2 55049  97.3614   1.6638 0014401 210.9454 149.0951 15.51038206155892
