Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25202.39975164  .00007851  00000+0  25439-3 0  9996,2 55009  97.3680 262.0867 0006248 212.1565 147.9296 15.32263964141406
MENUT,1 55010U 23001B   25202.44722933  .00005592  00000+0  19262-3 0  9995,2 55010  97.3757 262.5402 0006575 215.1706 144.9101 15.30418118141397
BRO-8,1 55011U 23001C   25202.40103764  .00005357  00000+0  18331-3 0  9992,2 55011  97.3746 261.6538 0007527 223.9214 136.1430 15.30645285141323
CONNECTA T1.2,1 55012U 23001D   25202.12637718  .00008457  00000+0  24587-3 0  9997,2 55012  97.3767 265.3600 0007632 200.8296 159.2638 15.35678930141536
BIRKELAND,1 55015U 23001G   25202.43846095  .00006226  00000+0  19955-3 0  9999,2 55015  97.3803 265.4348 0007326 199.4143 160.6821 15.32696446141566
OBJECT H,1 55016U 23001H   25202.42641861  .00007395  00000+0  24197-3 0  9995,2 55016  97.3666 262.1896 0007292 206.4523 153.6348 15.31961171141429
KSF3-B,1 55019U 23001L   25202.45711766  .00025003  00000+0  39675-3 0  9996,2 55019  97.3714 274.3306 0007105 115.5076 244.6913 15.53331664142188
FLOCK 4Y-24,1 55020U 23001M   25202.11847719  .00116910  00000+0  12612-2 0  9998,2 55020  97.3694 276.5215 0005028 177.6559 182.4724 15.63266685142323
FLOCK 4Y-22,1 55022U 23001P   25201.45974528  .00027203  00000+0  35414-3 0  9997,2 55022  97.3622 275.2156 0006184 156.3567 203.7974 15.58707113142192
FLOCK 4Y-18,1 55023U 23001Q   25202.19433216  .00108787  00000+0  11849-2 0  9996,2 55023  97.3687 276.8876 0005276 186.1218 173.9977 15.63045583142323
FLOCK 4Y-14,1 55024U 23001R   25202.15617871  .00112765  00000+0  11826-2 0  9990,2 55024  97.3612 276.5964 0004447 181.8584 178.2660 15.64006894142335
FLOCK 4Y-30,1 55025U 23001S   25202.19990441  .01115791  67837-3  17821-2 0  9991,2 55025  97.3620 279.6098 0010016 242.0991 117.9275 16.03730481142509
FLOCK 4Y-25,1 55027U 23001U   25202.17233183  .00214282  00000+0  13808-2 0  9994,2 55027  97.3563 276.7700 0006029 179.9114 180.2154 15.75520160142372
FLOCK 4Y-5,1 55028U 23001V   25202.17059635  .00155603  00000+0  12999-2 0  9994,2 55028  97.3645 276.9679 0007404 203.9359 156.1560 15.69522164142358
FLOCK 4Y-10,1 55029U 23001W   25202.11174866  .00110915  00000+0  11432-2 0  9991,2 55029  97.3599 276.7381 0006090 172.6416 187.4934 15.64444954142336
FLOCK 4Y-7,1 55032U 23001Z   25202.46077378  .00029649  00000+0  42105-3 0  9998,2 55032  97.3673 275.0750 0006334 158.3528 201.7996 15.56351168142266
LYNK TOWER 4,1 55034U 23001AB  25201.40398754  .00004641  00000+0  17727-3 0  9994,2 55034  97.3713 258.9339 0008679 210.1028 149.9713 15.27091989141081
UMBRA-05,1 55036U 23001AD  25202.40557697  .00048819  00000+0  11248-2 0  9996,2 55036  97.3680 260.1808 0005035 104.8659 255.3146 15.42435309141250
SKYKRAFT-1,1 55041U 23001AJ  25202.46483437  .00014884  00000+0  36218-3 0  9998,2 55041  97.3694 267.3288 0007802 181.3745 178.7481 15.41019414141740
FLOCK 4Y-33,1 55042U 23001AK  25202.16404319  .00103602  00000+0  11744-2 0  9991,2 55042  97.3705 276.4046 0004939 167.2138 192.9246 15.62033456142321
FLOCK 4Y-11,1 55043U 23001AL  25201.46258836  .00028023  00000+0  39830-3 0  9995,2 55043  97.3710 273.8546 0006926 172.0798 188.0567 15.56334928142062
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25202.45612157  .00008367  00000+0  32567-3 0  9996,2 55045  97.3739 265.1865 0008640 168.1745 191.9698 15.26218014141775
LYNK TOWER 3,1 55046U 23001AP  25202.13027574  .00006885  00000+0  25758-3 0  9992,2 55046  97.3717 260.1369 0008889 209.5095 150.5644 15.27602757141223
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25202.44653409  .00009214  00000+0  33420-3 0  9993,2 55047  97.3466 264.2986 0010299 133.8864 226.3228 15.28511245141835
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25202.42868644  .00008008  00000+0  30144-3 0  9991,2 55048  97.2389 259.2449 0006267 188.7658 171.3473 15.27353465141790
ICEYE-X21,1 55049U 23001AS  25202.45127535  .00010732  00000+0  23744-3 0  9997,2 55049  97.3736 269.3068 0016215 177.2143 182.9199 15.43852860141854
ION SCV-008,1 55051U 23001AU  25201.94402449  .00004735  00000+0  20330-3 0  9997,2 55051  97.5842 288.9245 0018396  96.8504 263.4826 15.23047076140821
EOSSAT-1,1 55053U 23001AW  25201.69947526  .00005091  00000+0  18953-3 0  9995,2 55053  97.3737 260.4753 0009667 209.0173 151.0530 15.27885792141200
SKYKRAFT-1A,1 55054U 23001AX  25202.10784235  .00003529  00000+0  14428-3 0  9996,2 55054  97.3726 259.5913 0009758 214.1782 145.8829 15.24973017141195
VIGORIDE-5,1 55056U 23001AZ  25202.19512208  .00014125  00000+0  38961-3 0  9998,2 55056  97.3706 263.3415 0009555 183.4354 176.6826 15.37167014141457
SKYKRAFT-1B,1 55058U 23001BB  25202.14378243  .00040972  00000+0  55102-3 0  9999,2 55058  97.3646 272.5148 0006763 167.0526 193.0904 15.57753987142053
ION SCV-007,1 55060U 23001BD  25201.92751402  .00000349  00000+0  56657-4 0  9990,2 55060  97.9479 265.7227 0011669 331.4427  28.6143 14.77074875137343
SKYKRAFT-1C,1 55061U 23001BE  25201.87773470  .00002502  00000+0  11209-3 0  9990,2 55061  97.3707 257.4744 0009946 227.0522 132.9880 15.22127048141035
ICEYE-X27,1 55062U 23001BF  25202.19086118  .00046184  00000+0  61756-3 0  9999,2 55062  97.3669 270.3844 0004177 195.5045 164.6083 15.57899922141906
FLOCK 4Y-20,1 55063U 23001BG  25201.46703295  .00174079  00000+0  20343-2 0  9992,2 55063  97.3708 276.0433 0006582 174.6775 185.4554 15.60994812142204
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25202.40797706  .00029439  00000+0  49581-3 0  9993,2 55064  97.2305 264.2168 0007061 138.5960 221.5828 15.51633580142555
FLOCK 4Y-12,1 55065U 23001BJ  25202.20418893  .00101019  00000+0  11480-2 0  9990,2 55065  97.3664 276.9340 0005806 174.2981 185.8344 15.61971591142320
FLOCK 4Y-15,1 55068U 23001BM  25202.17055670  .00119523  00000+0  12563-2 0  9991,2 55068  97.3584 276.3948 0006434 170.0726 190.0661 15.63914723142350
FLOCK 4Y-26,1 55070U 23001BP  25202.15709107  .01154757  73066-3  18793-2 0  9999,2 55070  97.3567 279.3327 0010502 246.1933 113.8246 16.03417355142495
FLOCK 4Y-2,1 55074U 23001BT  25202.47838243  .00106858  00000+0  12029-2 0  9990,2 55074  97.3644 277.0866 0006507 170.6004 189.5377 15.62192419142386
YAM-5,1 55076U 23001BV  25201.41895844  .00006354  00000+0  21987-3 0  9999,2 55076  97.3705 261.0688 0009942 208.9127 151.1564 15.30185706141230
FLOCK 4Y-21,1 55077U 23001BW  25202.16894851  .00111553  00000+0  12183-2 0  9995,2 55077  97.3669 277.0164 0006285 168.7194 191.4207 15.62960164142348
FLOCK 4Y-13,1 55079U 23001BY  25202.14907856  .00334717  00000+0  15590-2 0  9999,2 55079  97.3569 278.0404 0007818 196.7802 163.3209 15.82439389142428
OBJECT CA,1 55081U 23001CA  25202.46596739  .00040908  00000+0  55244-3 0  9998,2 55081  97.3662 273.3208 0008075 167.6708 192.4746 15.57631418142128
FLOCK 4Y-34,1 55082U 23001CB  25202.47237958  .00485458  91886-4  15856-2 0  9999,2 55082  97.3535 278.6843 0007857 214.2576 145.8191 15.90572093142508
GAMA-ALPHA,1 55084U 23001CD  25202.46638911  .00034104  00000+0  52940-3 0  9991,2 55084  97.3705 272.2022 0008040 163.5039 196.6477 15.53872328142079
KSF3-D,1 55085U 23001CE  25202.41967697  .00085232  00000+0  91731-3 0  9992,2 55085  97.3658 275.1093 0005811 169.5548 190.5833 15.63429488142267
KSF3-A,1 55086U 23001CF  25202.50966717  .00019295  00000+0  31950-3 0  9998,2 55086  97.3730 274.5303 0007000 148.0219 212.1459 15.52195504142201
HUYGENS,1 55093U 23001CN  25202.43855159  .00006338  00000+0  20283-3 0  9996,2 55093  97.3727 265.0475 0011349 181.9801 178.1398 15.32699468141583
KUWAITSAT-1,1 55103U 23001CY  25202.13237329  .00008668  00000+0  25577-3 0  9997,2 55103  97.3731 265.5521 0011218 185.6135 174.4984 15.35169850141572
SHARJAHSAT-1,1 55104U 23001CZ  25202.45287579  .00009148  00000+0  26768-3 0  9992,2 55104  97.3691 264.0385 0007069 207.2494 152.8380 15.35455698141521
AAC-AIS-SAT1,1 55107U 23001DC  25202.44788155  .00002976  00000+0  33216-3 0  9998,2 55107  97.9562 272.9023 0008733 289.5821  70.4452 14.87763308129033
ASTROCAST-0402,1 55109U 23001DE  25202.23727669  .00005505  00000+0  24598-3 0  9994,2 55109  97.5750 286.9885 0004646 341.2524  18.8540 15.21751726 94097
