Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25208.14638469  .00010240  00000+0  32967-3 0  9999,2 55009  97.3666 267.8062 0006801 190.8425 169.2671 15.32384184142281
MENUT,1 55010U 23001B   25208.20084640  .00008675  00000+0  29642-3 0  9999,2 55010  97.3744 268.2563 0007169 193.7499 166.3547 15.30508653142278
BRO-8,1 55011U 23001C   25208.15376787  .00014490  00000+0  48893-3 0  9991,2 55011  97.3733 267.3704 0008084 202.2209 157.8683 15.30771365142207
CONNECTA T1.2,1 55012U 23001D   25207.92538049  .00011697  00000+0  33757-3 0  9996,2 55012  97.3755 271.1684 0008286 180.8648 179.2583 15.35810071142428
BIRKELAND,1 55015U 23001G   25208.18351285  .00008474  00000+0  26975-3 0  9996,2 55015  97.3791 271.1658 0007931 179.5528 180.5722 15.32796667142443
OBJECT H,1 55016U 23001H   25208.17419466  .00009686  00000+0  31493-3 0  9999,2 55016  97.3652 267.9066 0007864 185.9816 174.1333 15.32076384142301
KSF3-B,1 55019U 23001L   25208.18957349  .00054015  00000+0  83447-3 0  9992,2 55019  97.3705 280.2241 0006585  98.7696 261.4304 15.53919041143074
FLOCK 4Y-24,1 55020U 23001M   25208.19622303  .00141470  00000+0  14197-2 0  9991,2 55020  97.3678 282.8670 0004270 173.9199 186.2114 15.65034084143275
FLOCK 4Y-22,1 55022U 23001P   25208.19910395  .00101002  00000+0  12534-2 0  9994,2 55022  97.3613 282.1922 0005654 139.3719 220.7961 15.59667327143246
FLOCK 4Y-18,1 55023U 23001Q   25207.76139554  .00139677  00000+0  14255-2 0  9998,2 55023  97.3673 282.6967 0004634 182.7602 177.3633 15.64611317143200
FLOCK 4Y-14,1 55024U 23001R   25208.16710786  .00157162  00000+0  15287-2 0  9991,2 55024  97.3597 282.8735 0004045 180.8120 179.3134 15.65773102143278
FLOCK 4Y-30,1 55025U 23001S   25207.15919554  .09241429  24979-5  10928-2 0  9997,2 55025  97.3522 285.1762 0015233 259.4850 100.4731 16.36260014143301
FLOCK 4Y-25,1 55027U 23001U   25208.20010114  .00292991  00000+0  16147-2 0  9993,2 55027  97.3556 283.1752 0004909 185.9186 174.2024 15.78869140143326
FLOCK 4Y-5,1 55028U 23001V   25208.15928780  .00250366  00000+0  18688-2 0  9997,2 55028  97.3624 283.2780 0007126 198.7518 161.3484 15.71961654143299
FLOCK 4Y-10,1 55029U 23001W   25208.18498662  .00142983  00000+0  13693-2 0  9998,2 55029  97.3583 283.0826 0005707 166.2435 193.8982 15.66199705143280
FLOCK 4Y-7,1 55032U 23001Z   25208.18222243  .00038389  00000+0  53510-3 0  9999,2 55032  97.3656 280.9803 0006188 142.1521 218.0170 15.56807334143157
LYNK TOWER 4,1 55034U 23001AB  25208.15299232  .00007047  00000+0  26688-3 0  9993,2 55034  97.3700 265.6011 0009447 185.5849 174.5286 15.27182957142119
UMBRA-05,1 55036U 23001AD  25208.17811639  .00056565  00000+0  12707-2 0  9993,2 55036  97.3663 266.0178 0004173  89.1327 271.0399 15.43160132142149
SKYKRAFT-1,1 55041U 23001AJ  25208.17867572  .00017628  00000+0  42536-3 0  9997,2 55041  97.3681 273.0930 0008275 163.0046 197.1480 15.41233967142623
FLOCK 4Y-33,1 55042U 23001AK  25208.18280294  .00131835  00000+0  13981-2 0  9997,2 55042  97.3690 282.6777 0004057 161.8800 198.2605 15.63660704143266
FLOCK 4Y-11,1 55043U 23001AL  25207.76270092  .00035592  00000+0  49651-3 0  9993,2 55043  97.3704 280.3607 0006969 154.5768 205.5831 15.56794628143040
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25208.15992820  .00010853  00000+0  41985-3 0  9994,2 55045  97.3726 270.8159 0009101 150.3172 209.8584 15.26344070142642
LYNK TOWER 3,1 55046U 23001AP  25208.15645760  .00009406  00000+0  34954-3 0  9993,2 55046  97.3702 266.0952 0009510 187.9157 172.1934 15.27713531142147
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25208.20722787  .00010913  00000+0  39355-3 0  9990,2 55047  97.3451 269.9830 0010449 116.5839 243.6473 15.28649799142714
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25208.19378389  .00009582  00000+0  35875-3 0  9997,2 55048  97.2373 264.8409 0006840 169.8998 190.2381 15.27475650142672
ICEYE-X21,1 55049U 23001AS  25208.15456719  .00025132  00000+0  54727-3 0  9994,2 55049  97.3723 275.0885 0016454 157.8868 202.3094 15.44127081142734
ION SCV-008,1 55051U 23001AU  25207.85686353  .00006586  00000+0  28090-3 0  9998,2 55051  97.5843 294.8959 0018232  77.8793 282.4485 15.23120955141728
EOSSAT-1,1 55053U 23001AW  25207.72460049  .00006344  00000+0  23487-3 0  9995,2 55053  97.3723 266.4365 0010283 187.0370 173.0727 15.27965518142129
SKYKRAFT-1A,1 55054U 23001AX  25207.94766894  .00004616  00000+0  18746-3 0  9999,2 55054  97.3715 265.3428 0010365 192.6774 167.4205 15.25026751142088
VIGORIDE-5,1 55056U 23001AZ  25208.18359750  .00020629  00000+0  56297-3 0  9992,2 55056  97.3692 269.3492 0009948 163.6068 196.5500 15.37411996142373
SKYKRAFT-1B,1 55058U 23001BB  25207.92405731  .00059554  00000+0  78035-3 0  9999,2 55058  97.3632 278.4914 0006751 151.3874 208.7754 15.58368519142964
ION SCV-007,1 55060U 23001BD  25207.88883100  .00000494  00000+0  77132-4 0  9994,2 55060  97.9474 271.5957 0011319 310.5607  49.4617 14.77081608138220
SKYKRAFT-1C,1 55061U 23001BE  25208.18866016  .00003152  00000+0  14022-3 0  9998,2 55061  97.3696 263.6615 0010493 203.0523 157.0244 15.22170014141990
ICEYE-X27,1 55062U 23001BF  25207.71354773  .00061956  00000+0  80478-3 0  9993,2 55062  97.3652 276.0988 0004600 184.3001 175.8216 15.58605761142763
FLOCK 4Y-20,1 55063U 23001BG  25208.19183129  .00241704  00000+0  24917-2 0  9998,2 55063  97.3695 283.0478 0004801 176.2799 183.8496 15.64029898143252
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25208.14687433  .00039921  00000+0  66067-3 0  9990,2 55064  97.2286 269.9903 0007081 121.9570 238.2372 15.52065420143448
FLOCK 4Y-12,1 55065U 23001BJ  25208.15922637  .00143428  00000+0  15237-2 0  9990,2 55065  97.3644 283.1357 0005031 166.9578 193.1812 15.63573420143252
FLOCK 4Y-15,1 55068U 23001BM  25207.92614785  .00162530  00000+0  15894-2 0  9993,2 55068  97.3581 282.4013 0005965 163.2361 196.9097 15.65610935143253
FLOCK 4Y-26,1 55070U 23001BP  25206.87286429  .07006776  24650-5  14558-2 0  9994,2 55070  97.3455 284.6067 0016879 270.7280  89.2080 16.30639702143251
FLOCK 4Y-2,1 55074U 23001BT  25208.17653954  .00130094  00000+0  13750-2 0  9998,2 55074  97.3628 283.0215 0005616 161.2906 198.8561 15.63744268143273
YAM-5,1 55076U 23001BV  25208.15427066  .00009094  00000+0  31228-3 0  9997,2 55076  97.3692 267.7531 0010611 184.7053 175.4089 15.30304513142263
FLOCK 4Y-21,1 55077U 23001BW  25208.18400275  .00140314  00000+0  14284-2 0  9997,2 55077  97.3654 283.2915 0005124 159.5747 200.5718 15.64670571143283
FLOCK 4Y-13,1 55079U 23001BY  25207.76897364  .00564561  00000+0  20275-2 0  9992,2 55079  97.3550 284.0780 0006470 207.9042 152.1884 15.87382383143316
OBJECT CA,1 55081U 23001CA  25208.18249275  .00046603  00000+0  61497-3 0  9998,2 55081  97.3649 279.2320 0008111 151.0870 209.0837 15.58223590143015
