Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25281.50235966  .00017645  00000+0  53117-3 0  9991,2 55009  97.3559 340.8509 0005341 307.9237  52.1522 15.34403301153529
MENUT,1 55010U 23001B   25281.47118512  .00039116  00000+0  11560-2 0  9998,2 55010  97.3628 341.1867 0004210 306.8803  53.2054 15.34826555153498
BRO-8,1 55011U 23001C   25281.49995771  .00027601  00000+0  84196-3 0  9993,2 55011  97.3622 340.3421 0006541 317.1135  42.9597 15.33884686153431
CONNECTA T1.2,1 55012U 23001D   25281.11600638  .00019474  00000+0  52382-3 0  9999,2 55012  97.3653 344.5197 0005946 291.4846  68.5765 15.37903351153664
BIRKELAND,1 55015U 23001G   25281.52767259  .00013685  00000+0  41300-3 0  9996,2 55015  97.3692 344.3517 0005961 292.4683  67.5929 15.34376773153683
OBJECT H,1 55016U 23001H   25281.48195340  .00015378  00000+0  46970-3 0  9997,2 55016  97.3546 340.8509 0006150 300.4857  59.5778 15.33967820153533
KSF3-B,1 55019U 23001L   25281.50574443  .00147082  00000+0  15685-2 0  9994,2 55019  97.3596 355.9586 0004112 190.1380 169.9797 15.63468341154483
FLOCK 4Y-7,1 55032U 23001Z   25281.20030553  .01088132  54379-3  29909-2 0  9992,2 55032  97.3466 357.5225 0008477 257.3868 102.6460 15.94012413154599
LYNK TOWER 4,1 55034U 23001AB  25281.11723896  .00012516  00000+0  45286-3 0  9990,2 55034  97.3595 337.6873 0007543 302.2229  57.8279 15.28533085153257
UMBRA-05,1 55036U 23001AD  25281.16295345  .00229909  00000+0  28152-2 0  9998,2 55036  97.3532 340.4633 0004071 190.3276 169.7898 15.59593974153445
SKYKRAFT-1,1 55041U 23001AJ  25281.46941127  .00035750  00000+0  75817-3 0  9993,2 55041  97.3576 347.1501 0005683 262.7104  97.3499 15.44967364153929
FLOCK 4Y-11,1 55043U 23001AL  25281.17541583  .00718256  20390-3  25462-2 0  9992,2 55043  97.3514 357.1851 0008656 250.1295 109.9045 15.88951250154537
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25281.50654834  .00016882  00000+0  63641-3 0  9995,2 55045  97.3646 343.1887 0006194 253.9925 106.0632 15.27118920153839
LYNK TOWER 3,1 55046U 23001AP  25281.15267131  .00014907  00000+0  52357-3 0  9995,2 55046  97.3595 338.2935 0007727 303.7180  56.3324 15.29463523153291
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25281.50706921  .00016699  00000+0  63197-3 0  9994,2 55047  97.3394 342.1631 0007761 211.5806 148.4968 15.26980588153902
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25281.52336961  .00017076  00000+0  59897-3 0  9992,2 55048  97.2265 336.0527 0004456 285.1910  74.8837 15.29492783153877
ICEYE-X21,1 55049U 23001AS  25281.47903250  .00058431  00000+0  10496-2 0  9999,2 55049  97.3623 349.5985 0014386 253.4899 106.4771 15.49573915154061
ION SCV-008,1 55051U 23001AU  25281.21660551  .00010966  00000+0  45006-3 0  9995,2 55051  97.5807   9.0160 0016568 174.7246 185.4169 15.24280917152895
EOSSAT-1,1 55053U 23001AW  25281.11089888  .00012455  00000+0  44079-3 0  9998,2 55053  97.3620 339.0470 0008448 300.7508  59.2899 15.29252713153334
SKYKRAFT-1A,1 55054U 23001AX  25281.41802818  .00007060  00000+0  27794-3 0  9999,2 55054  97.3609 337.6842 0008992 307.7639  52.2784 15.25896563153288
VIGORIDE-5,1 55056U 23001AZ  25281.13287951  .00045904  00000+0  10959-2 0  9998,2 55056  97.3590 342.6588 0002862 282.3792  77.7135 15.41387698153598
SKYKRAFT-1B,1 55058U 23001BB  25281.46502913  .00149410  00000+0  11659-2 0  9999,2 55058  97.3502 355.0711 0005167 231.2905 128.7896 15.71207051154453
ION SCV-007,1 55060U 23001BD  25281.45456431  .00000798  00000+0  11976-3 0  9992,2 55060  97.9372 344.0245 0013736  71.4046 288.8655 14.77194019149086
SKYKRAFT-1C,1 55061U 23001BE  25281.40720925  .00004942  00000+0  21406-3 0  9994,2 55061  97.3590 335.4129 0009818 320.6456  39.4066 15.22815706153139
ICEYE-X27,1 55062U 23001BF  25281.17330803  .00235708  00000+0  14883-2 0  9997,2 55062  97.3519 352.8134 0002804 233.3874 126.7133 15.75944911154250
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25281.48895630  .00086039  00000+0  10481-2 0  9998,2 55064  97.2157 344.0804 0005069 198.1976 161.9101 15.60213419154840
YAM-5,1 55076U 23001BV  25281.15866267  .00014394  00000+0  46751-3 0  9994,2 55076  97.3586 340.2294 0008654 296.8355  63.2002 15.31999778153436
OBJECT CA,1 55081U 23001CA  25281.49943089  .00116389  00000+0  99785-3 0  9997,2 55081  97.3526 355.5178 0004976 229.4539 130.6290 15.69027783154466
GAMA-ALPHA,1 55084U 23001CD  25281.47227455  .00094209  00000+0  10052-2 0  9995,2 55084  97.3575 353.8655 0005462 227.1779 132.9021 15.63622961154376
KSF3-D,1 55085U 23001CE  25281.49427807  .02360239  82981-2  19316-2 0  9995,2 55085  97.3453 359.0998 0010123 264.5694  95.4438 16.16135353154728
KSF3-A,1 55086U 23001CF  25281.50690788  .00169601  00000+0  18191-2 0  9995,2 55086  97.3602 356.0818 0003914 194.1459 165.9691 15.63248576154491
HUYGENS,1 55093U 23001CN  25281.52774981  .00013568  00000+0  40917-3 0  9995,2 55093  97.3611 343.8816 0009200 265.7453  94.2739 15.34377479153707
KUWAITSAT-1,1 55103U 23001CY  25281.14110894  .00022581  00000+0  60781-3 0  9998,2 55103  97.3615 344.6477 0009125 267.9125  92.1075 15.37828777153706
SHARJAHSAT-1,1 55104U 23001CZ  25281.51165183  .00022659  00000+0  60457-3 0  9997,2 55104  97.3567 343.1755 0005809 298.2053  61.8605 15.38124771153669
AAC-AIS-SAT1,1 55107U 23001DC  25281.51851786  .00007529  00000+0  80940-3 0  9999,2 55107  97.9470 352.2063 0010316  35.3352 324.8547 14.88786004140799
ASTROCAST-0402,1 55109U 23001DE  25281.18092674  .00011784  00000+0  50189-3 0  9997,2 55109  97.5708   6.4941 0006359  59.4482 300.7382 15.23114252106104
ASTROCAST-0401,1 55110U 23001DF  25281.19645521  .00011683  00000+0  49643-3 0  9996,2 55110  97.5697   6.5128 0009130  21.4132 338.7485 15.23176249152786
ASTROCAST-0403,1 55111U 23001DG  25281.21461718  .00013053  00000+0  55173-3 0  9992,2 55111  97.5753   6.8616 0006931 138.6531 221.5231 15.23342023106103
ASTROCAST-0404,1 55112U 23001DH  25281.49424059  .00009355  00000+0  39979-3 0  9996,2 55112  97.5788   7.5402 0008256 154.1903 205.9746 15.23050402106150
