Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25292.26145962  .00026937  00000+0  79926-3 0  9992,2 55009  97.3548 351.5746 0005300 258.5375 101.5273 15.34772947155178
MENUT,1 55010U 23001B   25292.29094557  .00057072  00000+0  16376-2 0  9993,2 55010  97.3616 351.9912 0004281 253.3591 106.7183 15.35660270155156
BRO-8,1 55011U 23001C   25292.26199190  .00043564  00000+0  13006-2 0  9998,2 55011  97.3612 351.0713 0006445 270.8151  89.2354 15.34468444155088
CONNECTA T1.2,1 55012U 23001D   25292.11085866  .00023734  00000+0  62994-3 0  9995,2 55012  97.3641 355.5501 0006269 241.8666 118.1946 15.38275111155358
BIRKELAND,1 55015U 23001G   25292.28732147  .00018428  00000+0  55032-3 0  9996,2 55015  97.3685 355.0941 0006224 244.0778 115.9824 15.34642358155337
OBJECT H,1 55016U 23001H   25292.30939788  .00025663  00000+0  77261-3 0  9997,2 55016  97.3536 351.6334 0006163 252.0962 107.9610 15.34318984155190
KSF3-B,1 55019U 23001L   25292.31173457  .00195847  00000+0  18348-2 0  9996,2 55019  97.3578   7.2372 0003955 155.0730 205.0722 15.66593591156173
LYNK TOWER 4,1 55034U 23001AB  25292.11442867  .00015076  00000+0  54084-3 0  9998,2 55034  97.3584 348.5552 0007501 254.2391 105.8022 15.28768685154932
UMBRA-05,1 55036U 23001AD  25292.11773586  .00384451  00000+0  37827-2 0  9996,2 55036  97.3507 351.8348 0002440 187.2444 172.8780 15.64774445155151
SKYKRAFT-1,1 55041U 23001AJ  25292.28330682  .00054785  00000+0  11289-2 0  9994,2 55041  97.3566 358.1070 0006201 217.7510 142.3305 15.45712918155595
FLOCK 4Y-11,1 55043U 23001AL  25292.10349509  .16651067  25226-5  84343-3 0  9993,2 55043  97.3386   9.2205 0013160 264.1698  95.8102 16.41450342156287
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25292.25374542  .00025194  00000+0  10201-2 0  9993,2 55045  97.3689 353.7904 0007512 209.9837 150.0971 15.24643830155478
