Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25260.30179214  .00010194  00000+0  31607-3 0  9991,2 55009  97.3602 319.7294 0007212  31.8152 328.3525 15.33586914150273
MENUT,1 55010U 23001B   25260.26959288  .00022430  00000+0  70295-3 0  9997,2 55010  97.3676 320.0455 0006163  37.0680 323.0987 15.33068502150247
BRO-8,1 55011U 23001C   25260.28879406  .00015072  00000+0  48031-3 0  9990,2 55011  97.3669 319.2162 0008341  39.1211 321.0633 15.32603732150186
CONNECTA T1.2,1 55012U 23001D   25260.15885577  .00011676  00000+0  32359-3 0  9995,2 55012  97.3690 323.5047 0007633  20.5197 339.6353 15.37083102150442
BIRKELAND,1 55015U 23001G   25260.32845125  .00006827  00000+0  21108-3 0  9994,2 55015  97.3730 323.1911 0007646  19.4714 340.6820 15.33806234150437
OBJECT H,1 55016U 23001H   25260.27581222  .00008854  00000+0  27810-3 0  9992,2 55016  97.3589 319.7405 0007902  24.9196 335.2426 15.33209831150284
KSF3-B,1 55019U 23001L   25259.18856350  .00038871  00000+0  51093-3 0  9992,2 55019  97.3628 332.8133 0003534 252.4903 107.5967 15.58397336151002
FLOCK 4Y-24,1 55020U 23001M   25259.76138971  .01510609  14564-2  22199-2 0  9992,2 55020  97.3520 337.7367 0010621 262.5385  97.4689 16.05312559151408
FLOCK 4Y-22,1 55022U 23001P   25260.15786100  .00368444  00000+0  19077-2 0  9997,2 55022  97.3487 336.6284 0007524 255.2864 104.7570 15.80044587151380
FLOCK 4Y-18,1 55023U 23001Q   25259.73820858  .01279306  91139-3  22329-2 0  9999,2 55023  97.3450 337.9242 0009282 265.8391  94.1827 16.02300188151399
FLOCK 4Y-14,1 55024U 23001R   25260.00947321  .01622874  18322-2  21265-2 0  9999,2 55024  97.3518 338.0869 0010635 257.8068 102.2024 16.07279316151458
FLOCK 4Y-10,1 55029U 23001W   25259.89579816  .05373729  24341-5  14748-2 0  9994,2 55029  97.3268 338.3052 0013233 276.5500  83.4286 16.27809707151453
FLOCK 4Y-7,1 55032U 23001Z   25259.73161471  .00216553  00000+0  16692-2 0  9991,2 55032  97.3552 334.6276 0005346 253.7165 106.3510 15.71302365151204
LYNK TOWER 4,1 55034U 23001AB  25260.09919761  .00008038  00000+0  29671-3 0  9996,2 55034  97.3637 316.9192 0009528  23.6068 336.5607 15.27983740150040
UMBRA-05,1 55036U 23001AD  25260.05765142  .00102036  00000+0  17002-2 0  9993,2 55036  97.3588 318.7609 0005104 219.1172 140.9712 15.51629655150160
SKYKRAFT-1,1 55041U 23001AJ  25260.27883199  .00019341  00000+0  43369-3 0  9998,2 55041  97.3616 325.7068 0006189 354.7582   5.3600 15.43433464150656
FLOCK 4Y-33,1 55042U 23001AK  25260.15727018  .00942668  40994-3  22515-2 0  9999,2 55042  97.3529 337.7689 0010033 260.1610  99.8534 15.96576642151443
FLOCK 4Y-11,1 55043U 23001AL  25260.17877637  .00194003  00000+0  15915-2 0  9993,2 55043  97.3607 334.8614 0005969 273.4085  86.6494 15.69862134151221
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25260.27056277  .00009368  00000+0  36330-3 0  9999,2 55045  97.3687 322.2403 0006750 344.4879  15.6152 15.26319210150594
LYNK TOWER 3,1 55046U 23001AP  25260.14623445  .00009481  00000+0  34126-3 0  9990,2 55046  97.3641 317.5092 0009527  23.9023 336.2658 15.28761491150082
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25259.42344606  .00012882  00000+0  48026-3 0  9992,2 55047  97.3420 320.4437 0006506 302.2799  57.7809 15.27543548150534
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25260.32017384  .00009642  00000+0  34814-3 0  9994,2 55048  97.2312 315.4517 0005976  15.3766 344.7655 15.28674495150639
ICEYE-X21,1 55049U 23001AS  25260.27992140  .00031122  00000+0  61251-3 0  9994,2 55049  97.3658 328.0021 0013733 332.0758  27.9754 15.47095775150789
ION SCV-008,1 55051U 23001AU  25260.20604385  .00006082  00000+0  25496-3 0  9999,2 55051  97.5810 347.7782 0015247 250.5300 109.4290 15.23791364149695
EOSSAT-1,1 55053U 23001AW  25260.10297562  .00007525  00000+0  27158-3 0  9995,2 55053  97.3659 318.2585 0010523  21.4293 338.7386 15.28741389150128
SKYKRAFT-1A,1 55054U 23001AX  25260.10283838  .00004951  00000+0  19769-3 0  9996,2 55054  97.3653 316.6988 0011023  26.4677 333.7122 15.25552742150032
VIGORIDE-5,1 55056U 23001AZ  25260.15149419  .00022363  00000+0  56673-3 0  9991,2 55056  97.3628 321.5407 0003667  18.7059 341.4321 15.39719803150361
SKYKRAFT-1B,1 55058U 23001BB  25260.15031989  .00079174  00000+0  78839-3 0  9995,2 55058  97.3550 332.7377 0003393 302.2979  57.7951 15.65440430151111
ION SCV-007,1 55060U 23001BD  25260.18476415  .00000470  00000+0  73664-4 0  9993,2 55060  97.9405 323.0936 0013477 133.5331 226.7001 14.77145362145940
SKYKRAFT-1C,1 55061U 23001BE  25260.11528540  .00003563  00000+0  15628-3 0  9995,2 55061  97.3636 314.5526 0011924  36.5851 323.6197 15.22556156149894
ICEYE-X27,1 55062U 23001BF  25259.77589600  .00111394  00000+0  10091-2 0  9990,2 55062  97.3564 330.2781 0000879 118.2218 241.9132 15.67702025150895
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25260.29796324  .00039692  00000+0  55548-3 0  9991,2 55064  97.2210 322.5945 0003572 274.8413  85.2434 15.56705930151542
FLOCK 4Y-12,1 55065U 23001BJ  25259.76981653  .00855207  32140-3  22598-2 0  9993,2 55065  97.3486 337.7684 0009846 271.2203  88.7944 15.94676123151384
FLOCK 4Y-15,1 55068U 23001BM  25258.95568544  .01805895  25350-2  21842-2 0  9990,2 55068  97.3457 336.7084 0012296 264.2273  95.7608 16.08695760151301
FLOCK 4Y-2,1 55074U 23001BT  25259.71312674  .00867227  33463-3  22125-2 0  9999,2 55074  97.3486 337.5892 0009742 266.6254  93.3907 15.95339794151384
YAM-5,1 55076U 23001BV  25260.05652377  .00009794  00000+0  32568-3 0  9994,2 55076  97.3628 319.2728 0010413  18.6371 341.5249 15.31323276150206
FLOCK 4Y-21,1 55077U 23001BW  25259.89701748  .01404941  11690-2  22966-2 0  9996,2 55077  97.3520 338.2510 0011268 264.2945  95.7050 16.03442340151431
OBJECT CA,1 55081U 23001CA  25260.29229280  .00053842  00000+0  55817-3 0  9994,2 55081  97.3567 333.3407 0003925 310.6254  49.4664 15.64513459151149
GAMA-ALPHA,1 55084U 23001CD  25259.68336117  .00063095  00000+0  78813-3 0  9998,2 55084  97.3618 331.2384 0004292 315.6579  44.4334 15.59641363150972
KSF3-D,1 55085U 23001CE  25260.13572969  .00292869  00000+0  14319-2 0  9991,2 55085  97.3538 335.8954 0004955 252.6907 107.3819 15.81513336151328
KSF3-A,1 55086U 23001CF  25260.27993934  .00101696  00000+0  13209-2 0  9990,2 55086  97.3643 334.0658 0001189 244.0991 116.0143 15.58469526151188
HUYGENS,1 55093U 23001CN  25260.32857047  .00007539  00000+0  23270-3 0  9999,2 55093  97.3652 322.7438 0010106 352.7694   7.3401 15.33802355150454
KUWAITSAT-1,1 55103U 23001CY  25259.72576080  .00016562  00000+0  46187-3 0  9996,2 55103  97.3653 323.1894 0010128 355.2406   4.8740 15.36782949150414
SHARJAHSAT-1,1 55104U 23001CZ  25260.29541669  .00012832  00000+0  35563-3 0  9998,2 55104  97.3612 321.9205 0007436  24.2826 335.8767 15.37058624150401
AAC-AIS-SAT1,1 55107U 23001DC  25260.20982476  .00004981  00000+0  54306-3 0  9999,2 55107  97.9499 330.8320 0011440 100.2053 260.0454 14.88372836137627
ASTROCAST-0402,1 55109U 23001DE  25259.82535401  .00007452  00000+0  32382-3 0  9995,2 55109  97.5712 344.9751 0006929 118.9762 241.2170 15.22570227102852
ASTROCAST-0401,1 55110U 23001DF  25259.71028373  .00008508  00000+0  36837-3 0  9992,2 55110  97.5705 344.8629 0010287  90.1133 270.1282 15.22619796149518
ASTROCAST-0403,1 55111U 23001DG  25259.99295858  .00012082  00000+0  52129-3 0  9991,2 55111  97.5759 345.4577 0005585 206.6669 153.4280 15.22670721102874
ASTROCAST-0404,1 55112U 23001DH  25260.00716235  .00005762  00000+0  25084-3 0  9990,2 55112  97.5793 345.8658 0006594 229.7572 130.3087 15.22616997102882
