Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25320.80883394  .00020770  00000+0  59592-3 0  9998,2 55009  97.3506  20.0473 0007329 149.0853 211.0824 15.35870131159555
MENUT,1 55010U 23001B   25320.80947613  .00048024  00000+0  12719-2 0  9996,2 55010  97.3566  20.5267 0006729 148.5611 211.6038 15.38188180159538
BRO-8,1 55011U 23001C   25320.80898293  .00034053  00000+0  96139-3 0  9992,2 55011  97.3567  19.5685 0008020 161.0634 199.0910 15.36269386159469
CONNECTA T1.2,1 55012U 23001D   25320.20328971  .00021463  00000+0  55012-3 0  9994,2 55012  97.3603  23.7536 0008688 141.3320 218.8549 15.39349437159676
BIRKELAND,1 55015U 23001G   25320.83939385  .00013678  00000+0  39843-3 0  9996,2 55015  97.3645  23.6132 0008584 140.4256 219.7616 15.35474248159714
OBJECT H,1 55016U 23001H   25320.86573963  .00020063  00000+0  58516-3 0  9990,2 55016  97.3494  20.0890 0008282 146.2650 213.9122 15.35354239159575
KSF3-B,1 55019U 23001L   25320.81257604  .00400241  00000+0  18521-2 0  9990,2 55019  97.3479  37.3173 0004359 341.2994  18.8114 15.82440802160653
LYNK TOWER 4,1 55034U 23001AB  25320.12295195  .00012784  00000+0  44930-3 0  9993,2 55034  97.3541  16.2412 0009878 149.8493 210.3318 15.29460424159217
UMBRA-05,1 55036U 23001AD  25320.60285210  .02799291  10502-1  44458-2 0  9996,2 55036  97.3365  22.0548 0007787 272.0929  87.9461 16.06395432159644
SKYKRAFT-1,1 55041U 23001AJ  25320.81256694  .00046214  00000+0  87969-3 0  9992,2 55041  97.3521  27.0672 0007434 119.5900 240.6092 15.48052351160005
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25320.86005162  .00019644  00000+0  77236-3 0  9996,2 55045  97.3647  21.9370 0009270 115.2116 245.0085 15.25664429159838
LYNK TOWER 3,1 55046U 23001AP  25320.13065166  .00016720  00000+0  56416-3 0  9996,2 55046  97.3543  16.8854 0009776 151.4831 208.6947 15.30725738159256
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25320.83848220  .00018807  00000+0  71322-3 0  9995,2 55047  97.3360  20.7943 0009477  86.2702 273.9621 15.26872228159905
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25320.82519419  .00023536  00000+0  78690-3 0  9990,2 55048  97.2208  14.2709 0007034 133.2650 226.9180 15.30972073159885
ICEYE-X21,1 55049U 23001AS  25320.80676199  .00083918  00000+0  12359-2 0  9997,2 55049  97.3586  29.8701 0012083 111.3673 248.8872 15.55056619160162
ION SCV-008,1 55051U 23001AU  25320.52842192  .00012069  00000+0  48239-3 0  9993,2 55051  97.5798  48.7873 0016927  45.1913 315.0697 15.25136195158887
EOSSAT-1,1 55053U 23001AW  25320.62184062  .00011615  00000+0  39975-3 0  9994,2 55053  97.3565  18.1559 0010837 147.5727 212.6182 15.30157138159377
SKYKRAFT-1A,1 55054U 23001AX  25320.62601484  .00008067  00000+0  31121-3 0  9999,2 55054  97.3559  16.2835 0010889 155.6715 204.5040 15.26505203159267
VIGORIDE-5,1 55056U 23001AZ  25320.63250060  .00044917  00000+0  97007-3 0  9991,2 55056  97.3532  22.5237 0005826 140.9082 219.2588 15.44379269159682
SKYKRAFT-1B,1 55058U 23001BB  25320.63826709  .00413558  00000+0  13659-2 0  9993,2 55058  97.3409  36.7228 0000295 129.6939 230.4360 15.89441571160639
ION SCV-007,1 55060U 23001BD  25320.60555433  .00001140  00000+0  16785-3 0  9990,2 55060  97.9319  22.5322 0011274 306.4937  53.5234 14.77272030154868
SKYKRAFT-1C,1 55061U 23001BE  25320.10514501  .00005839  00000+0  24900-3 0  9994,2 55061  97.3536  13.3158 0011131 169.3492 190.7983 15.23255746159028
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25320.83293020  .00152376  00000+0  12976-2 0  9995,2 55064  97.2072  24.2807 0003532  69.6387 290.5254 15.69089244160994
YAM-5,1 55076U 23001BV  25320.13805835  .00015321  00000+0  47855-3 0  9997,2 55076  97.3532  18.9644 0010738 147.6761 212.5142 15.33216607159407
OBJECT CA,1 55081U 23001CA  25320.84335032  .00233059  00000+0  11579-2 0  9991,2 55081  97.3456  37.1036 0002156 100.1414 260.0097 15.81325950160651
GAMA-ALPHA,1 55084U 23001CD  25320.46747014  .00168809  00000+0  12002-2 0  9991,2 55084  97.3522  34.7228 0003593 111.0903 249.0745 15.73369545160481
KSF3-A,1 55086U 23001CF  25320.39819829  .00465379  00000+0  19531-2 0  9995,2 55086  97.3511  37.0901 0003279 289.3294  70.7621 15.84375111160602
HUYGENS,1 55093U 23001CN  25320.83944780  .00013620  00000+0  39644-3 0  9993,2 55093  97.3563  23.1000 0012070 123.6049 236.6348 15.35464965159733
KUWAITSAT-1,1 55103U 23001CY  25320.15930870  .00024655  00000+0  62202-3 0  9991,2 55103  97.3568  23.8020 0011359 125.4256 234.8052 15.39778682159705
