Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25315.27046642  .00020803  00000+0  60223-3 0  9990,2 55009  97.3502  14.5204 0006943 167.4353 192.7066 15.35591955158704
MENUT,1 55010U 23001B   25315.27885885  .00046061  00000+0  12461-2 0  9996,2 55010  97.3562  14.9848 0006441 165.9902 194.1522 15.37540931158686
BRO-8,1 55011U 23001C   25315.33690957  .00033735  00000+0  96673-3 0  9990,2 55011  97.3563  14.1007 0007725 179.9536 180.1710 15.35806406158629
CONNECTA T1.2,1 55012U 23001D   25315.13253223  .00018135  00000+0  46932-3 0  9990,2 55012  97.3599  18.6604 0008382 156.9922 203.1701 15.39091189158898
BIRKELAND,1 55015U 23001G   25315.56045236  .00020063  00000+0  58644-3 0  9999,2 55015  97.3639  18.3384 0008190 156.7080 203.4536 15.35286028158903
OBJECT H,1 55016U 23001H   25315.19517049  .00021485  00000+0  63170-3 0  9994,2 55016  97.3489  14.4355 0007874 164.6539 195.4944 15.35089621158708
KSF3-B,1 55019U 23001L   25314.79630581  .00528733  00000+0  30167-2 0  9996,2 55019  97.3492  30.9032 0003183  20.0432 340.0959 15.77467513159707
LYNK TOWER 4,1 55034U 23001AB  25315.15041504  .00010986  00000+0  38866-3 0  9996,2 55034  97.3535  11.3245 0009452 166.0313 194.1191 15.29286405158458
UMBRA-05,1 55036U 23001AD  25315.14302195  .01029713  00000+0  38810-2 0  9990,2 55036  97.3410  16.1210 0005670 305.0748  54.9990 15.85284371158779
SKYKRAFT-1,1 55041U 23001AJ  25315.25256353  .00044376  00000+0  86304-3 0  9995,2 55041  97.3519  21.4156 0007352 138.1918 221.9895 15.47441276159145
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25315.28469738  .00017795  00000+0  70569-3 0  9996,2 55045  97.3642  16.4485 0009129 132.2454 227.9560 15.25397531158985
LYNK TOWER 3,1 55046U 23001AP  25315.16215131  .00015479  00000+0  52629-3 0  9994,2 55046  97.3540  11.9635 0009277 168.5341 191.6113 15.30500634158494
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25315.26754090  .00020003  00000+0  76423-3 0  9995,2 55047  97.3355  15.3213 0009496 103.2540 256.9759 15.26613620159058
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25315.33445802  .00019579  00000+0  66130-3 0  9992,2 55048  97.2204   8.9275 0006696 150.2543 209.9081 15.30680638159044
ICEYE-X21,1 55049U 23001AS  25315.20663315  .00092409  00000+0  14125-2 0  9999,2 55049  97.3579  24.1152 0012876 133.8573 226.3747 15.53990561159295
ION SCV-008,1 55051U 23001AU  25315.21379487  .00013425  00000+0  53852-3 0  9999,2 55051  97.5786  43.4070 0017236  62.8034 297.4958 15.24985926158076
EOSSAT-1,1 55053U 23001AW  25315.12838463  .00010965  00000+0  37963-3 0  9996,2 55053  97.3565  12.7169 0010390 165.8068 194.3467 15.29984119158533
SKYKRAFT-1A,1 55054U 23001AX  25315.11951145  .00007519  00000+0  29136-3 0  9993,2 55054  97.3555  10.8615 0010407 174.2953 185.8406 15.26385988158426
VIGORIDE-5,1 55056U 23001AZ  25315.18886986  .00050074  00000+0  11040-2 0  9990,2 55056  97.3521  17.0209 0005501 155.4173 204.7338 15.43743493158842
SKYKRAFT-1B,1 55058U 23001BB  25315.15356043  .00298557  00000+0  12376-2 0  9998,2 55058  97.3422  30.8207 0001805 155.5057 204.6300 15.85043665159760
ION SCV-007,1 55060U 23001BD  25315.18685978  .00001114  00000+0  16421-3 0  9993,2 55060  97.9324  17.2038 0011570 325.5341  34.5118 14.77256710154068
SKYKRAFT-1C,1 55061U 23001BE  25315.11250651  .00005464  00000+0  23380-3 0  9997,2 55061  97.3533   8.4257 0010632 186.6342 173.4756 15.23174801158264
ICEYE-X27,1 55062U 23001BF  25315.15391283  .01180222  82987-3  15286-2 0  9999,2 55062  97.3332  29.4096 0003258 236.8521 123.2449 16.07315379159644
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25315.28161449  .00147059  00000+0  13485-2 0  9995,2 55064  97.2077  18.5768 0004056  92.3955 267.7771 15.67280096160128
YAM-5,1 55076U 23001BV  25315.11236145  .00015402  00000+0  48446-3 0  9998,2 55076  97.3529  13.9676 0010370 164.3947 195.7617 15.32997228158634
OBJECT CA,1 55081U 23001CA  25314.95331080  .00248167  00000+0  13943-2 0  9998,2 55081  97.3456  30.8282 0003005 126.2558 233.8987 15.78563611159722
GAMA-ALPHA,1 55084U 23001CD  25315.18549630  .00136572  00000+0  10603-2 0  9995,2 55084  97.3510  29.1514 0004364 129.5716 230.5933 15.71371280159655
KSF3-A,1 55086U 23001CF  25315.52842397  .00340850  00000+0  17934-2 0  9991,2 55086  97.3515  31.8808 0002376 281.5552  78.5449 15.79783776159833
HUYGENS,1 55093U 23001CN  25315.29976374  .00014283  00000+0  41820-3 0  9996,2 55093  97.3558  17.5708 0011834 141.3274 218.8819 15.35270619158884
KUWAITSAT-1,1 55103U 23001CY  25315.15484361  .00025346  00000+0  64669-3 0  9991,2 55103  97.3559  18.7747 0011195 141.5819 218.6226 15.39430695158932
SHARJAHSAT-1,1 55104U 23001CZ  25315.12863006  .00034032  00000+0  85866-3 0  9990,2 55104  97.3510  16.8986 0007481 163.5163 196.6328 15.39748083158833
AAC-AIS-SAT1,1 55107U 23001DC  25315.25187242  .00010161  00000+0  10755-2 0  9999,2 55107  97.9427  26.0531 0008764 277.8154  82.2067 14.89331970145813
ASTROCAST-0402,1 55109U 23001DE  25315.20302625  .00015015  00000+0  62322-3 0  9991,2 55109  97.5679  40.8045 0003911 291.2403  68.8416 15.23940263111282
ASTROCAST-0401,1 55110U 23001DF  25315.21806644  .00010884  00000+0  45321-3 0  9993,2 55110  97.5669  40.8198 0007462 250.1353 109.9079 15.23895382157963
ASTROCAST-0403,1 55111U 23001DG  25315.22818762  .00019202  00000+0  78208-3 0  9992,2 55111  97.5719  41.2052 0006364  37.9735 322.1950 15.24511037111284
ASTROCAST-0404,1 55112U 23001DH  25315.18889392  .00012861  00000+0  53552-3 0  9994,2 55112  97.5760  41.5546 0008195  53.4843 306.7147 15.23845996111288
