Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25337.48477738  .00018409  00000+0  51930-3 0  9995,2 55009  97.3482  36.6939 0008071  98.7040 261.5119 15.36420777162112
MENUT,1 55010U 23001B   25337.52111483  .00046996  00000+0  11913-2 0  9992,2 55010  97.3537  37.2904 0007317  99.6313 260.5760 15.39535084162100
BRO-8,1 55011U 23001C   25337.47862333  .00031384  00000+0  86071-3 0  9997,2 55011  97.3541  36.2370 0008727 107.9516 252.2680 15.37184436162025
CONNECTA T1.2,1 55012U 23001D   25337.42641178  .00017754  00000+0  44726-3 0  9991,2 55012  97.3581  41.0605 0008960  89.7022 270.5251 15.39915930162326
BIRKELAND,1 55015U 23001G   25337.52046855  .00013761  00000+0  39574-3 0  9995,2 55015  97.3625  40.2849 0009022  90.8690 269.3588 15.35873163162273
OBJECT H,1 55016U 23001H   25337.48231316  .00017544  00000+0  50376-3 0  9995,2 55016  97.3469  36.6600 0008949  95.0786 265.1479 15.35867277162120
KSF3-B,1 55019U 23001L   25337.47244206  .00373129  66208-4  52708-3 0  9991,2 55019  97.3360  55.3707 0007541 297.8892  62.1625 16.05667124163302
LYNK TOWER 4,1 55034U 23001AB  25337.13145435  .00010904  00000+0  37958-3 0  9997,2 55034  97.3513  33.0604 0010646  97.4095 262.8356 15.29804813161814
SKYKRAFT-1,1 55041U 23001AJ  25337.48295626  .00043415  00000+0  79176-3 0  9992,2 55041  97.3503  44.0304 0007031  68.0413 292.1584 15.49299860162588
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25337.51658862  .00017526  00000+0  67950-3 0  9996,2 55045  97.3625  38.3388 0009163  64.9036 295.3152 15.26155201162377
LYNK TOWER 3,1 55046U 23001AP  25337.12434830  .00015856  00000+0  52719-3 0  9992,2 55046  97.3517  33.7248 0010367  98.7585 261.4831 15.31207801161854
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25337.48192263  .00016118  00000+0  60325-3 0  9997,2 55047  97.3336  37.1494 0008629  35.0551 325.1255 15.27349824162441
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25337.49024674  .00020500  00000+0  68000-3 0  9997,2 55048  97.2182  30.4901 0007067  75.7296 284.4730 15.31254974162431
ICEYE-X21,1 55049U 23001AS  25337.52452221  .00076253  00000+0  10311-2 0  9992,2 55049  97.3569  47.0911 0011351  46.7564 313.4637 15.57410345162763
ION SCV-008,1 55051U 23001AU  25337.51968388  .00010434  00000+0  41412-3 0  9996,2 55051  97.5790  65.9917 0015494 346.6529  13.4297 15.25434443161470
EOSSAT-1,1 55053U 23001AW  25337.42654970  .00011015  00000+0  37533-3 0  9992,2 55053  97.3540  34.7973 0011619  96.0832 264.1733 15.30486244161941
SKYKRAFT-1A,1 55054U 23001AX  25337.40594027  .00007357  00000+0  28211-3 0  9994,2 55054  97.3534  32.8044 0011817 102.7086 257.5475 15.26727912161820
VIGORIDE-5,1 55056U 23001AZ  25337.21309332  .00032380  00000+0  67394-3 0  9997,2 55056  97.3500  39.3025 0006206  92.2422 267.9538 15.45536501162244
SKYKRAFT-1B,1 55058U 23001BB  25337.18390823  .00864335  39868-3  11684-2 0  9991,2 55058  97.3322  54.7614 0003458 301.6897  58.4048 16.06508057163278
ION SCV-007,1 55060U 23001BD  25337.13235826  .00000838  00000+0  12523-3 0  9996,2 55060  97.9295  38.7813 0011174 247.0340 112.9692 14.77299491157302
SKYKRAFT-1C,1 55061U 23001BE  25337.11820456  .00005342  00000+0  22688-3 0  9992,2 55061  97.3510  29.9778 0012381 114.3576 245.8955 15.23420769161610
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25337.51846098  .00174476  00000+0  12237-2 0  9992,2 55064  97.2031  41.4954 0002761 358.1689   1.9565 15.73677519163611
YAM-5,1 55076U 23001BV  25337.16952666  .00015226  00000+0  46859-3 0  9990,2 55076  97.3510  35.9030 0011418  93.3427 266.9122 15.33682634162012
OBJECT CA,1 55081U 23001CA  25337.51062600  .00335927  43294-4  11702-2 0  9993,2 55081  97.3391  54.9835 0001589  33.0261 327.1111 15.89344304163293
GAMA-ALPHA,1 55084U 23001CD  25337.48262483  .00205048  00000+0  11276-2 0  9992,2 55084  97.3496  52.7598 0002318  19.2767 340.8587 15.79157728163168
KSF3-A,1 55086U 23001CF  25337.37230841  .00905104  40807-3  16066-2 0  9990,2 55086  97.3382  55.4897 0005968 308.7210  51.3536 16.01928932163302
HUYGENS,1 55093U 23001CN  25337.52054013  .00012901  00000+0  37085-3 0  9996,2 55093  97.3541  39.7528 0011884  71.7752 288.4784 15.35870365162292
KUWAITSAT-1,1 55103U 23001CY  25337.44139910  .00022748  00000+0  56000-3 0  9997,2 55103  97.3542  41.1729 0011216  70.3939 289.8517 15.40543791162369
SHARJAHSAT-1,1 55104U 23001CZ  25337.47566201  .00024995  00000+0  60917-3 0  9996,2 55104  97.3488  39.3530 0008280  93.7576 266.4617 15.40859180162275
AAC-AIS-SAT1,1 55107U 23001DC  25337.55412536  .00009763  00000+0  10236-2 0  9993,2 55107  97.9421  48.4413 0009509 197.5328 162.5562 14.89724815149138
ASTROCAST-0402,1 55109U 23001DE  25337.19514645  .00013098  00000+0  53524-3 0  9993,2 55109  97.5684  63.0073 0004953 196.3779 163.7299 15.24494807114639
ASTROCAST-0401,1 55110U 23001DF  25337.21143069  .00010499  00000+0  43099-3 0  9994,2 55110  97.5672  63.0168 0009024 167.9779 192.1675 15.24374325161314
ASTROCAST-0403,1 55111U 23001DG  25337.21021579  .00015619  00000+0  62295-3 0  9994,2 55111  97.5727  63.4352 0004598 315.6399  44.4469 15.25269539114630
ASTROCAST-0404,1 55112U 23001DH  25337.51094517  .00022620  00000+0  92094-3 0  9990,2 55112  97.5767  64.1105 0006578 337.4355  22.6591 15.24488197114684
