Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25289.19699832  .00014537  00000+0  43476-3 0  9994,2 55009  97.3553 348.5195 0005228 272.6493  87.4152 15.34653739154708
MENUT,1 55010U 23001B   25289.09774872  .00038295  00000+0  11118-2 0  9997,2 55010  97.3621 348.8008 0004166 268.5416  91.5351 15.35389214154668
BRO-8,1 55011U 23001C   25289.19684163  .00030452  00000+0  91683-3 0  9995,2 55011  97.3616 348.0143 0006417 283.9912  76.0617 15.34280328154611
CONNECTA T1.2,1 55012U 23001D   25289.11842941  .00016998  00000+0  45379-3 0  9998,2 55012  97.3643 352.5473 0006129 254.8113 105.2454 15.38165277154891
BIRKELAND,1 55015U 23001G   25289.15742627  .00012120  00000+0  36403-3 0  9996,2 55015  97.3686 351.9683 0006071 257.4132 102.6432 15.34557037154851
OBJECT H,1 55016U 23001H   25289.17881140  .00015993  00000+0  48472-3 0  9993,2 55016  97.3540 348.5149 0006089 266.1307  93.9240 15.34204590154717
KSF3-B,1 55019U 23001L   25289.18074642  .00142215  00000+0  13960-2 0  9999,2 55019  97.3579   3.9634 0004019 164.6627 195.4756 15.65591357155682
FLOCK 4Y-7,1 55032U 23001Z   25288.98250368  .14783467  25340-5  59139-3 0  9996,2 55032  97.3344   6.1483 0012159 259.0254 100.9679 16.42682313155845
LYNK TOWER 4,1 55034U 23001AB  25289.10345389  .00010708  00000+0  38594-3 0  9999,2 55034  97.3591 345.5791 0007426 267.4572  92.5818 15.28700126154475
UMBRA-05,1 55036U 23001AD  25289.11032709  .00228764  00000+0  24496-2 0  9999,2 55036  97.3516 348.7043 0002956 186.6862 173.4358 15.63102560154684
SKYKRAFT-1,1 55041U 23001AJ  25289.17563280  .00035911  00000+0  74860-3 0  9995,2 55041  97.3566 354.9567 0005989 230.2409 129.8313 15.45471255155112
FLOCK 4Y-11,1 55043U 23001AL  25289.13475942  .01981666  32219-2  25792-2 0  9997,2 55043  97.3484   5.8780 0009400 266.8599  93.1607 16.07778971155808
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25289.17233912  .00017481  00000+0  65371-3 0  9994,2 55045  97.3640 350.7530 0006643 222.3408 137.7319 15.27375062155003
LYNK TOWER 3,1 55046U 23001AP  25289.13388926  .00013738  00000+0  47953-3 0  9994,2 55046  97.3591 346.1921 0007569 269.3184  90.7189 15.29686540154518
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25289.17359381  .00016853  00000+0  63302-3 0  9999,2 55047  97.3388 349.7007 0008425 183.9618 176.1556 15.27222172155076
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25289.17729994  .00017277  00000+0  60137-3 0  9995,2 55048  97.2260 343.4913 0004612 248.7384 111.3365 15.29741134155048
ICEYE-X21,1 55049U 23001AS  25289.16152321  .00073447  00000+0  12766-2 0  9994,2 55049  97.3616 357.4417 0014507 225.5306 134.4760 15.50447052155254
ION SCV-008,1 55051U 23001AU  25289.22509896  .00010161  00000+0  41520-3 0  9992,2 55051  97.5796  17.1136 0017142 147.5789 212.6505 15.24439004154111
EOSSAT-1,1 55053U 23001AW  25289.15880897  .00010173  00000+0  35887-3 0  9991,2 55053  97.3613 347.0111 0008260 266.0416  93.9880 15.29414254154562
SKYKRAFT-1A,1 55054U 23001AX  25289.15589691  .00006141  00000+0  24139-3 0  9998,2 55054  97.3605 345.3013 0008712 275.6344  84.3901 15.26000300154461
VIGORIDE-5,1 55056U 23001AZ  25289.11625604  .00039789  00000+0  93103-3 0  9992,2 55056  97.3582 350.7052 0003099 244.4510 115.6417 15.42024858154824
SKYKRAFT-1B,1 55058U 23001BB  25289.16570884  .00136715  00000+0  96981-3 0  9992,2 55058  97.3488   3.1859 0005152 209.8176 150.2796 15.73507880155663
ION SCV-007,1 55060U 23001BD  25289.10880602  .00000917  00000+0  13660-3 0  9998,2 55060  97.9361 351.5548 0013430  48.8932 311.3436 14.77208017150216
SKYKRAFT-1C,1 55061U 23001BE  25289.09507701  .00005565  00000+0  24012-3 0  9990,2 55061  97.3585 342.9431 0009371 289.5972  70.4253 15.22893621154307
ICEYE-X27,1 55062U 23001BF  25288.15083512  .00231599  00000+0  12640-2 0  9997,2 55062  97.3500   0.2243 0003800 231.4985 128.5942 15.79253506155351
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25289.18208291  .00093461  00000+0  10806-2 0  9992,2 55064  97.2146 351.9053 0005271 174.4911 185.6406 15.61551840156041
YAM-5,1 55076U 23001BV  25289.12669985  .00013873  00000+0  44771-3 0  9998,2 55076  97.3578 348.1439 0008536 263.2222  96.8048 15.32215941154656
OBJECT CA,1 55081U 23001CA  25289.14843796  .00120745  00000+0  96325-3 0  9999,2 55081  97.3514   3.5513 0005204 206.3900 153.7098 15.70761235155661
GAMA-ALPHA,1 55084U 23001CD  25289.14837292  .00099258  00000+0  10001-2 0  9996,2 55084  97.3573   1.8673 0005602 202.1866 157.9152 15.65063815155574
KSF3-A,1 55086U 23001CF  25289.18145271  .00221483  00000+0  20990-2 0  9996,2 55086  97.3579   4.0882 0002002 176.2204 183.9072 15.66230850155696
HUYGENS,1 55093U 23001CN  25289.15750370  .00012618  00000+0  37849-3 0  9993,2 55093  97.3605 351.4901 0009596 234.4459 125.5890 15.34560593154873
KUWAITSAT-1,1 55103U 23001CY  25289.14369811  .00020768  00000+0  55296-3 0  9991,2 55103  97.3606 352.6710 0009398 235.4501 124.5858 15.38179546154934
SHARJAHSAT-1,1 55104U 23001CZ  25289.18748355  .00023337  00000+0  61574-3 0  9991,2 55104  97.3560 350.8700 0005803 264.0541  96.0043 15.38463182154843
AAC-AIS-SAT1,1 55107U 23001DC  25289.18015542  .00007632  00000+0  81803-3 0  9996,2 55107  97.9464 359.8918 0009822  10.6968 349.4455 14.88901790141932
ASTROCAST-0402,1 55109U 23001DE  25289.19550664  .00008575  00000+0  36450-3 0  9993,2 55109  97.5696  14.5725 0005783  35.8676 324.2948 15.23277094107321
ASTROCAST-0401,1 55110U 23001DF  25289.21070816  .00008848  00000+0  37514-3 0  9999,2 55110  97.5688  14.5907 0008448 353.7804   6.3326 15.23336869154003
ASTROCAST-0403,1 55111U 23001DG  25289.03081883  .00015861  00000+0  66485-3 0  9998,2 55111  97.5745  14.7481 0007132 115.8803 244.3169 15.23578010107296
ASTROCAST-0404,1 55112U 23001DH  25289.18075490  .00009226  00000+0  39267-3 0  9998,2 55112  97.5779  15.2952 0008741 130.3779 229.8222 15.23190529107321
