Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25246.27187663  .00024743  00000+0  77020-3 0  9992,2 55009  97.3625 305.7578 0008292  74.9690 285.2470 15.33249591148120
MENUT,1 55010U 23001B   25246.29840999  .00049917  00000+0  15927-2 0  9991,2 55010  97.3702 306.1333 0007639  80.6248 279.5857 15.32309514148103
BRO-8,1 55011U 23001C   25246.18382103  .00039067  00000+0  12572-2 0  9996,2 55011  97.3691 305.1800 0009479  83.2049 277.0271 15.32078962148025
CONNECTA T1.2,1 55012U 23001D   25246.16074271  .00025200  00000+0  70232-3 0  9991,2 55012  97.3713 309.4740 0009137  65.3617 294.8578 15.36724509148299
BIRKELAND,1 55015U 23001G   25245.06094138  .00017156  00000+0  53220-3 0  9995,2 55015  97.3751 307.9552 0009000  67.8163 292.4034 15.33428472148096
OBJECT H,1 55016U 23001H   25246.24254737  .00023299  00000+0  73348-3 0  9998,2 55016  97.3613 305.7757 0009050  68.8247 291.3961 15.32894704148132
KSF3-B,1 55019U 23001L   25246.27559631  .00074083  00000+0  10208-2 0  9997,2 55019  97.3662 319.4693 0003166 318.4966  41.6048 15.56980919148990
FLOCK 4Y-24,1 55020U 23001M   25245.74748793  .00669923  00000+0  29142-2 0  9999,2 55020  97.3566 322.5166 0005527 261.0181  99.0462 15.83101612149173
FLOCK 4Y-22,1 55022U 23001P   25246.18682934  .00407421  00000+0  30157-2 0  9995,2 55022  97.3526 321.8258 0004423 284.0087  76.0684 15.71728244149184
FLOCK 4Y-18,1 55023U 23001Q   25245.96281684  .00711323  00000+0  31760-2 0  9998,2 55023  97.3578 322.9965 0005098 256.4666 103.6035 15.82436740149203
FLOCK 4Y-14,1 55024U 23001R   25245.76038396  .00704431  00000+0  28511-2 0  9999,2 55024  97.3508 322.5836 0005374 259.8042 100.2622 15.84559521149189
FLOCK 4Y-10,1 55029U 23001W   25245.94517556  .00865060  00000+0  31619-2 0  9993,2 55029  97.3479 323.0166 0006804 264.1995  95.8501 15.86316661149226
FLOCK 4Y-7,1 55032U 23001Z   25245.95300873  .00286101  00000+0  27140-2 0  9997,2 55032  97.3601 320.1679 0003328 306.1632  53.9320 15.66004407149041
LYNK TOWER 4,1 55034U 23001AB  25245.88735563  .00014034  00000+0  51910-3 0  9996,2 55034  97.3662 302.8780 0010825  68.6987 291.5407 15.27750213147878
UMBRA-05,1 55036U 23001AD  25245.92182005  .00165051  00000+0  30172-2 0  9992,2 55036  97.3614 304.3248 0003513 255.6863 104.3998 15.48764446147973
SKYKRAFT-1,1 55041U 23001AJ  25246.33713471  .00043933  00000+0  99987-3 0  9995,2 55041  97.3639 311.6151 0007627  45.0159 315.1706 15.42811117148500
FLOCK 4Y-33,1 55042U 23001AK  25246.16336617  .00594375  00000+0  29734-2 0  9993,2 55042  97.3598 322.6739 0005505 265.0522  95.0118 15.80240272149221
FLOCK 4Y-11,1 55043U 23001AL  25246.06845244  .00288517  00000+0  28905-2 0  9991,2 55043  97.3648 320.0743 0003577 337.3281  22.7820 15.64615414149017
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25245.58400657  .00023152  00000+0  86859-3 0  9999,2 55045  97.3686 307.7585 0008373  37.2749 322.9070 15.27197232148351
LYNK TOWER 3,1 55046U 23001AP  25246.13772896  .00020461  00000+0  73874-3 0  9992,2 55046  97.3665 303.6528 0010762  68.9051 291.3339 15.28466092147948
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25246.32170551  .00025391  00000+0  93784-3 0  9993,2 55047  97.3437 307.5454 0007640 356.6100   3.5086 15.27698256148536
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25246.24521141  .00025320  00000+0  91720-3 0  9990,2 55048  97.2336 301.7819 0007325  59.9279 300.2686 15.28340645148489
ICEYE-X21,1 55049U 23001AS  25246.24025516  .00068692  00000+0  13903-2 0  9991,2 55049  97.3679 313.7289 0014698  27.2483 332.9534 15.46082032148613
ION SCV-008,1 55051U 23001AU  25246.21804106  .00013056  00000+0  54625-3 0  9992,2 55051  97.5817 333.6445 0015326 304.1935  55.7848 15.23604019147566
EOSSAT-1,1 55053U 23001AW  25246.02914525  .00014919  00000+0  53869-3 0  9998,2 55053  97.3685 304.3334 0011799  66.4398 293.8080 15.28520275147976
SKYKRAFT-1A,1 55054U 23001AX  25246.06553319  .00009536  00000+0  37947-3 0  9991,2 55054  97.3677 302.8779 0012101  71.0509 289.2040 15.25407332147899
VIGORIDE-5,1 55056U 23001AZ  25245.91584904  .00046908  00000+0  12116-2 0  9994,2 55056  97.3650 307.2302 0005795  58.3815 301.7996 15.38971462148178
SKYKRAFT-1B,1 55058U 23001BB  25246.14158469  .00126450  00000+0  13674-2 0  9996,2 55058  97.3576 318.1335 0003598  18.7395 341.3996 15.63179132148921
ION SCV-007,1 55060U 23001BD  25245.89168683  .00001109  00000+0  16394-3 0  9995,2 55060  97.9427 309.0234 0012458 177.5679 182.5595 14.77127178143838
SKYKRAFT-1C,1 55061U 23001BE  25246.05052657  .00007224  00000+0  31450-3 0  9992,2 55061  97.3659 300.7708 0012756  80.3722 279.8955 15.22447953147757
ICEYE-X27,1 55062U 23001BF  25246.16779402  .00175550  00000+0  17723-2 0  9993,2 55062  97.3597 316.0458 0002904 113.8798 246.2766 15.64777531148764
FLOCK 4Y-20,1 55063U 23001BG  25246.17125550  .00828121  28670-3  25744-2 0  9992,2 55063  97.3554 323.3529 0008834 253.5552 106.4751 15.91568854149236
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25246.27877089  .00086598  00000+0  12667-2 0  9992,2 55064  97.2237 308.4215 0003839 349.7493  10.3683 15.55308192149360
FLOCK 4Y-12,1 55065U 23001BJ  25245.95515708  .00605747  00000+0  31298-2 0  9998,2 55065  97.3572 322.9000 0004611 265.2045  94.8695 15.79494888149196
FLOCK 4Y-15,1 55068U 23001BM  25245.96606736  .00835560  00000+0  32602-2 0  9992,2 55068  97.3476 322.5695 0006277 279.9114  80.1448 15.85016579149230
FLOCK 4Y-2,1 55074U 23001BT  25246.15609274  .00603939  00000+0  30269-2 0  9991,2 55074  97.3542 322.9874 0005058 277.7202  82.3492 15.80175290149238
YAM-5,1 55076U 23001BV  25246.13683222  .00019372  00000+0  64634-3 0  9992,2 55076  97.3648 305.4529 0011663  64.0598 296.1843 15.31038103148077
FLOCK 4Y-21,1 55077U 23001BW  25246.00082628  .00743291  00000+0  32642-2 0  9999,2 55077  97.3552 323.1819 0006337 273.3779  86.6765 15.82712037149223
OBJECT CA,1 55081U 23001CA  25246.27756615  .00110162  00000+0  12132-2 0  9994,2 55081  97.3591 318.7420 0004899  17.3027 342.8398 15.62757740148958
GAMA-ALPHA,1 55084U 23001CD  25245.94635152  .00093143  00000+0  12326-2 0  9996,2 55084  97.3638 317.0219 0005311  22.8951 337.2541 15.57987529148837
KSF3-D,1 55085U 23001CE  25245.99630458  .00326286  00000+0  21261-2 0  9991,2 55085  97.3572 320.8510 0001858 284.2048  75.9010 15.74967399149092
KSF3-A,1 55086U 23001CF  25246.27502366  .00069040  00000+0  95199-3 0  9994,2 55086  97.3667 319.5940 0001769  12.4423 347.6875 15.56984736149002
HUYGENS,1 55093U 23001CN  25246.30080486  .00019308  00000+0  59675-3 0  9991,2 55093  97.3675 308.7599 0011727  42.2650 317.9495 15.33493909148309
KUWAITSAT-1,1 55103U 23001CY  25245.98504748  .00030696  00000+0  86460-3 0  9993,2 55103  97.3677 309.4308 0011602  43.8431 316.3732 15.36328166148307
SHARJAHSAT-1,1 55104U 23001CZ  25246.29678274  .00029303  00000+0  81837-3 0  9991,2 55104  97.3636 307.9052 0008684  69.0056 291.2117 15.36633854148256
AAC-AIS-SAT1,1 55107U 23001DC  25246.29285997  .00013620  00000+0  14780-2 0  9997,2 55107  97.9520 316.8743 0011203 140.0121 220.1923 14.88224908135554
ASTROCAST-0402,1 55109U 23001DE  25245.76025833  .00015788  00000+0  68644-3 0  9997,2 55109  97.5720 330.8084 0006145 158.7687 201.3805 15.22342136100713
ASTROCAST-0401,1 55110U 23001DF  25245.97422178  .00017559  00000+0  76132-3 0  9994,2 55110  97.5716 331.0281 0010129 131.6467 228.5638 15.22384120147428
ASTROCAST-0403,1 55111U 23001DG  25245.99404655  .00016639  00000+0  72264-3 0  9997,2 55111  97.5771 331.3475 0004902 265.8187  94.2489 15.22374589100743
ASTROCAST-0404,1 55112U 23001DH  25245.94251873  .00012384  00000+0  54019-3 0  9996,2 55112  97.5800 331.6836 0006044 288.9970  71.0611 15.22292897100747
