Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25184.50448932  .00008483  00000+0  27712-3 0  9994,2 55009  97.3684 244.2811 0005404 291.7572  68.3094 15.31981193138661
MENUT,1 55010U 23001B   25184.46535813  .00006175  00000+0  21394-3 0  9992,2 55010  97.3762 244.6792 0005776 295.0082  65.0559 15.30189871138647
BRO-8,1 55011U 23001C   25184.48654160  .00011645  00000+0  39986-3 0  9996,2 55011  97.3752 243.8576 0006838 301.3689  58.6882 15.30266409138585
CONNECTA T1.2,1 55012U 23001D   25183.74942934  .00007867  00000+0  23119-3 0  9996,2 55012  97.3771 246.9587 0006234 279.5535  80.5004 15.35374115138713
BIRKELAND,1 55015U 23001G   25184.48338569  .00005393  00000+0  17436-3 0  9991,2 55015  97.3808 247.5274 0006052 275.5815  84.4737 15.32488683138812
OBJECT H,1 55016U 23001H   25184.46239170  .00007726  00000+0  25486-3 0  9994,2 55016  97.3673 244.3268 0006261 283.4429  76.6114 15.31693621138677
KSF3-B,1 55019U 23001L   25184.47643509  .00036326  00000+0  60496-3 0  9991,2 55019  97.3721 255.8676 0007080 164.6472 195.4997 15.51909770139398
FLOCK 4Y-24,1 55020U 23001M   25184.17387964  .00030420  00000+0  37674-3 0  9991,2 55020  97.3702 257.8594 0004681 214.0297 146.0660 15.60019294139526
FLOCK 4Y-32,1 55021U 23001N   25184.20063533  .01413127  12725-2  18830-2 0  9991,2 55021  97.3488 260.4205 0012842 253.1677 106.8197 16.06802590139711
FLOCK 4Y-22,1 55022U 23001P   25183.92781217  .00032986  00000+0  44610-3 0  9991,2 55022  97.3628 257.0870 0004933 209.5508 150.5469 15.57660024139467
FLOCK 4Y-18,1 55023U 23001Q   25184.18301868  .00034229  00000+0  43022-3 0  9999,2 55023  97.3694 258.1645 0004572 221.7416 138.3493 15.59607541139510
FLOCK 4Y-14,1 55024U 23001R   25184.47611120  .00039819  00000+0  48758-3 0  9998,2 55024  97.3629 258.2092 0004114 205.4469 154.6586 15.60268760139573
FLOCK 4Y-30,1 55025U 23001S   25183.76968542  .00315231  00000+0  14598-2 0  9992,2 55025  97.3670 259.6085 0010287 214.8246 145.2351 15.82581712139577
FLOCK 4Y-25,1 55027U 23001U   25183.71218020  .00144821  00000+0  12437-2 0  9993,2 55027  97.3594 257.2976 0007408 203.9582 156.1336 15.68880520139476
FLOCK 4Y-5,1 55028U 23001V   25184.16086237  .00201127  00000+0  20939-2 0  9996,2 55028  97.3660 258.0960 0005856 232.3914 127.6814 15.63901280139536
FLOCK 4Y-10,1 55029U 23001W   25184.18082109  .00082641  00000+0  98590-3 0  9990,2 55029  97.3625 258.0782 0005047 205.5405 154.5603 15.60774079139535
FLOCK 4Y-17,1 55031U 23001Y   25184.20705097  .01861459  29661-2  19294-2 0  9997,2 55031  97.3434 260.1703 0012761 254.5325 105.4550 16.11187488139668
FLOCK 4Y-7,1 55032U 23001Z   25183.93693843  .00031654  00000+0  46852-3 0  9991,2 55032  97.3676 255.9767 0005312 215.0699 145.0206 15.55217670139380
LYNK TOWER 4,1 55034U 23001AB  25183.90751179  .00006802  00000+0  25993-3 0  9997,2 55034  97.3717 241.6517 0007719 283.0797  76.9581 15.26914128138411
UMBRA-05,1 55036U 23001AD  25184.16558366  .00043992  00000+0  10730-2 0  9994,2 55036  97.3689 241.7695 0005991 150.0931 210.0659 15.40734504138446
