Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25258.27904721  .00017584  00000+0  54354-3 0  9997,2 55009  97.3600 317.7150 0007407  38.2286 321.9480 15.33549054149962
MENUT,1 55010U 23001B   25258.24612708  .00055524  00000+0  17339-2 0  9994,2 55010  97.3676 318.0300 0006378  43.7564 316.4183 15.32976768149935
BRO-8,1 55011U 23001C   25258.26473847  .00030847  00000+0  98016-3 0  9999,2 55011  97.3666 317.2017 0008533  45.5441 314.6498 15.32545532149873
CONNECTA T1.2,1 55012U 23001D   25258.14070696  .00010684  00000+0  29683-3 0  9993,2 55012  97.3690 321.4816 0007900  27.4102 332.7557 15.37027488150133
BIRKELAND,1 55015U 23001G   25258.43648583  .00023852  00000+0  73032-3 0  9992,2 55015  97.3727 321.3034 0007856  25.4768 334.6860 15.33786393150146
OBJECT H,1 55016U 23001H   25258.25257370  .00017158  00000+0  53663-3 0  9993,2 55016  97.3587 317.7272 0008114  31.4284 328.7442 15.33175356149972
KSF3-B,1 55019U 23001L   25256.36282764  .00025768  00000+0  34644-3 0  9995,2 55019  97.3638 329.8923 0003202 262.2889  97.8003 15.57873324150567
FLOCK 4Y-24,1 55020U 23001M   25257.95063344  .01086767  59797-3  21457-2 0  9999,2 55020  97.3508 335.7419 0009995 258.4736 101.5420 16.00057554151110
FLOCK 4Y-22,1 55022U 23001P   25258.19365589  .00521258  00000+0  28322-2 0  9999,2 55022  97.3482 334.5370 0007228 257.4009 102.6450 15.78576698151074
FLOCK 4Y-18,1 55023U 23001Q   25258.17490578  .01185322  70885-3  25907-2 0  9992,2 55023  97.3476 336.2089 0009072 262.1274  97.8973 15.98290343151145
FLOCK 4Y-14,1 55024U 23001R   25257.95101792  .01096089  62574-3  19871-2 0  9995,2 55024  97.3476 335.8149 0010611 255.5261 104.4841 16.01542268151129
FLOCK 4Y-10,1 55029U 23001W   25258.16535463  .02304262  61657-2  23397-2 0  9994,2 55029  97.3351 336.3574 0012125 272.8597  87.1300 16.12338556151177
FLOCK 4Y-7,1 55032U 23001Z   25258.01171174  .00188529  00000+0  15086-2 0  9999,2 55032  97.3556 332.8173 0005249 257.3600 102.7076 15.70485552150935
LYNK TOWER 4,1 55034U 23001AB  25257.74160484  .00006050  00000+0  22431-3 0  9993,2 55034  97.3636 314.5901 0009761  31.4032 328.7789 15.27943480149687
UMBRA-05,1 55036U 23001AD  25257.73560047  .00084384  00000+0  14359-2 0  9998,2 55036  97.3587 316.3863 0004982 225.7073 134.3771 15.51106273149808
SKYKRAFT-1,1 55041U 23001AJ  25258.33379050  .00035500  00000+0  79472-3 0  9997,2 55041  97.3613 323.7405 0006375   2.5805 357.5474 15.43359685150359
FLOCK 4Y-33,1 55042U 23001AK  25258.14928939  .00904468  35430-3  26226-2 0  9998,2 55042  97.3538 335.5804 0009476 259.2758 100.7450 15.92924271151124
FLOCK 4Y-11,1 55043U 23001AL  25257.94712654  .00182067  00000+0  15568-2 0  9992,2 55043  97.3611 332.5157 0005702 279.8413  80.2205 15.68887917150878
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25258.30375828  .00017538  00000+0  67765-3 0  9990,2 55045  97.3685 320.3010 0006949 352.1342   7.9787 15.26286838150290
LYNK TOWER 3,1 55046U 23001AP  25258.11711677  .00008605  00000+0  31043-3 0  9991,2 55046  97.3639 315.5021 0009743  30.7898 329.3912 15.28715980149777
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25258.24431090  .00018589  00000+0  69171-3 0  9999,2 55047  97.3418 319.2831 0006582 307.4249  52.6391 15.27525221150354
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25258.29093183  .00018249  00000+0  65653-3 0  9996,2 55048  97.2310 313.4809 0006196  22.3365 337.8144 15.28639285150327
ICEYE-X21,1 55049U 23001AS  25258.33945082  .00064683  00000+0  12712-2 0  9996,2 55049  97.3654 326.0287 0013774 339.8579  20.2125 15.46971267150481
ION SCV-008,1 55051U 23001AU  25258.23599452  .00008987  00000+0  37534-3 0  9999,2 55051  97.5806 345.7877 0015220 258.1144 101.8386 15.23772447149394
EOSSAT-1,1 55053U 23001AW  25258.13929446  .00006023  00000+0  21814-3 0  9993,2 55053  97.3659 316.3158 0010729  27.8969 332.2844 15.28708822149829
SKYKRAFT-1A,1 55054U 23001AX  25258.13506341  .00003883  00000+0  15578-3 0  9990,2 55054  97.3649 314.7615 0011209  32.8682 327.3251 15.25531915149732
VIGORIDE-5,1 55056U 23001AZ  25258.20176058  .00038378  00000+0  97150-3 0  9991,2 55056  97.3624 319.5800 0003854  24.9792 335.1639 15.39642950150069
SKYKRAFT-1B,1 55058U 23001BB  25258.16851316  .00157744  00000+0  15764-2 0  9994,2 55058  97.3546 330.6692 0003306 312.7292  47.3689 15.65091630150803
ION SCV-007,1 55060U 23001BD  25258.15258199  .00000619  00000+0  94618-4 0  9991,2 55060  97.9407 321.0933 0013349 139.6404 220.5800 14.77144467145644
SKYKRAFT-1C,1 55061U 23001BE  25258.14364415  .00002904  00000+0  12800-3 0  9991,2 55061  97.3634 312.6209 0012074  42.7789 317.4385 15.22540930149595
ICEYE-X27,1 55062U 23001BF  25257.92456329  .00100594  00000+0  92958-3 0  9999,2 55062  97.3568 328.3383 0001067 114.2877 245.8495 15.67242895150600
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25258.30512762  .00085559  00000+0  11973-2 0  9998,2 55064  97.2206 320.5786 0003530 286.1228  73.9638 15.56518577151237
FLOCK 4Y-12,1 55065U 23001BJ  25257.94824837  .00625454  15738-3  19440-2 0  9996,2 55065  97.3493 335.7889 0008734 273.2308  86.7966 15.91544400151099
FLOCK 4Y-15,1 55068U 23001BM  25257.95914229  .01471077  13462-2  22265-2 0  9996,2 55068  97.3454 335.6055 0012086 262.9259  97.0648 16.04758305151142
FLOCK 4Y-2,1 55074U 23001BT  25257.76649703  .00625508  15811-3  19097-2 0  9993,2 55074  97.3491 335.4730 0009437 263.8398  96.1801 15.91881510151071
YAM-5,1 55076U 23001BV  25257.90010415  .00008143  00000+0  27163-3 0  9997,2 55076  97.3625 317.1320 0010606  25.8689 334.3081 15.31277474149877
FLOCK 4Y-21,1 55077U 23001BW  25257.95920115  .01008655  49081-3  21815-2 0  9992,2 55077  97.3487 336.1217 0011182 263.9704  96.0299 15.98380244151120
OBJECT CA,1 55081U 23001CA  25258.24540160  .00128948  00000+0  13365-2 0  9990,2 55081  97.3566 331.2066 0004080 320.5410  39.5551 15.64256378150826
GAMA-ALPHA,1 55084U 23001CD  25258.14342820  .00052146  00000+0  65772-3 0  9991,2 55084  97.3616 329.6433 0004367 322.4447  37.6503 15.59429171150736
KSF3-D,1 55085U 23001CE  25258.30021211  .00443758  00000+0  22314-2 0  9995,2 55085  97.3529 333.9352 0004546 254.2773 105.7993 15.80516581151031
KSF3-A,1 55086U 23001CF  25258.28918973  .00094961  00000+0  12549-2 0  9990,2 55086  97.3640 332.0071 0000968 248.6931 111.4221 15.58032005150879
HUYGENS,1 55093U 23001CN  25258.30612002  .00014732  00000+0  45235-3 0  9992,2 55093  97.3648 320.7277 0010360   0.2613 359.8633 15.33774510150145
KUWAITSAT-1,1 55103U 23001CY  25257.90255492  .00012753  00000+0  35704-3 0  9996,2 55103  97.3651 321.3637 0010311   2.1408 357.9879 15.36718735150137
SHARJAHSAT-1,1 55104U 23001CZ  25258.27722934  .00024915  00000+0  68841-3 0  9999,2 55104  97.3610 319.8997 0007640  30.9189 329.2504 15.37008179150097
AAC-AIS-SAT1,1 55107U 23001DC  25258.26017704  .00007808  00000+0  84771-3 0  9995,2 55107  97.9496 328.8770 0011354 105.7527 254.4943 14.88361142137336
ASTROCAST-0402,1 55109U 23001DE  25258.18232984  .00010011  00000+0  43404-3 0  9995,2 55109  97.5709 343.3204 0006874 123.7462 236.4430 15.22548878102609
ASTROCAST-0401,1 55110U 23001DF  25257.80443491  .00006443  00000+0  28006-3 0  9997,2 55110  97.5700 342.9435 0010307  95.8286 264.4125 15.22585696149222
ASTROCAST-0403,1 55111U 23001DG  25257.75857154  .00008782  00000+0  38059-3 0  9994,2 55111  97.5757 343.2057 0005421 215.1348 144.9531 15.22612916102538
ASTROCAST-0404,1 55112U 23001DH  25257.77271992  .00004860  00000+0  21222-3 0  9994,2 55112  97.5788 343.6125 0006474 239.5126 120.5471 15.22590334102549
