Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25256.19098928  .00008588  00000+0  26744-3 0  9995,2 55009  97.3598 315.6360 0007620  45.0837 315.1023 15.33493807149640
MENUT,1 55010U 23001B   25256.28779484  .00018461  00000+0  58302-3 0  9996,2 55010  97.3673 316.0799 0006579  50.2196 309.9625 15.32860638149632
BRO-8,1 55011U 23001C   25256.30588471  .00012856  00000+0  41188-3 0  9990,2 55011  97.3664 315.2525 0008735  51.8315 308.3713 15.32465944149572
CONNECTA T1.2,1 55012U 23001D   25255.92717733  .00009015  00000+0  25121-3 0  9995,2 55012  97.3686 319.2634 0008126  35.0419 325.1358 15.36981914149795
BIRKELAND,1 55015U 23001G   25256.28348243  .00005156  00000+0  16050-3 0  9997,2 55015  97.3726 319.1549 0008049  32.9891 327.1852 15.33709402149812
OBJECT H,1 55016U 23001H   25256.29454624  .00007799  00000+0  24591-3 0  9994,2 55016  97.3585 315.7790 0008278  37.7554 322.4268 15.33125336149670
KSF3-B,1 55019U 23001L   25256.36282764  .00025768  00000+0  34644-3 0  9995,2 55019  97.3638 329.8923 0003202 262.2889  97.8003 15.57873324150567
FLOCK 4Y-24,1 55020U 23001M   25255.94689805  .00969916  43571-3  23398-2 0  9996,2 55020  97.3503 333.5486 0009301 258.8086 101.2145 15.96412756150795
FLOCK 4Y-22,1 55022U 23001P   25255.14904551  .00264402  00000+0  16020-2 0  9996,2 55022  97.3502 331.3034 0006916 262.9944  97.0536 15.76790799150597
FLOCK 4Y-18,1 55023U 23001Q   25255.66694938  .00673903  19050-3  18430-2 0  9995,2 55023  97.3505 333.4720 0008434 259.7940 100.2385 15.94018247150740
FLOCK 4Y-14,1 55024U 23001R   25255.94912718  .00836757  32150-3  18584-2 0  9990,2 55024  97.3472 333.6195 0009507 256.5007 103.5211 15.97890630150801
FLOCK 4Y-10,1 55029U 23001W   25255.67549504  .01276746  93113-3  20510-2 0  9999,2 55029  97.3377 333.5980 0011477 270.0249  89.9716 16.03667088150779
FLOCK 4Y-7,1 55032U 23001Z   25255.46230972  .00148029  00000+0  12347-2 0  9995,2 55032  97.3561 330.1378 0004925 263.8015  96.2686 15.69601664150533
LYNK TOWER 4,1 55034U 23001AB  25256.10435534  .00005382  00000+0  19996-3 0  9992,2 55034  97.3635 312.9728 0009934  36.8034 323.3885 15.27922311149439
UMBRA-05,1 55036U 23001AD  25255.41286635  .00068222  00000+0  11794-2 0  9992,2 55036  97.3581 314.0126 0004729 231.2581 128.8248 15.50725178149441
SKYKRAFT-1,1 55041U 23001AJ  25256.25896012  .00015664  00000+0  35378-3 0  9994,2 55041  97.3611 321.6435 0006572  10.5870 349.5515 15.43261048150034
FLOCK 4Y-33,1 55042U 23001AK  25256.20021253  .00527961  10893-3  17401-2 0  9996,2 55042  97.3539 333.4658 0008741 260.2442  99.7844 15.90383071150819
FLOCK 4Y-11,1 55043U 23001AL  25255.45897686  .00139937  00000+0  12439-2 0  9997,2 55043  97.3610 329.9049 0005243 288.6191  71.4500 15.68065774150484
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25256.27133704  .00007934  00000+0  30894-3 0  9991,2 55045  97.3683 318.2972 0007149 359.7889   0.3345 15.26233651149989
LYNK TOWER 3,1 55046U 23001AP  25256.15340097  .00006825  00000+0  24705-3 0  9996,2 55046  97.3637 313.5600 0009921  37.1637 323.0288 15.28683773149474
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25256.27904252  .00007973  00000+0  29911-3 0  9998,2 55047  97.3416 317.3489 0006686 315.9674  44.1032 15.27471567150059
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25256.32709203  .00007804  00000+0  28307-3 0  9995,2 55048  97.2308 311.5738 0006404  29.0530 331.1065 15.28585547150021
