Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25287.95811681  .00014405  00000+0  43133-3 0  9998,2 55009  97.3551 347.2844 0005205 278.0422  82.0231 15.34616990154516
MENUT,1 55010U 23001B   25287.92461440  .00032417  00000+0  94482-3 0  9997,2 55010  97.3618 347.6291 0004180 274.7299  85.3467 15.35304266154482
BRO-8,1 55011U 23001C   25287.95764686  .00023063  00000+0  69702-3 0  9993,2 55011  97.3615 346.7788 0006367 289.0917  70.9636 15.34216862154421
CONNECTA T1.2,1 55012U 23001D   25287.62214540  .00014179  00000+0  37962-3 0  9998,2 55012  97.3639 351.0458 0006009 261.8404  98.2160 15.38117834154667
BIRKELAND,1 55015U 23001G   25287.91846935  .00012384  00000+0  37225-3 0  9990,2 55015  97.3684 350.7312 0006029 263.1033  96.9524 15.34526450154663
OBJECT H,1 55016U 23001H   25287.93956624  .00013288  00000+0  40373-3 0  9992,2 55016  97.3538 347.2807 0006062 271.6621  88.3928 15.34167933154521
KSF3-B,1 55019U 23001L   25287.96621667  .00125004  00000+0  12448-2 0  9995,2 55019  97.3579   2.6951 0004011 169.2261 190.9085 15.65283185155498
FLOCK 4Y-7,1 55032U 23001Z   25287.19614562  .02631335  14419-1  26566-2 0  9999,2 55032  97.3430   4.1202 0009872 275.5508  84.4652 16.14625424155555
LYNK TOWER 4,1 55034U 23001AB  25287.13971149  .00006648  00000+0  24105-3 0  9990,2 55034  97.3586 343.6385 0007256 276.2598  83.7815 15.28659910154174
UMBRA-05,1 55036U 23001AD  25287.63760480  .00204980  00000+0  22583-2 0  9997,2 55036  97.3510 347.1731 0003031 186.3330 173.7891 15.62444383154458
SKYKRAFT-1,1 55041U 23001AJ  25287.94539685  .00030601  00000+0  64031-3 0  9990,2 55041  97.3565 353.7101 0005911 234.9566 125.1129 15.45393179154922
FLOCK 4Y-11,1 55043U 23001AL  25287.20104828  .01384491  10799-2  25791-2 0  9996,2 55043  97.3491   3.7432 0008750 259.4830 100.5463 16.01229131155491
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25287.92755530  .00015257  00000+0  57177-3 0  9994,2 55045  97.3637 349.5246 0006567 227.5883 132.4801 15.27333720154819
LYNK TOWER 3,1 55046U 23001AP  25287.89098918  .00011880  00000+0  41555-3 0  9992,2 55046  97.3589 344.9618 0007556 274.6806  85.3572 15.29653595154329
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25287.92868509  .00014195  00000+0  53445-3 0  9991,2 55047  97.3385 348.4764 0008302 188.5057 171.6043 15.27182798154889
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25287.93443813  .00013799  00000+0  48159-3 0  9995,2 55048  97.2258 342.2831 0004534 254.3054 105.7687 15.29701917154858
ICEYE-X21,1 55049U 23001AS  25287.93520198  .00054378  00000+0  95296-3 0  9990,2 55049  97.3615 356.1887 0014481 230.0295 129.9685 15.50293249155060
ION SCV-008,1 55051U 23001AU  25287.97792956  .00008370  00000+0  34290-3 0  9998,2 55051  97.5799  15.8525 0017090 151.6621 208.5550 15.24414073153925
EOSSAT-1,1 55053U 23001AW  25287.91569127  .00008794  00000+0  31086-3 0  9996,2 55053  97.3616 345.7809 0008256 271.5624  88.4671 15.29388892154375
SKYKRAFT-1A,1 55054U 23001AX  25287.91000494  .00006265  00000+0  24633-3 0  9995,2 55054  97.3603 344.0745 0008721 280.7912  79.2344 15.25984022154279
VIGORIDE-5,1 55056U 23001AZ  25287.42899114  .00036988  00000+0  86949-3 0  9991,2 55056  97.3580 349.0038 0003002 252.0734 108.0186 15.41902095154561
SKYKRAFT-1B,1 55058U 23001BB  25287.19390334  .00148518  00000+0  10775-2 0  9993,2 55058  97.3487   1.1048 0005149 215.2652 144.8272 15.72944012155351
ION SCV-007,1 55060U 23001BD  25287.61860512  .00000729  00000+0  11008-3 0  9995,2 55060  97.9363 350.0888 0013498  53.3176 306.9272 14.77204576149991
SKYKRAFT-1C,1 55061U 23001BE  25287.12386578  .00004842  00000+0  20945-3 0  9997,2 55061  97.3585 341.0121 0009452 297.7474  62.2804 15.22873594154006
ICEYE-X27,1 55062U 23001BF  25287.45376349  .00235543  00000+0  13033-2 0  9992,2 55062  97.3504 359.4821 0003829 231.8713 128.2209 15.78935546155241
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25287.96445110  .00084813  00000+0  98978-3 0  9997,2 55064  97.2146 350.6654 0005259 178.3241 181.8036 15.61341088155855
YAM-5,1 55076U 23001BV  25287.88584969  .00011392  00000+0  36859-3 0  9999,2 55076  97.3578 346.9112 0008506 268.3971  91.6296 15.32183787154463
OBJECT CA,1 55081U 23001CA  25287.93791792  .00111642  00000+0  90185-3 0  9996,2 55081  97.3511   2.2783 0005127 210.3353 149.7613 15.70487713155477
GAMA-ALPHA,1 55084U 23001CD  25287.16607111  .00090997  00000+0  93086-3 0  9997,2 55084  97.3574 359.7998 0005559 208.3820 151.7137 15.64706899155265
KSF3-A,1 55086U 23001CF  25287.96734294  .00196563  00000+0  19066-2 0  9991,2 55086  97.3583   2.8191 0002404 180.7868 179.3389 15.65724927155504
HUYGENS,1 55093U 23001CN  25287.91854836  .00013314  00000+0  39961-3 0  9998,2 55093  97.3603 350.2542 0009513 239.4279 120.6026 15.34528892154685
KUWAITSAT-1,1 55103U 23001CY  25287.90764741  .00020743  00000+0  55322-3 0  9997,2 55103  97.3604 351.4313 0009307 240.0620 119.9702 15.38128032154741
SHARJAHSAT-1,1 55104U 23001CZ  25287.95165865  .00019991  00000+0  52892-3 0  9997,2 55104  97.3559 349.6310 0005773 269.3969  90.6615 15.38409398154655
AAC-AIS-SAT1,1 55107U 23001DC  25287.90325657  .00005713  00000+0  61430-3 0  9997,2 55107  97.9462 358.6107 0009919  15.2669 344.8845 14.88883226141747
ASTROCAST-0402,1 55109U 23001DE  25287.48755520  .00009889  00000+0  42014-3 0  9993,2 55109  97.5695  12.8508 0005963  41.7426 318.4265 15.23250088107061
ASTROCAST-0401,1 55110U 23001DF  25287.24006962  .00009717  00000+0  41205-3 0  9999,2 55110  97.5683  12.6040 0008622   1.0086 359.1166 15.23303222153708
ASTROCAST-0403,1 55111U 23001DG  25287.91429828  .00016787  00000+0  70408-3 0  9996,2 55111  97.5743  13.6215 0007106 119.5207 240.6739 15.23546111107128
ASTROCAST-0404,1 55112U 23001DH  25287.66978747  .00007727  00000+0  32973-3 0  9997,2 55112  97.5776  13.7706 0008646 135.1838 225.0098 15.23161692107093
