Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25261.34576404  .00010291  00000+0  31882-3 0  9991,2 55009  97.3602 320.7692 0007115  28.2451 331.9176 15.33610121150439
MENUT,1 55010U 23001B   25261.31390657  .00024861  00000+0  77731-3 0  9995,2 55010  97.3679 321.0864 0006025  33.6047 326.5576 15.33123382150409
BRO-8,1 55011U 23001C   25261.33343038  .00015702  00000+0  49969-3 0  9995,2 55011  97.3669 320.2563 0008243  35.6306 324.5485 15.32639223150345
CONNECTA T1.2,1 55012U 23001D   25260.74475813  .00011122  00000+0  30825-3 0  9990,2 55012  97.3689 324.0921 0007560  18.4675 341.6842 15.37095229150532
BIRKELAND,1 55015U 23001G   25261.30703720  .00007018  00000+0  21682-3 0  9997,2 55015  97.3730 324.1678 0007512  15.9889 344.1589 15.33821511150586
OBJECT H,1 55016U 23001H   25261.18951382  .00010322  00000+0  32356-3 0  9995,2 55016  97.3589 320.6499 0007809  21.8207 338.3367 15.33229542150428
KSF3-B,1 55019U 23001L   25261.30735957  .00037274  00000+0  48641-3 0  9999,2 55019  97.3641 335.0042 0003631 244.1896 115.8986 15.58598038151339
FLOCK 4Y-24,1 55020U 23001M   25260.75771033  .01953473  31928-2  23608-2 0  9994,2 55020  97.3518 338.8414 0010929 266.3063  93.6970 16.08916618151563
FLOCK 4Y-22,1 55022U 23001P   25260.15786100  .00368444  00000+0  19077-2 0  9997,2 55022  97.3487 336.6284 0007524 255.2864 104.7570 15.80044587151380
FLOCK 4Y-18,1 55023U 23001Q   25260.73658469  .01463184  13391-2  21715-2 0  9998,2 55023  97.3436 339.0252 0009564 268.7075  91.3110 16.05141743151556
FLOCK 4Y-14,1 55024U 23001R   25260.69380483  .01927931  31568-2  21958-2 0  9992,2 55024  97.3514 338.8475 0010764 261.7691  98.2372 16.09841428151567
FLOCK 4Y-10,1 55029U 23001W   25259.89579816  .05373729  24341-5  14748-2 0  9994,2 55029  97.3268 338.3052 0013233 276.5500  83.4286 16.27809707151453
FLOCK 4Y-7,1 55032U 23001Z   25260.75040628  .00219828  00000+0  16615-2 0  9998,2 55032  97.3557 335.7010 0005596 252.4646 107.6006 15.71762114151367
LYNK TOWER 4,1 55034U 23001AB  25260.68858588  .00007165  00000+0  26473-3 0  9997,2 55034  97.3637 317.5016 0009469  21.6177 338.5460 15.27992726150138
UMBRA-05,1 55036U 23001AD  25260.70253407  .00096579  00000+0  16035-2 0  9990,2 55036  97.3591 319.4212 0005101 218.0537 142.0356 15.51751492150265
SKYKRAFT-1,1 55041U 23001AJ  25261.25131110  .00020084  00000+0  44960-3 0  9990,2 55041  97.3616 326.6902 0006073 350.9190   9.1947 15.43476364150807
FLOCK 4Y-33,1 55042U 23001AK  25260.72118293  .00941395  41534-3  21246-2 0  9998,2 55042  97.3522 338.3855 0010161 260.8908  99.1219 15.97611058151532
FLOCK 4Y-11,1 55043U 23001AL  25260.75241542  .00207274  00000+0  16812-2 0  9999,2 55043  97.3611 335.4648 0006113 271.9537  88.1025 15.70096992151317
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25261.25394325  .00010673  00000+0  41320-3 0  9993,2 55045  97.3688 323.2101 0006663 340.6619  19.4366 15.26341484150748
LYNK TOWER 3,1 55046U 23001AP  25261.12804679  .00008990  00000+0  32359-3 0  9999,2 55046  97.3641 318.4805 0009421  20.6147 339.5471 15.28779340150236
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25261.32370341  .00010555  00000+0  39957-3 0  9997,2 55047  97.3423 322.3142 0006753 296.7148  63.3399 15.27086552150826
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25261.30204222  .00010871  00000+0  39184-3 0  9993,2 55048  97.2312 316.4055 0005873  11.9727 348.1651 15.28697291150781
ICEYE-X21,1 55049U 23001AS  25261.31476763  .00032002  00000+0  62815-3 0  9993,2 55049  97.3659 329.0546 0013710 327.9754  32.0661 15.47168519150946
ION SCV-008,1 55051U 23001AU  25261.19105492  .00006435  00000+0  26944-3 0  9994,2 55051  97.5812 348.7736 0015276 246.7427 113.2202 15.23805315149841
EOSSAT-1,1 55053U 23001AW  25261.15025631  .00006602  00000+0  23850-3 0  9997,2 55053  97.3658 319.2947 0010420  17.7200 342.4401 15.28756082150285
SKYKRAFT-1A,1 55054U 23001AX  25260.95553285  .00004540  00000+0  18149-3 0  9990,2 55054  97.3652 317.5383 0010924  23.5834 336.5902 15.25560611150167
VIGORIDE-5,1 55056U 23001AZ  25261.06133146  .00021355  00000+0  54072-3 0  9993,2 55056  97.3623 322.4558 0003575  15.4132 344.7222 15.39756453150501
SKYKRAFT-1B,1 55058U 23001BB  25261.17302633  .00078161  00000+0  77350-3 0  9997,2 55058  97.3552 333.8055 0003460 296.5368  63.5537 15.65599660151272
ION SCV-007,1 55060U 23001BD  25261.13311414  .00000486  00000+0  75801-4 0  9998,2 55060  97.9405 324.0270 0013522 130.7272 229.5115 14.77146487146088
SKYKRAFT-1C,1 55061U 23001BE  25261.10109891  .00003569  00000+0  15650-3 0  9990,2 55061  97.3635 315.5186 0011827  33.3832 326.8148 15.22563422150046
ICEYE-X27,1 55062U 23001BF  25261.18001682  .00108114  00000+0  96728-3 0  9995,2 55062  97.3571 331.7493 0000742 121.0283 239.1051 15.68019154151112
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25261.26214635  .00047490  00000+0  66144-3 0  9998,2 55064  97.2209 323.5700 0003651 270.9570  89.1267 15.56797999151698
FLOCK 4Y-12,1 55065U 23001BJ  25260.77328235  .00859040  33308-3  20655-2 0  9995,2 55065  97.3485 338.8635 0010494 270.8127  89.1946 15.96424076151547
FLOCK 4Y-15,1 55068U 23001BM  25260.87790469  .04004344  24077-5  20817-2 0  9999,2 55068  97.3488 338.8576 0013233 245.4232 114.5678 16.20093593151613
FLOCK 4Y-2,1 55074U 23001BT  25260.77876731  .00969688  44224-3  22145-2 0  9999,2 55074  97.3465 338.7525 0010397 267.2243  92.7844 15.97398089151556
YAM-5,1 55076U 23001BV  25261.10203830  .00009351  00000+0  31092-3 0  9997,2 55076  97.3628 320.3109 0010300  14.9584 345.1960 15.31343541150366
FLOCK 4Y-21,1 55077U 23001BW  25260.77005368  .01805652  23753-2  25463-2 0  9992,2 55077  97.3525 339.2163 0011414 265.3308  94.6670 16.06212113151576
OBJECT CA,1 55081U 23001CA  25261.31561381  .00058360  00000+0  60160-3 0  9996,2 55081  97.3571 334.4079 0003970 305.4788  54.6100 15.64638768151307
