Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25284.95858759  .00016319  00000+0  48986-3 0  9999,2 55009  97.3548 344.2951 0005210 292.0267  68.0423 15.34510049154051
MENUT,1 55010U 23001B   25284.92630980  .00037109  00000+0  10888-2 0  9991,2 55010  97.3616 344.6354 0004144 289.6749  70.4047 15.35066136154022
BRO-8,1 55011U 23001C   25284.95728472  .00025878  00000+0  78563-3 0  9994,2 55011  97.3611 343.7879 0006409 302.4710  57.5913 15.34050387153968
CONNECTA T1.2,1 55012U 23001D   25284.43425233  .00013926  00000+0  37426-3 0  9991,2 55012  97.3642 347.8480 0005933 276.0932  83.9637 15.38003817154179
BIRKELAND,1 55015U 23001G   25284.91878686  .00011820  00000+0  35631-3 0  9998,2 55015  97.3680 347.7369 0005937 276.7706  83.2861 15.34449094154202
OBJECT H,1 55016U 23001H   25284.93916699  .00015140  00000+0  46101-3 0  9991,2 55016  97.3534 344.2930 0006056 284.9522  75.1050 15.34068886154067
KSF3-B,1 55019U 23001L   25284.96079681  .00131093  00000+0  13485-2 0  9992,2 55019  97.3579 359.5590 0003979 178.8892 181.2376 15.64441354155027
FLOCK 4Y-7,1 55032U 23001Z   25284.95656804  .01666800  17945-2  27762-2 0  9996,2 55032  97.3453   1.6337 0008821 266.7653  93.2617 16.03343478155190
LYNK TOWER 4,1 55034U 23001AB  25284.91407558  .00010436  00000+0  37727-3 0  9995,2 55034  97.3584 341.4391 0007415 285.6629  74.3792 15.28607866153836
UMBRA-05,1 55036U 23001AD  25284.62614407  .00236089  00000+0  27405-2 0  9993,2 55036  97.3515 344.0494 0003645 186.3272 173.7941 15.60981597153985
SKYKRAFT-1,1 55041U 23001AJ  25284.96667147  .00032163  00000+0  67764-3 0  9995,2 55041  97.3562 350.6922 0005762 247.2371 112.8269 15.45181947154466
FLOCK 4Y-11,1 55043U 23001AL  25284.69596195  .01020473  47585-3  26956-2 0  9993,2 55043  97.3495   1.0029 0008500 254.0846 105.9494 15.94746124155095
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25284.91373074  .00016651  00000+0  62576-3 0  9997,2 55045  97.3635 346.5504 0006365 239.6659 120.3951 15.27223466154358
LYNK TOWER 3,1 55046U 23001AP  25284.42380512  .00011664  00000+0  40936-3 0  9994,2 55046  97.3585 341.5304 0007602 289.6274  70.4146 15.29548062153791
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25284.91456723  .00015525  00000+0  58602-3 0  9996,2 55047  97.3382 345.5130 0008047 199.0233 161.0707 15.27080062154421
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25284.92527403  .00015918  00000+0  55682-3 0  9993,2 55048  97.2255 339.3585 0004465 268.7434  91.3295 15.29596013154395
ICEYE-X21,1 55049U 23001AS  25284.96573909  .00054556  00000+0  96802-3 0  9990,2 55049  97.3610 353.1566 0014452 240.6533 119.3276 15.49940413154604
ION SCV-008,1 55051U 23001AU  25284.69580904  .00009797  00000+0  40163-3 0  9992,2 55051  97.5795  12.5339 0016830 162.8539 197.3270 15.24346906153429
EOSSAT-1,1 55053U 23001AW  25284.44794194  .00008803  00000+0  31188-3 0  9999,2 55053  97.3610 342.3491 0008309 286.3991  73.6336 15.29313744153848
SKYKRAFT-1A,1 55054U 23001AX  25284.89357870  .00006647  00000+0  26150-3 0  9992,2 55054  97.3599 341.1053 0008839 293.3204  66.7104 15.25940601153816
VIGORIDE-5,1 55056U 23001AZ  25284.89782104  .00040153  00000+0  95055-3 0  9996,2 55056  97.3580 346.4526 0002878 263.3032  96.7887 15.41673131154174
SKYKRAFT-1B,1 55058U 23001BB  25284.20293350  .00127160  00000+0  96382-3 0  9991,2 55058  97.3496 357.9530 0005212 223.5925 136.4927 15.71967635154881
