Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25327.19328681  .00013524  00000+0  38661-3 0  9993,2 55009  97.3486  26.4195 0007719 129.4250 230.7678 15.36074520160533
MENUT,1 55010U 23001B   25327.18369956  .00033166  00000+0  86665-3 0  9995,2 55010  97.3542  26.9176 0007116 129.5284 230.6591 15.38682196160518
BRO-8,1 55011U 23001C   25327.19147866  .00023165  00000+0  64841-3 0  9991,2 55011  97.3545  25.9487 0008371 140.2800 219.9059 15.36612998160446
CONNECTA T1.2,1 55012U 23001D   25326.63831557  .00013227  00000+0  33787-3 0  9990,2 55012  97.3583  30.2185 0008980 121.8673 238.3448 15.39556873160665
BIRKELAND,1 55015U 23001G   25327.16047022  .00009903  00000+0  28795-3 0  9997,2 55015  97.3627  29.9301 0008877 121.5067 238.7045 15.35613782160689
OBJECT H,1 55016U 23001H   25327.12202927  .00012772  00000+0  37141-3 0  9994,2 55016  97.3472  26.3272 0008682 126.5122 233.6923 15.35542884160534
KSF3-B,1 55019U 23001L   25326.99843374  .00384439  00000+0  13729-2 0  9995,2 55019  97.3439  43.9602 0005347 317.8515  42.2345 15.87917942161630
LYNK TOWER 4,1 55034U 23001AB  25327.12305426  .00008039  00000+0  28237-3 0  9999,2 55034  97.3514  23.1629 0010428 127.9279 232.2906 15.29603330160286
SKYKRAFT-1,1 55041U 23001AJ  25327.14627953  .00030059  00000+0  56489-3 0  9998,2 55041  97.3504  33.5093 0007305  99.4815 260.7261 15.48512288160981
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25327.15605105  .00010914  00000+0  42849-3 0  9991,2 55045  97.3626  28.1359 0009423  96.1744 264.0569 15.25845011160798
LYNK TOWER 3,1 55046U 23001AP  25327.12484190  .00011710  00000+0  39365-3 0  9992,2 55046  97.3517  23.8154 0010221 130.0231 230.1908 15.30925724160326
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25327.19504473  .00011638  00000+0  44047-3 0  9999,2 55047  97.3339  27.0400 0009267  67.0833 293.1384 15.27049605160872
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25327.16468183  .00014516  00000+0  48353-3 0  9996,2 55048  97.2186  20.4409 0007288 115.0302 245.1697 15.31188754160850
ICEYE-X21,1 55049U 23001AS  25327.17525465  .00056536  00000+0  80803-3 0  9999,2 55049  97.3571  36.4237 0011576  87.5622 272.6958 15.55987773161152
ION SCV-008,1 55051U 23001AU  25327.22034612  .00006854  00000+0  27457-3 0  9991,2 55051  97.5793  55.5629 0016404  22.8493 337.3470 15.25251596159905
