Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25339.24319374  .00022877  00000+0  64247-3 0  9991,2 55009  97.3473  38.4498 0008057  93.5848 266.6317 15.36514786162384
MENUT,1 55010U 23001B   25339.34089287  .00053505  00000+0  13451-2 0  9993,2 55010  97.3526  39.1178 0007330  94.7100 265.4984 15.39756534162384
BRO-8,1 55011U 23001C   25339.30122022  .00038171  00000+0  10401-2 0  9999,2 55011  97.3534  38.0607 0008714 102.2036 258.0186 15.37344441162301
CONNECTA T1.2,1 55012U 23001D   25339.11586485  .00026236  00000+0  65724-3 0  9994,2 55012  97.3573  42.7588 0008896  84.6644 275.5617 15.40007825162583
BIRKELAND,1 55015U 23001G   25339.27952740  .00016329  00000+0  46805-3 0  9996,2 55015  97.3618  42.0434 0008976  85.4921 274.7349 15.35938206162544
OBJECT H,1 55016U 23001H   25339.30651459  .00021311  00000+0  60935-3 0  9991,2 55016  97.3460  38.4795 0008920  89.7567 270.4699 15.35958290162402
KSF3-B,1 55019U 23001L   25337.47244207  .00373129  66208-4  52708-3 0  9992,2 55019  97.3360  55.3707 0007541 297.8892  62.1625 16.05667124163302
LYNK TOWER 4,1 55034U 23001AB  25339.15912430  .00016102  00000+0  55779-3 0  9995,2 55034  97.3506  35.0658 0010666  91.4066 268.8396 15.29869941162129
SKYKRAFT-1,1 55041U 23001AJ  25339.29128395  .00049968  00000+0  90365-3 0  9993,2 55041  97.3494  45.8721 0006960  62.8758 297.3202 15.49508819162865
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25339.28682370  .00019980  00000+0  77202-3 0  9990,2 55045  97.3615  40.0824 0009073  59.5325 300.6808 15.26241860162647
LYNK TOWER 3,1 55046U 23001AP  25339.15014557  .00022225  00000+0  73527-3 0  9995,2 55046  97.3507  35.7325 0010368  92.8968 267.3460 15.31297667162169
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25339.25077678  .00020995  00000+0  78244-3 0  9993,2 55047  97.3328  38.8882 0008464  29.2401 330.9311 15.27435384162711
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25339.31993331  .00024164  00000+0  79820-3 0  9997,2 55048  97.2171  32.2708 0006971  70.5746 289.6248 15.31357410162711
ICEYE-X21,1 55049U 23001AS  25339.25908152  .00089362  00000+0  11885-2 0  9995,2 55049  97.3564  48.8809 0011275  39.8165 320.3916 15.57807824163038
ION SCV-008,1 55051U 23001AU  25339.22517410  .00013551  00000+0  53595-3 0  9990,2 55051  97.5789  67.7195 0015364 340.4021  19.6624 15.25484671161730
EOSSAT-1,1 55053U 23001AW  25339.12642341  .00015418  00000+0  52318-3 0  9999,2 55053  97.3534  36.4810 0011597  90.8243 269.4327 15.30540376162200
SKYKRAFT-1A,1 55054U 23001AX  25339.11000534  .00011332  00000+0  43234-3 0  9999,2 55054  97.3526  34.4822 0011822  97.4639 262.7944 15.26765566162088
VIGORIDE-5,1 55056U 23001AZ  25339.15533302  .00042612  00000+0  88010-3 0  9995,2 55056  97.3493  41.2699 0006198  85.9529 274.2428 15.45705119162546
SKYKRAFT-1B,1 55058U 23001BB  25339.17447260  .01279150  10958-2  13019-2 0  9998,2 55058  97.3299  56.9688 0004076 298.7780  61.3095 16.11149072163594
ION SCV-007,1 55060U 23001BD  25339.16432108  .00001198  00000+0  17582-3 0  9993,2 55060  97.9291  40.7788 0011227 239.7136 120.2964 14.77305568157602
SKYKRAFT-1C,1 55061U 23001BE  25339.15438754  .00008264  00000+0  34889-3 0  9996,2 55061  97.3501  31.9718 0012459 108.2602 251.9992 15.23452247161924
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25339.29846968  .00179336  00000+0  12155-2 0  9994,2 55064  97.2027  43.3385 0002849 347.4517  12.6677 15.74462576163892
YAM-5,1 55076U 23001BV  25339.12682049  .00021383  00000+0  65493-3 0  9999,2 55076  97.3501  37.8501 0011394  87.2662 272.9885 15.33764174162318
OBJECT CA,1 55081U 23001CA  25339.27272853  .00379929  56169-4  12288-2 0  9996,2 55081  97.3394  56.8867 0001315  17.8495 342.2824 15.90817086163572
GAMA-ALPHA,1 55084U 23001CD  25339.19302156  .00265100  00000+0  13861-2 0  9991,2 55084  97.3516  54.5837 0002354   7.2757 352.8545 15.80120810163434
KSF3-A,1 55086U 23001CF  25339.30607684  .01383993  12087-2  18549-2 0  9991,2 55086  97.3355  57.6222 0007250 313.9208  46.1475 16.06818671163610
