Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25286.91482566  .00017278  00000+0  51723-3 0  9994,2 55009  97.3549 346.2444 0005191 282.8568  77.2095 15.34585213154355
MENUT,1 55010U 23001B   25286.94695616  .00036920  00000+0  10773-2 0  9995,2 55010  97.3616 346.6528 0004127 279.2845  80.7932 15.35239182154334
BRO-8,1 55011U 23001C   25286.91407855  .00024912  00000+0  75368-3 0  9999,2 55011  97.3613 345.7383 0006386 293.8020  66.2553 15.34167719154262
CONNECTA T1.2,1 55012U 23001D   25286.64628474  .00018073  00000+0  48346-3 0  9999,2 55012  97.3637 350.0668 0005991 266.0656  93.9905 15.38089221154513
BIRKELAND,1 55015U 23001G   25286.94032800  .00011799  00000+0  35509-3 0  9992,2 55015  97.3682 349.7547 0005995 267.8886  92.1670 15.34502173154517
OBJECT H,1 55016U 23001H   25286.96119588  .00015881  00000+0  48231-3 0  9996,2 55016  97.3535 346.3062 0006038 275.9752  84.0802 15.34141448154376
KSF3-B,1 55019U 23001L   25286.94327485  .00138851  00000+0  13940-2 0  9995,2 55019  97.3578   1.6267 0004029 172.0434 188.0890 15.65032109155332
FLOCK 4Y-7,1 55032U 23001Z   25286.94811872  .02719500  16255-1  31360-2 0  9993,2 55032  97.3430   3.8428 0009807 274.6787  85.3378 16.13066073155517
LYNK TOWER 4,1 55034U 23001AB  25286.15782282  .00013450  00000+0  48476-3 0  9995,2 55034  97.3585 342.6681 0007357 280.3327  79.7084 15.28643619154025
UMBRA-05,1 55036U 23001AD  25286.61274807  .00236355  00000+0  26391-2 0  9999,2 55036  97.3513 346.1096 0003431 185.8714 174.2504 15.61994009154291
SKYKRAFT-1,1 55041U 23001AJ  25286.97411675  .00033678  00000+0  70565-3 0  9996,2 55041  97.3562 352.7259 0005853 238.7665 121.3011 15.45334384154773
FLOCK 4Y-11,1 55043U 23001AL  25286.95101602  .01475349  12450-2  28635-2 0  9993,2 55043  97.3489   3.4685 0008720 259.2564 100.7733 16.00555425155459
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25286.94480927  .00017431  00000+0  65328-3 0  9993,2 55045  97.3634 348.5546 0006491 231.1969 128.8691 15.27303892154666
LYNK TOWER 3,1 55046U 23001AP  25286.90973492  .00014798  00000+0  51719-3 0  9996,2 55046  97.3588 343.9907 0007580 278.9468  81.0915 15.29628344154177
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25286.94584181  .00015772  00000+0  59391-3 0  9991,2 55047  97.3382 347.5100 0008232 191.6710 168.4339 15.27154923154738
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25286.95321141  .00016587  00000+0  57871-3 0  9994,2 55048  97.2257 341.3293 0004504 258.8166 101.2569 15.29673241154701
ICEYE-X21,1 55049U 23001AS  25286.96697354  .00052273  00000+0  92014-3 0  9998,2 55049  97.3611 355.1999 0014459 233.4933 126.4987 15.50177106154913
ION SCV-008,1 55051U 23001AU  25286.66509934  .00011630  00000+0  47540-3 0  9990,2 55051  97.5792  14.5250 0016945 156.2980 203.9041 15.24391639153720
EOSSAT-1,1 55053U 23001AW  25286.60712603  .00011120  00000+0  39256-3 0  9994,2 55053  97.3613 344.4857 0008281 277.2136  82.8163 15.29365925154174
SKYKRAFT-1A,1 55054U 23001AX  25286.59852520  .00007382  00000+0  28986-3 0  9999,2 55054  97.3600 342.7835 0008767 286.2558  73.7715 15.25968231154071
VIGORIDE-5,1 55056U 23001AZ  25286.90980694  .00040744  00000+0  95843-3 0  9995,2 55056  97.3579 348.4804 0002988 254.8004 105.2912 15.41860631154481
SKYKRAFT-1B,1 55058U 23001BB  25286.93942621  .00155329  00000+0  11299-2 0  9996,2 55058  97.3487   0.8364 0005147 216.1790 143.9127 15.72861441155318
ION SCV-007,1 55060U 23001BD  25286.94124005  .00000776  00000+0  11662-3 0  9998,2 55060  97.9365 349.4227 0013537  55.3463 304.9021 14.77203686149897
SKYKRAFT-1C,1 55061U 23001BE  25286.59820516  .00005334  00000+0  23045-3 0  9993,2 55061  97.3583 340.4972 0009480 299.9130  60.1165 15.22869118153929
ICEYE-X27,1 55062U 23001BF  25286.94671560  .00254732  00000+0  14219-2 0  9996,2 55062  97.3503 358.9428 0003706 231.7476 128.3458 15.78689671155169
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25286.93895441  .00087032  00000+0  10219-2 0  9996,2 55064  97.2143 349.6216 0005258 181.5954 178.5288 15.61174335155693
YAM-5,1 55076U 23001BV  25286.90621466  .00014083  00000+0  45524-3 0  9994,2 55076  97.3575 345.9380 0008500 272.5092  87.5177 15.32159271154318
OBJECT CA,1 55081U 23001CA  25286.91837269  .00116751  00000+0  95118-3 0  9990,2 55081  97.3506   1.2069 0005141 212.6459 147.4486 15.70266409155318
GAMA-ALPHA,1 55084U 23001CD  25286.14277040  .00106547  00000+0  10961-2 0  9997,2 55084  97.3569 358.7313 0005689 211.1780 148.9142 15.64510537155109
KSF3-A,1 55086U 23001CF  25286.94464473  .00218319  00000+0  21454-2 0  9995,2 55086  97.3581   1.7505 0002770 180.3199 179.8059 15.65326411155345
HUYGENS,1 55093U 23001CN  25286.94040737  .00012245  00000+0  36810-3 0  9999,2 55093  97.3601 349.2787 0009427 243.6181 116.4095 15.34502188154538
KUWAITSAT-1,1 55103U 23001CY  25286.93178916  .00022232  00000+0  59347-3 0  9998,2 55103  97.3603 350.4528 0009265 244.0428 115.9863 15.38087509154590
SHARJAHSAT-1,1 55104U 23001CZ  25286.91093372  .00021724  00000+0  57525-3 0  9990,2 55104  97.3557 348.5876 0005752 273.9887  86.0701 15.38367506154496
AAC-AIS-SAT1,1 55107U 23001DC  25286.96237601  .00007613  00000+0  81667-3 0  9998,2 55107  97.9461 357.6668 0009994  18.6177 341.5403 14.88871377141604
ASTROCAST-0402,1 55109U 23001DE  25286.96202570  .00010555  00000+0  44832-3 0  9999,2 55109  97.5691  12.3209 0006016  43.2124 316.9583 15.23239577106988
ASTROCAST-0401,1 55110U 23001DF  25286.51749104  .00011783  00000+0  49904-3 0  9990,2 55110  97.5681  11.8757 0008694   3.3158 356.8134 15.23287824153591
ASTROCAST-0403,1 55111U 23001DG  25286.92911362  .00020079  00000+0  84207-3 0  9996,2 55111  97.5741  12.6270 0007058 122.6193 237.5726 15.23509578106970
ASTROCAST-0404,1 55112U 23001DH  25286.68435918  .00009633  00000+0  41036-3 0  9994,2 55112  97.5775  12.7763 0008585 138.2127 221.9766 15.23147454106941
