Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25272.30613587  .00021979  00000+0  66903-3 0  9990,2 55009  97.3572 331.6864 0005981 347.4825  12.6269 15.34001181152111
MENUT,1 55010U 23001B   25272.27625078  .00047637  00000+0  14441-2 0  9994,2 55010  97.3644 332.0116 0004895 350.7472   9.3680 15.33970849152087
BRO-8,1 55011U 23001C   25272.30002991  .00034255  00000+0  10643-2 0  9994,2 55011  97.3638 331.1746 0007222 355.8414   4.2768 15.33250455152028
CONNECTA T1.2,1 55012U 23001D   25272.13590510  .00022324  00000+0  60771-3 0  9997,2 55012  97.3662 335.5123 0006535 332.9344  27.1559 15.37501461152287
BIRKELAND,1 55015U 23001G   25272.20108561  .00014173  00000+0  43161-3 0  9996,2 55015  97.3703 335.0409 0006484 334.0861  26.0056 15.34079964152250
OBJECT H,1 55016U 23001H   25272.28320036  .00020467  00000+0  63122-3 0  9990,2 55016  97.3559 331.6915 0006757 339.7859  20.3115 15.33595500152123
KSF3-B,1 55019U 23001L   25272.28096841  .00132776  00000+0  15972-2 0  9993,2 55019  97.3606 346.3686 0004180 205.0456 155.0599 15.60386600153046
FLOCK 4Y-22,1 55022U 23001P   25272.20362861  .01245606  77655-3  29453-2 0  9998,2 55022  97.3426 349.5884 0010155 270.7224  89.2889 15.96856060153294
FLOCK 4Y-7,1 55032U 23001Z   25272.18326936  .00599093  00000+0  29753-2 0  9999,2 55032  97.3506 347.8145 0006849 258.9975 101.0523 15.80382598153168
LYNK TOWER 4,1 55034U 23001AB  25272.14796674  .00014062  00000+0  51236-3 0  9997,2 55034  97.3611 328.8235 0008323 339.6968  20.3939 15.28268859151880
UMBRA-05,1 55036U 23001AD  25272.16914957  .00207227  00000+0  29736-2 0  9993,2 55036  97.3553 331.1834 0004842 199.7105 160.3963 15.55397321152047
SKYKRAFT-1,1 55041U 23001AJ  25272.33507050  .00042302  00000+0  91943-3 0  9991,2 55041  97.3586 337.9014 0005613 303.3004  56.7706 15.44205018152515
FLOCK 4Y-11,1 55043U 23001AL  25271.75653944  .00482205  00000+0  27896-2 0  9997,2 55043  97.3565 347.0934 0007871 256.9929 103.0458 15.77256619153042
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25272.26650598  .00022104  00000+0  84191-3 0  9998,2 55045  97.3658 334.0714 0006154 294.3084  65.7512 15.26720266152424
LYNK TOWER 3,1 55046U 23001AP  25272.12320848  .00019102  00000+0  67688-3 0  9992,2 55046  97.3606 329.3573 0008398 340.0344  20.0566 15.29114774151918
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25272.26708987  .00021908  00000+0  82698-3 0  9997,2 55047  97.3402 333.0769 0007056 248.8056 111.2430 15.27013889152497
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25272.29762800  .00021924  00000+0  77730-3 0  9994,2 55048  97.2282 327.0863 0004843 328.0345  32.0602 15.29089005152467
ICEYE-X21,1 55049U 23001AS  25272.30600301  .00062134  00000+0  11644-2 0  9993,2 55049  97.3629 340.2438 0013935 286.1960  73.7757 15.48352853152646
ION SCV-008,1 55051U 23001AU  25272.28804424  .00012572  00000+0  51926-3 0  9994,2 55051  97.5797 359.9894 0015950 206.0734 153.9701 15.24040900151537
EOSSAT-1,1 55053U 23001AW  25272.14586786  .00013180  00000+0  46974-3 0  9992,2 55053  97.3628 330.1739 0009179 337.5078  22.5758 15.29000690151963
SKYKRAFT-1A,1 55054U 23001AX  25272.10559635  .00009340  00000+0  36850-3 0  9997,2 55054  97.3622 328.5154 0009835 343.7159  16.3761 15.25723909151863
VIGORIDE-5,1 55056U 23001AZ  25272.17179559  .00043746  00000+0  10754-2 0  9991,2 55056  97.3600 333.6329 0002945 327.2137  32.8926 15.40510519152214
SKYKRAFT-1B,1 55058U 23001BB  25272.15830871  .00147310  00000+0  13010-2 0  9992,2 55058  97.3515 345.2953 0004551 257.0440 103.0314 15.68205671152992
ION SCV-007,1 55060U 23001BD  25272.17453374  .00001113  00000+0  16434-3 0  9990,2 55060  97.9384 334.8932 0013781  98.3534 261.9240 14.77169403147718
SKYKRAFT-1C,1 55061U 23001BE  25272.01035328  .00006677  00000+0  28914-3 0  9995,2 55061  97.3603 326.2063 0010697 355.8400   4.2746 15.22685293151707
ICEYE-X27,1 55062U 23001BF  25272.14522409  .00215696  00000+0  16394-2 0  9992,2 55062  97.3535 343.2702 0001368 254.6599 105.4513 15.71654082152838
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25272.31258560  .00092019  00000+0  11985-2 0  9990,2 55064  97.2174 334.7626 0004476 227.2013 132.8868 15.58420912153418
YAM-5,1 55076U 23001BV  25272.14417092  .00017468  00000+0  57239-3 0  9999,2 55076  97.3600 331.2753 0009213 333.4622  26.6147 15.31667383152054
OBJECT CA,1 55081U 23001CA  25272.30943122  .00124516  00000+0  11719-2 0  9996,2 55081  97.3538 345.8887 0004425 259.6166 100.4596 15.66701235153021
GAMA-ALPHA,1 55084U 23001CD  25272.18737348  .00102238  00000+0  11770-2 0  9990,2 55084  97.3581 344.2062 0005037 261.8471  98.2216 15.61636113152922
KSF3-D,1 55085U 23001CE  25272.18725145  .00670085  18334-3  20291-2 0  9994,2 55085  97.3465 348.8577 0006655 254.6045 105.4494 15.92086262153231
KSF3-A,1 55086U 23001CF  25272.28093537  .00122539  00000+0  14797-2 0  9996,2 55086  97.3614 346.4935 0003000 204.4575 155.6540 15.60324893153051
HUYGENS,1 55093U 23001CN  25272.13597002  .00015176  00000+0  46152-3 0  9993,2 55093  97.3623 334.5157 0009267 305.4784  54.5593 15.34084465152264
KUWAITSAT-1,1 55103U 23001CY  25272.16039088  .00028791  00000+0  78591-3 0  9992,2 55103  97.3624 335.6455 0009300 306.0597  53.9786 15.37343245152328
SHARJAHSAT-1,1 55104U 23001CZ  25272.27224985  .00029012  00000+0  78611-3 0  9997,2 55104  97.3582 333.9159 0006370 338.5911  21.5067 15.37593753152243
AAC-AIS-SAT1,1 55107U 23001DC  25272.31024302  .00010641  00000+0  11465-2 0  9997,2 55107  97.9477 342.9687 0010924  63.6725 296.5613 14.88580818139429
ASTROCAST-0402,1 55109U 23001DE  25272.24549304  .00013714  00000+0  58800-3 0  9994,2 55109  97.5700 357.4882 0006802  84.9903 275.2110 15.22847791104746
ASTROCAST-0401,1 55110U 23001DF  25272.19569846  .00014878  00000+0  63597-3 0  9994,2 55110  97.5688 357.4415 0009801  50.0961 310.1135 15.22908452151419
ASTROCAST-0403,1 55111U 23001DG  25272.21471433  .00015146  00000+0  64545-3 0  9995,2 55111  97.5747 357.7822 0006272 165.8252 194.3162 15.23035123104730
ASTROCAST-0404,1 55112U 23001DH  25272.23001671  .00010891  00000+0  46790-3 0  9995,2 55112  97.5778 358.1938 0007487 185.0453 175.0709 15.22833867104748
