Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25201.42016941  .00007698  00000+0  24962-3 0  9997,2 55009  97.3678 261.1120 0006171 216.0819 144.0007 15.32247255141251
MENUT,1 55010U 23001B   25201.46646832  .00005444  00000+0  18766-3 0  9993,2 55010  97.3757 261.5660 0006476 219.1601 140.9172 15.30406374141249
BRO-8,1 55011U 23001C   25201.48579671  .00006013  00000+0  20550-3 0  9999,2 55011  97.3745 260.7445 0007461 227.7039 132.3570 15.30635156141186
CONNECTA T1.2,1 55012U 23001D   25200.43219968  .00007827  00000+0  22797-3 0  9993,2 55012  97.3764 263.6635 0007450 207.5845 152.5004 15.35648612141272
BIRKELAND,1 55015U 23001G   25201.52444358  .00005956  00000+0  19107-3 0  9992,2 55015  97.3802 264.5231 0007218 202.6914 157.4010 15.32683747141428
OBJECT H,1 55016U 23001H   25201.44664329  .00007424  00000+0  24305-3 0  9994,2 55016  97.3665 261.2152 0007192 210.0203 150.0627 15.31945129141277
KSF3-B,1 55019U 23001L   25201.49079953  .00024863  00000+0  39531-3 0  9998,2 55019  97.3712 273.3377 0007113 118.0869 242.1104 15.53276930142033
FLOCK 4Y-24,1 55020U 23001M   25201.35029846  .00107197  00000+0  11663-2 0  9998,2 55020  97.3693 275.7211 0005123 178.2101 181.9176 15.63080124142209
FLOCK 4Y-22,1 55022U 23001P   25201.45974528  .00027203  00000+0  35414-3 0  9997,2 55022  97.3622 275.2156 0006184 156.3567 203.7974 15.58707113142192
FLOCK 4Y-18,1 55023U 23001Q   25201.36201731  .00109836  00000+0  12054-2 0  9994,2 55023  97.3678 276.0202 0005334 187.6700 172.4477 15.62847082142192
FLOCK 4Y-14,1 55024U 23001R   25201.19639463  .00106165  00000+0  11243-2 0  9994,2 55024  97.3612 275.5959 0004561 182.2044 177.9195 15.63779251142186
FLOCK 4Y-30,1 55025U 23001S   25201.45073016  .01002215  51316-3  17777-2 0  9990,2 55025  97.3624 278.7832 0009600 236.6797 123.3563 16.01910117142380
FLOCK 4Y-25,1 55027U 23001U   25201.47361439  .00207925  00000+0  13582-2 0  9997,2 55027  97.3566 276.0297 0006227 179.4544 180.6729 15.75221668142262
FLOCK 4Y-5,1 55028U 23001V   25201.46922757  .00154729  00000+0  13049-2 0  9994,2 55028  97.3644 276.2309 0007403 205.0310 155.0594 15.69294018142246
FLOCK 4Y-10,1 55029U 23001W   25201.47208960  .00104744  00000+0  10867-2 0  9996,2 55029  97.3599 276.0715 0006127 173.8597 186.2739 15.64298341142230
FLOCK 4Y-7,1 55032U 23001Z   25201.17483436  .00032413  00000+0  46143-3 0  9990,2 55032  97.3670 273.7486 0006294 162.2307 197.9169 15.56268341142064
LYNK TOWER 4,1 55034U 23001AB  25201.40398754  .00004641  00000+0  17727-3 0  9994,2 55034  97.3713 258.9339 0008679 210.1028 149.9713 15.27091989141081
UMBRA-05,1 55036U 23001AD  25201.43242405  .00047432  00000+0  10968-2 0  9994,2 55036  97.3681 259.1975 0005139 107.2976 252.8834 15.42333041141108
SKYKRAFT-1,1 55041U 23001AJ  25201.49080863  .00014139  00000+0  34456-3 0  9991,2 55041  97.3693 266.3466 0007698 184.6102 175.5075 15.40988764141591
FLOCK 4Y-33,1 55042U 23001AK  25201.45933055  .00101339  00000+0  11563-2 0  9990,2 55042  97.3707 275.6716 0005005 167.3237 192.8147 15.61870625142217
FLOCK 4Y-11,1 55043U 23001AL  25201.46258836  .00028023  00000+0  39830-3 0  9995,2 55043  97.3710 273.8546 0006926 172.0798 188.0567 15.56334928142062
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25201.47266161  .00007929  00000+0  30895-3 0  9992,2 55045  97.3738 264.2161 0008538 171.3348 188.8040 15.26200630141629
LYNK TOWER 3,1 55046U 23001AP  25200.88568753  .00007079  00000+0  26489-3 0  9999,2 55046  97.3716 258.9065 0008768 214.2443 145.8232 15.27584846141033
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25201.46454767  .00009032  00000+0  32784-3 0  9990,2 55047  97.3465 263.3299 0010247 136.7983 223.4063 15.28491890141689
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25201.51147136  .00007954  00000+0  29958-3 0  9996,2 55048  97.2389 258.3548 0006151 191.9486 168.1609 15.27337492141659
ICEYE-X21,1 55049U 23001AS  25201.47903708  .00014061  00000+0  31061-3 0  9992,2 55049  97.3736 268.3215 0016111 180.6408 179.4822 15.43830934141700
ION SCV-008,1 55051U 23001AU  25200.89282457  .00004653  00000+0  19992-3 0  9996,2 55051  97.5840 287.8632 0018392 100.2435 260.0876 15.23036586140660
