Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25186.20271825  .00009304  00000+0  30337-3 0  9998,2 55009  97.3687 245.9705 0005376 284.0325  76.0318 15.32012572138924
MENUT,1 55010U 23001B   25186.16557867  .00006352  00000+0  21986-3 0  9998,2 55010  97.3764 246.3675 0005735 286.9414  73.1198 15.30211178138905
BRO-8,1 55011U 23001C   25186.18666225  .00014427  00000+0  49387-3 0  9997,2 55011  97.3754 245.5460 0006809 293.6767  66.3759 15.30314153138844
CONNECTA T1.2,1 55012U 23001D   25186.09562267  .00008336  00000+0  24451-3 0  9996,2 55012  97.3771 249.3076 0006315 268.3870  91.6650 15.35415291139072
BIRKELAND,1 55015U 23001G   25186.18105784  .00006501  00000+0  20952-3 0  9990,2 55015  97.3810 249.2201 0006078 267.6976  92.3570 15.32510658139072
OBJECT H,1 55016U 23001H   25186.09561258  .00007913  00000+0  26074-3 0  9992,2 55016  97.3674 245.9504 0006257 275.7450  84.3078 15.31720199138925
KSF3-B,1 55019U 23001L   25186.15281638  .00038842  00000+0  64334-3 0  9999,2 55019  97.3724 257.5871 0007080 160.0840 200.0690 15.52049292139653
FLOCK 4Y-24,1 55020U 23001M   25185.71329142  .00031468  00000+0  38810-3 0  9992,2 55020  97.3706 259.4570 0004829 208.2817 151.8178 15.60121959139765
FLOCK 4Y-32,1 55021U 23001N   25186.18887117  .02580868  23805-5  19146-2 0  9995,2 55021  97.3480 262.6369 0014742 259.5574 100.4051 16.15225421140033
FLOCK 4Y-22,1 55022U 23001P   25185.72650157  .00031142  00000+0  41947-3 0  9992,2 55022  97.3631 258.9458 0005101 203.2502 156.8524 15.57778092139743
FLOCK 4Y-18,1 55023U 23001Q   25185.72282982  .00035074  00000+0  43882-3 0  9998,2 55023  97.3702 259.7614 0004722 216.1353 143.9585 15.59723182139769
FLOCK 4Y-14,1 55024U 23001R   25186.14333347  .00117115  00000+0  13949-2 0  9995,2 55024  97.3636 259.9388 0004215 205.1782 154.9271 15.60700556139831
FLOCK 4Y-30,1 55025U 23001S   25185.72902325  .00378305  00000+0  16319-2 0  9991,2 55025  97.3662 261.7121 0010245 213.4749 146.5874 15.83948290139887
FLOCK 4Y-25,1 55027U 23001U   25186.19905251  .00178071  00000+0  14717-2 0  9994,2 55027  97.3597 259.9104 0007331 199.9903 160.1073 15.69717301139860
FLOCK 4Y-5,1 55028U 23001V   25186.20777969  .00257678  00000+0  25647-2 0  9995,2 55028  97.3662 260.2335 0006320 233.0859 126.9822 15.64865807139853
FLOCK 4Y-10,1 55029U 23001W   25185.71936906  .00105995  00000+0  12439-2 0  9998,2 55029  97.3623 259.6760 0004958 202.8118 157.2920 15.61122608139771
FLOCK 4Y-17,1 55031U 23001Y   25185.75614099  .03675815  24019-5  19339-2 0  9995,2 55031  97.3415 261.9055 0014859 262.9712  96.9887 16.19875146139917
FLOCK 4Y-7,1 55032U 23001Z   25186.18880825  .00036345  00000+0  53447-3 0  9999,2 55032  97.3679 258.2970 0005442 208.2186 151.8774 15.55367892139730
LYNK TOWER 4,1 55034U 23001AB  25185.87350772  .00006057  00000+0  23160-3 0  9995,2 55034  97.3720 243.5933 0007775 274.4851  85.5500 15.26938170138718
UMBRA-05,1 55036U 23001AD  25185.91904022  .00046982  00000+0  11389-2 0  9995,2 55036  97.3691 243.5376 0005910 145.7824 214.3804 15.40906607138712
SKYKRAFT-1,1 55041U 23001AJ  25186.16381978  .00014767  00000+0  36499-3 0  9994,2 55041  97.3701 250.8923 0006273 243.4863 116.5740 15.40559580139235
FLOCK 4Y-33,1 55042U 23001AK  25186.19780753  .00049723  00000+0  62182-3 0  9990,2 55042  97.3714 259.8176 0005164 205.1230 154.9776 15.59661290139833
FLOCK 4Y-11,1 55043U 23001AL  25185.70536458  .00029665  00000+0  43616-3 0  9992,2 55043  97.3724 257.5977 0005712 222.5175 137.5638 15.55410666139614
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25186.19493817  .00009937  00000+0  38932-3 0  9994,2 55045  97.3746 249.1421 0007034 226.3621 133.7035 15.25960532139290
LYNK TOWER 3,1 55046U 23001AP  25185.88403115  .00007002  00000+0  26371-3 0  9997,2 55046  97.3725 244.0770 0007952 276.1809  83.8524 15.27380953138741
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25186.20955301  .00010410  00000+0  38062-3 0  9991,2 55047  97.3473 248.2817 0008969 185.9339 174.1796 15.28223447139352
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25186.17958057  .00009528  00000+0  36091-3 0  9997,2 55048  97.2396 243.4770 0004784 255.5698 104.5011 15.27100041139310
ICEYE-X21,1 55049U 23001AS  25186.18016074  .00016882  00000+0  37812-3 0  9996,2 55049  97.3744 252.8206 0014815 237.0449 122.9375 15.43401124139346
ION SCV-008,1 55051U 23001AU  25186.24099928  .00005533  00000+0  23813-3 0  9992,2 55051  97.5842 273.0678 0017843 147.6791 212.5542 15.22900984138434
EOSSAT-1,1 55053U 23001AW  25185.91504566  .00005497  00000+0  20548-3 0  9997,2 55053  97.3744 244.8604 0008702 273.5676  86.4568 15.27725624138791
SKYKRAFT-1A,1 55054U 23001AX  25186.09670457  .00003524  00000+0  14456-3 0  9991,2 55054  97.3734 243.8234 0009023 279.4290  80.5928 15.24866429138750
VIGORIDE-5,1 55056U 23001AZ  25185.91857367  .00016015  00000+0  44767-3 0  9997,2 55056  97.3711 247.0215 0008055 245.9789 114.0612 15.36735853138951
SKYKRAFT-1B,1 55058U 23001BB  25185.75616280  .00041467  00000+0  58573-3 0  9997,2 55058  97.3652 255.5926 0005615 219.4253 140.6594 15.56436064139512
ION SCV-007,1 55060U 23001BD  25185.94024493  .00000359  00000+0  58143-4 0  9999,2 55060  97.9488 249.9710 0012889  23.4723 336.7073 14.77061592134980
SKYKRAFT-1C,1 55061U 23001BE  25185.90256891  .00002612  00000+0  11717-3 0  9994,2 55061  97.3717 241.8136 0009575 292.3165  67.7056 15.22045309138602
ICEYE-X27,1 55062U 23001BF  25185.93182301  .00049611  00000+0  70356-3 0  9996,2 55062  97.3673 253.5897 0002003 245.6341 114.4705 15.56305284139378
FLOCK 4Y-20,1 55063U 23001BG  25186.19758316  .00036768  00000+0  46969-3 0  9993,2 55063  97.3717 260.1996 0006039 220.6615 139.4191 15.59154240139825
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25186.15134551  .00030940  00000+0  53850-3 0  9992,2 55064  97.2318 247.8781 0006120 187.5269 172.5893 15.50704067140034
FLOCK 4Y-12,1 55065U 23001BJ  25186.17363932  .00075290  00000+0  94201-3 0  9994,2 55065  97.3670 260.2903 0005494 214.5687 145.5213 15.59544622139829
FLOCK 4Y-15,1 55068U 23001BM  25186.15509064  .00042086  00000+0  50859-3 0  9991,2 55068  97.3575 259.7420 0006868 203.0699 157.0250 15.60585900139853
FLOCK 4Y-26,1 55070U 23001BP  25186.18887332  .00440131  00000+0  18856-2 0  9997,2 55070  97.3663 261.9778 0009819 217.9779 142.0800 15.83952201139950
FLOCK 4Y-2,1 55074U 23001BT  25186.19314617  .00038735  00000+0  48116-3 0  9999,2 55074  97.3658 260.1774 0006432 215.1993 144.8840 15.59881866139844
YAM-5,1 55076U 23001BV  25185.91959251  .00007193  00000+0  25019-3 0  9990,2 55076  97.3712 245.6891 0008956 271.5131  88.5084 15.29980569138860
FLOCK 4Y-21,1 55077U 23001BW  25185.76138348  .00034841  00000+0  42872-3 0  9996,2 55077  97.3680 259.9610 0006484 208.7366 151.3534 15.60150789139787
FLOCK 4Y-13,1 55079U 23001BY  25186.16892751  .00207408  00000+0  14074-2 0  9991,2 55079  97.3596 261.0335 0009458 213.2679 146.7992 15.74306383139903
OBJECT CA,1 55081U 23001CA  25186.14144910  .00039985  00000+0  56676-3 0  9997,2 55081  97.3671 256.4627 0006923 221.7138 138.3589 15.56339855139583
FLOCK 4Y-34,1 55082U 23001CB  25186.17258036  .00312581  00000+0  17307-2 0  9999,2 55082  97.3597 261.1884 0009585 211.0761 148.9940 15.78672853139928
GAMA-ALPHA,1 55084U 23001CD  25185.71691658  .00032851  00000+0  53088-3 0  9997,2 55084  97.3722 254.9905 0006565 219.8977 140.1794 15.52775182139476
KSF3-D,1 55085U 23001CE  25186.14935730  .00074108  00000+0  87851-3 0  9994,2 55085  97.3672 258.1766 0005397 209.9510 150.1439 15.60969342139724
KSF3-A,1 55086U 23001CF  25186.19596569  .00022431  00000+0  37986-3 0  9999,2 55086  97.3728 257.7988 0005280 200.6466 159.4574 15.51547314139674
HUYGENS,1 55093U 23001CN  25186.18114329  .00006426  00000+0  20693-3 0  9999,2 55093  97.3735 248.8494 0009800 243.6321 116.3915 15.32512296139099
KUWAITSAT-1,1 55103U 23001CY  25186.09627025  .00008437  00000+0  25127-3 0  9994,2 55103  97.3736 249.5143 0009713 246.9332 113.0888 15.34901862139111
SHARJAHSAT-1,1 55104U 23001CZ  25186.15896337  .00009073  00000+0  26796-3 0  9996,2 55104  97.3697 247.7452 0005985 276.8387  83.2175 15.35170751139023
AAC-AIS-SAT1,1 55107U 23001DC  25186.17129744  .00003383  00000+0  37759-3 0  9991,2 55107  97.9567 256.5792 0009545 349.7896  10.3124 14.87653545126613
ASTROCAST-0402,1 55109U 23001DE  25185.79741054  .00005668  00000+0  25441-3 0  9997,2 55109  97.5751 270.4412 0006316  38.6174 321.5512 15.21573442 91598
