Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25334.16309123  .00016622  00000+0  47093-3 0  9999,2 55009  97.3485  33.3768 0008019 108.7013 251.5102 15.36306284161603
MENUT,1 55010U 23001B   25334.20595794  .00042777  00000+0  10952-2 0  9990,2 55010  97.3540  33.9621 0007318 109.2469 250.9569 15.39252597161591
BRO-8,1 55011U 23001C   25334.15850589  .00029342  00000+0  80995-3 0  9999,2 55011  97.3544  32.9154 0008677 117.9951 242.2172 15.36996517161517
CONNECTA T1.2,1 55012U 23001D   25334.11226525  .00017305  00000+0  43756-3 0  9993,2 55012  97.3580  37.7288 0009033  99.6354 260.5913 15.39807195161814
BIRKELAND,1 55015U 23001G   25334.19763421  .00011811  00000+0  34095-3 0  9997,2 55015  97.3626  36.9630 0009016 100.7029 259.5230 15.35791256161764
OBJECT H,1 55016U 23001H   25334.15943949  .00015675  00000+0  45197-3 0  9996,2 55016  97.3471  33.3450 0008925 105.0734 255.1498 15.35760774161616
KSF3-B,1 55019U 23001L   25334.16104582  .00855228  33913-3  18671-2 0  9997,2 55019  97.3404  51.7323 0007265 299.6274  60.4279 15.98242771162776
LYNK TOWER 4,1 55034U 23001AB  25334.12253069  .00009942  00000+0  34700-3 0  9998,2 55034  97.3515  30.0844 0010641 106.4603 253.7808 15.29742944161356
SKYKRAFT-1,1 55041U 23001AJ  25334.18870722  .00038402  00000+0  70729-3 0  9997,2 55041  97.3504  40.6754 0007110  78.2277 281.9771 15.49042306162078
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25334.17259145  .00014711  00000+0  57280-3 0  9994,2 55045  97.3627  35.0448 0009301  75.2594 284.9675 15.26051661161860
LYNK TOWER 3,1 55046U 23001AP  25334.11815297  .00014441  00000+0  48175-3 0  9998,2 55046  97.3518  30.7451 0010365 108.0089 252.2283 15.31120482161397
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25334.20606313  .00014187  00000+0  53297-3 0  9994,2 55047  97.3338  33.9293 0008867  45.3670 314.8291 15.27251179161948
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25334.15734878  .00017302  00000+0  57669-3 0  9996,2 55048  97.2187  27.2461 0007154  85.2467 274.9591 15.31132603161920
ICEYE-X21,1 55049U 23001AS  25334.18292086  .00065553  00000+0  90384-3 0  9992,2 55049  97.3571  43.6435 0011228  60.1774 300.0596 15.56929394162242
ION SCV-008,1 55051U 23001AU  25333.97737200  .00008337  00000+0  33220-3 0  9996,2 55051  97.5784  62.4041 0015775 359.4163   0.7054 15.25368559160935
