Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25204.09766904  .00009960  00000+0  32163-3 0  9990,2 55009  97.3678 263.7764 0006410 205.6604 154.4321 15.32296098141663
MENUT,1 55010U 23001B   25204.14719707  .00007095  00000+0  24347-3 0  9999,2 55010  97.3756 264.2289 0006745 208.7291 151.3580 15.30441788141655
BRO-8,1 55011U 23001C   25204.16612666  .00008179  00000+0  27819-3 0  9999,2 55011  97.3745 263.4076 0007694 216.9026 143.1686 15.30671659141591
CONNECTA T1.2,1 55012U 23001D   25203.16893116  .00008504  00000+0  24705-3 0  9993,2 55012  97.3766 266.4042 0007760 197.2295 162.8687 15.35697993141698
BIRKELAND,1 55015U 23001G   25204.13590300  .00007803  00000+0  24922-3 0  9995,2 55015  97.3803 267.1279 0007488 193.2402 166.8645 15.32721665141820
OBJECT H,1 55016U 23001H   25204.12467219  .00009796  00000+0  31934-3 0  9991,2 55016  97.3665 263.8785 0007450 200.1165 159.9784 15.31992142141685
KSF3-B,1 55019U 23001L   25204.19640056  .00042794  00000+0  67350-3 0  9999,2 55019  97.3715 276.1182 0007069 110.3709 249.8304 15.53452971142452
FLOCK 4Y-24,1 55020U 23001M   25204.16650667  .00165822  00000+0  17418-2 0  9994,2 55020  97.3686 278.6579 0004840 175.9173 184.2126 15.63791588142640
FLOCK 4Y-22,1 55022U 23001P   25204.15594002  .00032508  00000+0  42020-3 0  9997,2 55022  97.3623 278.0055 0006214 148.7132 211.4495 15.58863131142613
FLOCK 4Y-18,1 55023U 23001Q   25204.17866662  .00160446  00000+0  17033-2 0  9992,2 55023  97.3684 278.9563 0005069 183.6526 176.4697 15.63536077142634
FLOCK 4Y-14,1 55024U 23001R   25204.20324112  .00164426  00000+0  16778-2 0  9993,2 55024  97.3620 278.7323 0004308 183.4096 176.7135 15.64537829142651
FLOCK 4Y-30,1 55025U 23001S   25204.19328281  .01813561  26299-2  20767-2 0  9999,2 55025  97.3634 281.8225 0011360 253.2439 106.7598 16.09604611142825
FLOCK 4Y-25,1 55027U 23001U   25204.14071879  .00273735  00000+0  16839-2 0  9990,2 55027  97.3573 278.8586 0005575 182.7346 177.3890 15.76428196142687
FLOCK 4Y-5,1 55028U 23001V   25204.14662852  .00195210  00000+0  15781-2 0  9994,2 55028  97.3647 279.0469 0007270 202.3324 157.7623 15.70203130142669
FLOCK 4Y-10,1 55029U 23001W   25204.15825124  .00156737  00000+0  15745-2 0  9990,2 55029  97.3601 278.8750 0005904 171.6946 188.4413 15.64950768142656
FLOCK 4Y-7,1 55032U 23001Z   25203.68235372  .00034412  00000+0  48672-3 0  9992,2 55032  97.3674 276.3353 0006335 154.5414 205.6154 15.56432503142456
LYNK TOWER 4,1 55034U 23001AB  25204.15605819  .00006599  00000+0  25058-3 0  9992,2 55034  97.3711 261.6523 0009011 199.9817 160.1070 15.27125421141503
UMBRA-05,1 55036U 23001AD  25204.15709485  .00071562  00000+0  16323-2 0  9994,2 55036  97.3681 261.9509 0004754 101.0291 259.1492 15.42633834141525
SKYKRAFT-1,1 55041U 23001AJ  25204.15310185  .00017634  00000+0  42778-3 0  9999,2 55041  97.3694 269.0317 0007961 175.6621 184.4696 15.41074466142007
FLOCK 4Y-33,1 55042U 23001AK  25204.14966443  .00132494  00000+0  14696-2 0  9992,2 55042  97.3704 278.4719 0004665 164.4807 195.6595 15.62500870142637
FLOCK 4Y-11,1 55043U 23001AL  25204.16287368  .00040797  00000+0  57450-3 0  9997,2 55043  97.3715 276.6424 0007018 164.3676 195.7797 15.56512332142488
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25204.16075803  .00011200  00000+0  43439-3 0  9997,2 55045  97.3738 266.8687 0008772 162.7770 197.3768 15.26253626142034
LYNK TOWER 3,1 55046U 23001AP  25203.70236632  .00008254  00000+0  30795-3 0  9992,2 55046  97.3716 261.6911 0009049 203.7471 156.3352 15.27627552141460
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25204.14861421  .00011584  00000+0  41884-3 0  9993,2 55047  97.3465 265.9779 0010377 128.6666 231.5504 15.28548385142090
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25204.19757413  .00011353  00000+0  42558-3 0  9997,2 55048  97.2386 260.9618 0006428 182.7422 177.3784 15.27389679142064
ICEYE-X21,1 55049U 23001AS  25204.13645016  .00024672  00000+0  54124-3 0  9997,2 55049  97.3736 271.0150 0016322 171.3729 188.7803 15.43913535142113
ION SCV-008,1 55051U 23001AU  25204.17779926  .00006454  00000+0  27571-3 0  9996,2 55051  97.5847 291.1801 0018341  89.7808 270.5530 15.23073092141164
EOSSAT-1,1 55053U 23001AW  25203.86069901  .00006016  00000+0  22330-3 0  9990,2 55053  97.3735 262.6134 0009872 200.9160 159.1677 15.27910925141533
SKYKRAFT-1A,1 55054U 23001AX  25203.61703091  .00003812  00000+0  15555-3 0  9991,2 55054  97.3726 261.0775 0009924 208.5617 151.5079 15.24984790141425
VIGORIDE-5,1 55056U 23001AZ  25203.43195037  .00014476  00000+0  39872-3 0  9994,2 55056  97.3704 264.5819 0009656 179.2621 180.8640 15.37204859141649
SKYKRAFT-1B,1 55058U 23001BB  25204.19926199  .00058271  00000+0  77571-3 0  9990,2 55058  97.3642 274.6394 0006789 160.7533 199.3980 15.57950316142374
ION SCV-007,1 55060U 23001BD  25203.75655720  .00000398  00000+0  63609-4 0  9998,2 55060  97.9478 267.5247 0011551 325.0337  35.0114 14.77076765137613
SKYKRAFT-1C,1 55061U 23001BE  25203.58696163  .00002903  00000+0  12952-3 0  9994,2 55061  97.3708 259.1502 0010085 220.4317 139.6171 15.22137660141298
ICEYE-X27,1 55062U 23001BF  25204.18190243  .00071400  00000+0  94285-3 0  9997,2 55062  97.3667 272.4431 0004354 191.3835 168.7323 15.58129936142216
FLOCK 4Y-20,1 55063U 23001BG  25204.15855925  .00225105  00000+0  25142-2 0  9998,2 55063  97.3707 278.8425 0005818 172.6471 187.4873 15.62013402142627
NUSAT-32 (ALBANIA-1),1 55064U 23001BH  25204.14916642  .00038960  00000+0  65219-3 0  9993,2 55064  97.2303 265.9681 0007082 133.3287 226.8557 15.51749194142825
FLOCK 4Y-12,1 55065U 23001BJ  25204.18990367  .00150499  00000+0  16692-2 0  9996,2 55065  97.3664 279.0000 0005561 171.2169 188.9188 15.62438408142630
FLOCK 4Y-15,1 55068U 23001BM  25204.15376643  .00144308  00000+0  14822-2 0  9996,2 55068  97.3589 278.4627 0006066 168.3221 191.8180 15.64425378142666
FLOCK 4Y-26,1 55070U 23001BP  25204.15090509  .01909766  30170-2  22519-2 0  9997,2 55070  97.3530 281.5423 0011692 255.9485 104.0498 16.09237824142812
FLOCK 4Y-2,1 55074U 23001BT  25204.20765378  .00147528  00000+0  16256-2 0  9996,2 55074  97.3648 278.8857 0006250 167.5116 192.6298 15.62612254142654
YAM-5,1 55076U 23001BV  25203.77310893  .00007888  00000+0  27196-3 0  9997,2 55076  97.3705 263.4050 0010153 200.1728 159.9113 15.30220940141591
FLOCK 4Y-21,1 55077U 23001BW  25204.15338298  .00155956  00000+0  16617-2 0  9995,2 55077  97.3666 279.0846 0005945 166.3337 193.8084 15.63451537142652
FLOCK 4Y-13,1 55079U 23001BY  25204.17175650  .00474574  00000+0  20326-2 0  9992,2 55079  97.3552 280.2082 0007288 197.1172 162.9853 15.83901542142744
OBJECT CA,1 55081U 23001CA  25204.20043033  .00055975  00000+0  74937-3 0  9996,2 55081  97.3660 275.1137 0008117 162.1768 197.9774 15.57796791142396
FLOCK 4Y-34,1 55082U 23001CB  25204.17003448  .00688358  19533-3  20341-2 0  9990,2 55082  97.3539 280.5271 0007727 219.0328 141.0390 15.92548324142773
GAMA-ALPHA,1 55084U 23001CD  25204.14066593  .00040672  00000+0  62765-3 0  9992,2 55084  97.3704 273.9242 0008049 158.3696 201.7899 15.53999194142336
KSF3-D,1 55085U 23001CE  25204.14763186  .00104795  00000+0  11112-2 0  9991,2 55085  97.3658 276.9108 0005751 166.6043 193.5369 15.63744217142531
KSF3-A,1 55086U 23001CF  25204.18577667  .00028957  00000+0  47675-3 0  9992,2 55086  97.3731 276.2504 0007022 143.1083 217.0654 15.52276114142469
HUYGENS,1 55093U 23001CN  25204.13599113  .00007699  00000+0  24560-3 0  9993,2 55093  97.3727 266.7389 0011512 176.0705 184.0630 15.32724846141848
KUWAITSAT-1,1 55103U 23001CY  25203.17527359  .00008737  00000+0  25763-3 0  9991,2 55103  97.3731 266.5951 0011325 182.0765 178.0433 15.35188953141731
SHARJAHSAT-1,1 55104U 23001CZ  25204.14726471  .00011193  00000+0  32652-3 0  9991,2 55104  97.3690 265.7331 0007231 201.0553 159.0394 15.35491948141788
AAC-AIS-SAT1,1 55107U 23001DC  25204.12927870  .00004419  00000+0  48993-3 0  9996,2 55107  97.9562 274.5884 0008712 283.1026  76.9218 14.87777393129287
