Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25279.48067501  .00013509  00000+0  40831-3 0  9997,2 55009  97.3569 338.8360 0005457 316.9088  43.1727 15.34334034153213
MENUT,1 55010U 23001B   25279.51520214  .00032945  00000+0  97937-3 0  9992,2 55010  97.3640 339.2342 0004364 316.2676  43.8221 15.34676559153196
BRO-8,1 55011U 23001C   25279.47756178  .00020991  00000+0  64366-3 0  9996,2 55011  97.3632 338.3265 0006683 325.7318  34.3492 15.33774242153121
CONNECTA T1.2,1 55012U 23001D   25279.16398578  .00013947  00000+0  37686-3 0  9997,2 55012  97.3662 342.5611 0005935 300.9277  59.1384 15.37835873153368
BIRKELAND,1 55015U 23001G   25279.50596417  .00010000  00000+0  30305-3 0  9998,2 55015  97.3702 342.3333 0006018 301.6326  58.4329 15.34325153153375
OBJECT H,1 55016U 23001H   25279.52493572  .00013076  00000+0  40062-3 0  9996,2 55016  97.3556 338.9020 0006271 309.1522  50.9163 15.33906602153230
KSF3-B,1 55019U 23001L   25279.52128390  .00122393  00000+0  13382-2 0  9999,2 55019  97.3607 353.8922 0004271 194.8577 165.2557 15.62906898154174
FLOCK 4Y-7,1 55032U 23001Z   25279.44066455  .00679214  18580-3  21793-2 0  9998,2 55032  97.3453 355.6122 0008658 260.1916  99.8380 15.90928680154313
LYNK TOWER 4,1 55034U 23001AB  25279.41514323  .00008565  00000+0  31124-3 0  9998,2 55034  97.3601 336.0049 0007559 309.6776  50.3796 15.28496279152993
UMBRA-05,1 55036U 23001AD  25279.43016130  .00167546  00000+0  21247-2 0  9994,2 55036  97.3542 338.6710 0004160 193.4232 166.6914 15.58872715153173
SKYKRAFT-1,1 55041U 23001AJ  25279.52626748  .00029325  00000+0  62550-3 0  9997,2 55041  97.3583 345.1819 0005626 271.0977  88.9627 15.44837522153623
FLOCK 4Y-11,1 55043U 23001AL  25279.47372382  .00575813  00000+0  21405-2 0  9996,2 55043  97.3534 355.3495 0008768 251.0689 108.9632 15.86625182154265
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25279.47522843  .00013209  00000+0  49979-3 0  9990,2 55045  97.3656 341.1842 0006162 262.8478  97.2060 15.27051349153529
LYNK TOWER 3,1 55046U 23001AP  25279.12446988  .00012913  00000+0  45478-3 0  9999,2 55046  97.3608 336.2863 0007857 311.9067  48.1503 15.29406349152989
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25279.47556399  .00013089  00000+0  49717-3 0  9991,2 55047  97.3404 340.1656 0007603 219.6278 140.4406 15.26914412153593
