Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25269.95773545  .00018544  00000+0  56683-3 0  9996,2 55009  97.3574 329.3475 0006243 356.8166   3.3036 15.33903174151759
MENUT,1 55010U 23001B   25269.92771819  .00040500  00000+0  12373-2 0  9991,2 55010  97.3645 329.6703 0005113   0.3564 359.7682 15.33763171151728
BRO-8,1 55011U 23001C   25269.95043814  .00028555  00000+0  89246-3 0  9992,2 55011  97.3639 328.8352 0007448   4.8856 355.2458 15.33098311151661
CONNECTA T1.2,1 55012U 23001D   25269.72776173  .00019098  00000+0  52210-3 0  9992,2 55012  97.3661 333.0980 0006600 343.2767  16.8259 15.37401686151916
BIRKELAND,1 55015U 23001G   25269.91806479  .00012556  00000+0  38344-3 0  9993,2 55015  97.3704 332.7624 0006670 343.3067  16.7955 15.34018875151901
OBJECT H,1 55016U 23001H   25269.93418501  .00017961  00000+0  55595-3 0  9993,2 55016  97.3561 329.3538 0006955 349.1676  10.9416 15.33505588151768
KSF3-B,1 55019U 23001L   25269.90772635  .00098630  00000+0  12179-2 0  9996,2 55019  97.3611 343.9091 0004124 212.6497 147.4505 15.59814882152678
FLOCK 4Y-22,1 55022U 23001P   25269.75539646  .00904210  34752-3  28063-2 0  9990,2 55022  97.3422 346.9281 0009255 264.6957  95.3261 15.91610302152907
FLOCK 4Y-7,1 55032U 23001Z   25269.71187036  .00441169  00000+0  24882-2 0  9998,2 55032  97.3520 345.1820 0006777 255.7620 104.2894 15.77948992152771
LYNK TOWER 4,1 55034U 23001AB  25269.65983556  .00012826  00000+0  46860-3 0  9999,2 55034  97.3606 326.3654 0008469 349.1178  10.9877 15.28199338151502
UMBRA-05,1 55036U 23001AD  25269.65927395  .00172657  00000+0  25783-2 0  9999,2 55036  97.3559 328.6031 0005164 203.4282 156.6737 15.54423189151654
SKYKRAFT-1,1 55041U 23001AJ  25269.93730314  .00034745  00000+0  76092-3 0  9994,2 55041  97.3587 335.4755 0005600 313.6818  46.3966 15.44022313152141
FLOCK 4Y-11,1 55043U 23001AL  25269.72520498  .00405345  00000+0  25488-2 0  9993,2 55043  97.3572 344.9380 0007723 257.5851 102.4550 15.75551691152724
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25269.90691760  .00018349  00000+0  70168-3 0  9996,2 55045  97.3660 331.7443 0006153 304.5600  55.5058 15.26626575152067
LYNK TOWER 3,1 55046U 23001AP  25269.70187909  .00015963  00000+0  56783-3 0  9996,2 55046  97.3611 326.9625 0008565 349.4948  10.6112 15.29027000151540
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25269.90795226  .00018433  00000+0  69856-3 0  9996,2 55047  97.3405 330.7575 0006931 257.8802 102.1661 15.26919412152131
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25269.94168463  .00019008  00000+0  67649-3 0  9995,2 55048  97.2282 324.7979 0005047 338.4518  21.6509 15.28992736152107
ICEYE-X21,1 55049U 23001AS  25269.97920738  .00064543  00000+0  12210-2 0  9997,2 55049  97.3629 337.8738 0013842 294.8347  65.1464 15.48073336152289
ION SCV-008,1 55051U 23001AU  25269.72736416  .00011566  00000+0  47893-3 0  9994,2 55051  97.5803 357.4014 0015790 215.3998 144.6192 15.23977048151148
EOSSAT-1,1 55053U 23001AW  25269.65893055  .00011562  00000+0  41329-3 0  9995,2 55053  97.3630 327.7140 0009438 346.8406  13.2586 15.28936154151586
SKYKRAFT-1A,1 55054U 23001AX  25269.74451337  .00007478  00000+0  29599-3 0  9995,2 55054  97.3624 326.1914 0010047 352.6066   7.5023 15.25683482151501
VIGORIDE-5,1 55056U 23001AZ  25269.63834280  .00034605  00000+0  85797-3 0  9991,2 55056  97.3599 331.0837 0002944 340.2117  19.9015 15.40302940151827
