Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25333.18607861  .00015928  00000+0  45188-3 0  9991,2 55009  97.3483  32.4012 0007987 111.5689 248.6407 15.36273199161453
MENUT,1 55010U 23001B   25333.16578632  .00039014  00000+0  10023-2 0  9995,2 55010  97.3539  32.9181 0007305 112.2047 247.9975 15.39166925161430
BRO-8,1 55011U 23001C   25333.18192396  .00027038  00000+0  74814-3 0  9999,2 55011  97.3544  31.9385 0008643 121.1961 239.0131 15.36939561161361
CONNECTA T1.2,1 55012U 23001D   25333.13747208  .00016492  00000+0  41760-3 0  9999,2 55012  97.3583  36.7487 0009051 101.8064 258.4197 15.39774315161661
BIRKELAND,1 55015U 23001G   25333.15514110  .00010274  00000+0  29716-3 0  9997,2 55015  97.3624  35.9209 0008997 103.6926 256.5320 15.35767388161607
OBJECT H,1 55016U 23001H   25333.18208073  .00014737  00000+0  42554-3 0  9992,2 55016  97.3470  32.3701 0008924 108.0873 252.1343 15.35729256161468
KSF3-B,1 55019U 23001L   25333.15873318  .00967623  43427-3  23225-2 0  9990,2 55019  97.3414  50.6373 0007170 303.5388  56.5203 15.96539892162613
LYNK TOWER 4,1 55034U 23001AB  25333.14133384  .00009293  00000+0  32475-3 0  9992,2 55034  97.3514  29.1140 0010606 109.4826 250.7561 15.29723524161204
SKYKRAFT-1,1 55041U 23001AJ  25333.15510638  .00036467  00000+0  67377-3 0  9994,2 55041  97.3501  39.6231 0007137  81.2386 278.9673 15.48962504161916
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25333.18902110  .00014311  00000+0  55779-3 0  9998,2 55045  97.3624  34.0761 0009292  78.0926 282.1354 15.26022016161713
LYNK TOWER 3,1 55046U 23001AP  25333.13783527  .00012322  00000+0  41189-3 0  9993,2 55046  97.3520  29.7736 0010359 111.1026 249.1323 15.31092664161247
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25333.15774450  .00013033  00000+0  49035-3 0  9999,2 55047  97.3337  32.8989 0008947  48.8784 311.3226 15.27221303161788
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25333.17703560  .00016498  00000+0  55063-3 0  9992,2 55048  97.2185  26.2920 0007158  87.9360 272.2701 15.31098947161771
